id,question,optionA,optionB,optionC,optionD,optionE,Correct
17,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) rattle, b) owl, c) sad }
Group 2: { x) run, y) snake, z) blue }",CZ,AX,CY,AY,AZ,D
18,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) pass, b) hat, c) zoo }
Group 2: { x) map, y) port, z) tap }",AY,AZ,CX,BY,CY,A
19,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) rat, b) moon, c) fat }
Group 2: { x) ant, y) light, z) owl }",CY,AX,AY,BY,AZ,D
20,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) top, b) jig, c) pig }
Group 2: { x) saw, y) cat, z) van }",CX,AZ,BY,BX,AX,D
21,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) honey, b) bad, c) log }
Group 2: { x) bee, y) dog, z) old }",AX,CY,AY,CX,BZ,A
22,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) bat, b) put, c) key }
Group 2: { x) car, y) put, z) hole }",AZ,CX,BY,CZ,CY,D
23,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) pig, b) toy, c) cow }
Group 2: { x) cat, y) boy, z) owl }",BY,CZ,BX,CY,CX,D
24,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) cap, b) fire, c) bus }
Group 2: { x) fat, y) car, z) works }",BZ,BX,AZ,CY,BY,A
25,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) owl, b) news, c) tap }
Group 2: { x) cast, y) toy, z) bus }",AX,BX,CY,CX,CZ,B
26,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) fog, b) win, c) zig }
Group 2: { x) map, y) sad, z) zag }",AY,CZ,AZ,AX,CX,B
27,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) pig, b) ant, c) down }
Group 2: { x) say, y) bat, z) fall }",AX,AY,CZ,CY,BY,C
28,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) meat, b) cap, c) fat }
Group 2: { x) ball, y) car, z) top }",CX,BY,AZ,AX,CZ,D
29,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) neck, b) new, c) hat }
Group 2: { x) lace, y) rat, z) dog }",CX,AX,BZ,AZ,BY,B
30,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) ant, b) over, c) web }
Group 2: { x) log, y) coat, z) car }",AX,BY,CZ,BX,CX,B
31,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) old, b) cup, c) new }
Group 2: { x) run, y) cake, z) new }",BX,CY,BY,AZ,AY,C
32,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) ear, b) log, c) bus }
Group 2: { x) ring, y) low, z) top }",CZ,AX,AY,AZ,CY,B
33,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) mail, b) hat, c) run }
Group 2: { x) dog, y) van, z) box }",CX,BY,AZ,BZ,CZ,C
34,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) day, b) ant, c) toy }
Group 2: { x) dog, y) dream, z) run }",CY,AX,AY,CX,BX,C
35,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) tap, b) blue, c) fire }
Group 2: { x) fly, y) zoo, z) bat }",CX,CZ,AY,BX,CY,A
36,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) put, b) side, c) win }
Group 2: { x) bat, y) walk, z) mud }",AZ,CZ,BY,CX,CY,C
37,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) zoo, b) super, c) run }
Group 2: { x) top, y) van, z) man }",AY,AX,CY,BZ,AZ,D
38,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) car, b) some, c) big }
Group 2: { x) rat, y) dog, z) thing }",AY,AZ,BX,BZ,CX,D
39,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) rat, b) up, c) owl }
Group 2: { x) set, y) sad, z) owl }",AX,AY,BY,BX,AZ,D
40,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) tap, b) hair, c) blue }
Group 2: { x) rat, y) cut, z) van }",AY,CZ,AX,CY,BY,E
41,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) lap, b) big, c) key }
Group 2: { x) board, y) blue, z) tap }",CX,CY,CZ,AY,BY,A
42,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) top, b) rattle, c) pen }
Group 2: { x) lap, y) big, z) snake }",BY,BZ,CY,AX,BX,B
43,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) school, b) car, c) put }
Group 2: { x) lap, y) bus, z) fog }",BX,CX,AX,AY,BZ,D
44,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) pen, b) foot, c) toy }
Group 2: { x) ball, y) tap, z) new }",AX,AZ,BZ,BX,CY,D
45,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) low, b) hat, c) any }
Group 2: { x) tap, y) body, z) dog }",AZ,CY,CX,AX,CZ,B
46,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) snow, b) van, c) sad }
Group 2: { x) flake, y) new, z) car }",BX,AX,CZ,AY,BY,B
47,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) pop, b) rat, c) hat }
Group 2: { x) car, y) dog, z) corn }",BX,AZ,AY,BZ,CY,B
48,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) super, b) pen, c) old }
Group 2: { x) bus, y) fat, z) man }",AZ,BZ,CZ,AY,CY,A
49,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) log, b) camp, c) win }
Group 2: { x) fire, y) red, z) zoo }",CX,BX,BZ,CY,AY,B
50,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) pen, b) night, c) big }
Group 2: { x) ant, y) sky, z) gown }",BZ,AX,BX,AY,CY,A
51,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) in, b) low, c) sad }
Group 2: { x) get, y) side, z) cat }",AZ,BX,AY,CX,CZ,C
52,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) web, b) some, c) cat }
Group 2: { x) log, y) thing, z) toy }",BY,CZ,BX,CY,AX,A
53,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) car, b) sad, c) black }
Group 2: { x) berry, y) top, z) mad }",CY,AZ,BX,CX,BZ,D
54,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) toy, b) van, c) hot }
Group 2: { x) car, y) ant, z) dog }",CY,AY,CX,AX,CZ,E
55,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) bad, b) house, c) map }
Group 2: { x) fly, y) elf, z) big }",BX,CZ,AZ,CX,AX,A
56,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) sky, b) old, c) cat }
Group 2: { x) mad, y) fish, z) cap }",BX,CZ,BZ,CY,AX,D
57,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) run, b) head, c) mad }
Group 2: { x) toy, y) elf, z) ache }",AX,AY,BY,BZ,CX,D
58,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) milk, b) lap, c) rat }
Group 2: { x) tap, y) bat, z) shake }",CZ,BY,CY,AZ,CX,D
59,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) top, b) pan, c) car }
Group 2: { x) pen, y) bus, z) cake }",BY,AZ,AX,BZ,CX,D
60,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) toy, b) head, c) say }
Group 2: { x) cat, y) map, z) phone }",CX,BZ,AY,CY,BX,B
61,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) water, b) rat, c) dog }
Group 2: { x) fall, y) bad, z) get }",AZ,CY,AX,CZ,CX,C
62,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) pass, b) win, c) big }
Group 2: { x) car, y) sad, z) port }",AZ,AX,BZ,CX,AY,A
63,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) bat, b) fat, c) school }
Group 2: { x) big, y) mud, z) bus }",CY,AY,CX,CZ,BZ,D
64,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) map, b) put, c) shoe }
Group 2: { x) win, y) lace, z) bus }",AX,CY,BZ,AY,CZ,B
65,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) van, b) sun, c) cap }
Group 2: { x) glasses, y) car, z) old }",BX,AX,CZ,AZ,BY,A
66,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) fog, b) win, c) day }
Group 2: { x) dream, y) toy, z) web }",CY,CX,AY,BZ,BY,B
67,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) big, b) cow, c) top }
Group 2: { x) map, y) boy, z) cat }",BY,CY,BZ,CZ,AX,A
68,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) zoo, b) life, c) map }
Group 2: { x) rat, y) bat, z) boat }",AX,BZ,CX,CZ,AZ,B
69,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) mad, b) van, c) day }
Group 2: { x) zoo, y) dream, z) red }",AZ,CZ,CY,BX,CX,C
70,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) hair, b) run, c) fog }
Group 2: { x) elf, y) pen, z) cut }",CX,BZ,AZ,CZ,AY,C
71,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) van, b) elf, c) key }
Group 2: { x) board, y) blue, z) get }",CX,AZ,CY,AY,CZ,A
72,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) play, b) ant, c) mad }
Group 2: { x) ground, y) log, z) red }",BY,AX,CY,CZ,BX,B
73,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) news, b) say, c) ant }
Group 2: { x) fat, y) paper, z) elf }",CZ,AZ,AX,AY,CX,D
74,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) black, b) sad, c) run }
Group 2: { x) fat, y) berry, z) old }",CY,AZ,CX,AX,AY,E
75,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) toy, b) ginger, c) cap }
Group 2: { x) top, y) bread, z) pen }",AX,CY,BZ,BY,AZ,D
76,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) hand, b) low, c) tap }
Group 2: { x) fog, y) bad, z) bag }",AZ,CZ,AX,CX,AY,A
77,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) head, b) old, c) mad }
Group 2: { x) phone, y) old, z) cap }",AY,CY,CX,BZ,AX,E
78,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) light, b) bat, c) owl }
Group 2: { x) blue, y) pig, z) house }",CZ,CY,BZ,AZ,BY,D
79,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) pig, b) car, c) pan }
Group 2: { x) cake, y) zoo, z) ant }",AX,CY,CX,AZ,BX,C
80,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) old, b) butter, c) bad }
Group 2: { x) lap, y) bat, z) fly }",AY,CY,BZ,BY,CX,C
81,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) earth, b) tap, c) car }
Group 2: { x) quake, y) put, z) mad }",BZ,AZ,AX,BX,BY,C
82,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) grape, b) new, c) dog }
Group 2: { x) cap, y) sad, z) fruit }",BX,CX,BY,AZ,CZ,D
83,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) win, b) yard, c) bat }
Group 2: { x) blue, y) stick, z) get }",AZ,BY,AX,AY,CY,B
84,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) pass, b) log, c) mad }
Group 2: { x) bad, y) dog, z) port }",BY,CX,BX,AY,AZ,E
85,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) pig, b) map, c) moon }
Group 2: { x) lap, y) light, z) tap }",CX,BX,CY,BY,AX,C
86,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) fat, b) side, c) lap }
Group 2: { x) run, y) kick, z) bad }",AY,BZ,CY,AZ,BY,E
87,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) zoo, b) sad, c) pine }
Group 2: { x) big, y) red, z) apple }",CX,CZ,BX,AZ,BZ,B
88,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) old, b) elf, c) head }
Group 2: { x) phone, y) bad, z) big }",AZ,AX,AY,BZ,CX,E
89,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) put, b) pop, c) cat }
Group 2: { x) corn, y) say, z) big }",AY,AX,BX,CZ,BZ,C
90,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) pig, b) old, c) life }
Group 2: { x) car, y) win, z) boat }",CY,BZ,AX,CZ,BX,D
91,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) bus, b) sea, c) owl }
Group 2: { x) win, y) shore, z) say }",CX,AZ,CZ,AY,BY,E
92,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) log, b) old, c) life }
Group 2: { x) mad, y) car, z) boat }",CZ,BX,CX,BY,AY,A
93,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) no, b) red, c) mud }
Group 2: { x) ant, y) run, z) where }",BY,BZ,CY,BX,AZ,E
94,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) tea, b) ant, c) low }
Group 2: { x) pot, y) big, z) pen }",AZ,BZ,AY,AX,BY,D
95,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) bus, b) bat, c) some }
Group 2: { x) thing, y) pen, z) mad }",CX,AX,AY,CZ,BZ,A
96,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) put, b) lap, c) door }
Group 2: { x) hat, y) sad, z) bell }",BZ,CZ,BX,AY,CY,B
97,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) mud, b) night, c) tap }
Group 2: { x) van, y) log, z) gown }",AY,AZ,AX,BZ,BY,D
98,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) door, b) toy, c) old }
Group 2: { x) bell, y) elf, z) pig }",CX,BX,BY,AX,AY,D
99,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) log, b) toy, c) thunder }
Group 2: { x) win, y) storm, z) pig }",CY,BZ,AZ,CZ,CX,A
100,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) low, b) fog, c) skate }
Group 2: { x) cat, y) pen, z) board }",CZ,AX,AZ,CY,BY,A
101,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) lap, b) mud, c) snow }
Group 2: { x) man, y) pen, z) put }",CX,BY,AX,CY,AZ,A
102,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) cat, b) ant, c) pea }
Group 2: { x) pen, y) nut, z) map }",CY,CZ,AY,AZ,BY,A
103,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) snow, b) van, c) win }
Group 2: { x) old, y) flake, z) top }",CX,AY,CY,AZ,BY,B
104,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) low, b) sky, c) snow }
Group 2: { x) put, y) pig, z) flake }",AX,AY,CZ,CY,AZ,C
105,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) motor, b) hat, c) tap }
Group 2: { x) red, y) win, z) cycle }",BY,AX,CZ,AZ,CX,D
106,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) fog, b) no, c) map }
Group 2: { x) lap, y) where, z) say }",BZ,CY,CZ,AY,BY,E
107,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) web, b) pass, c) say }
Group 2: { x) blue, y) port, z) bus }",BZ,BY,AZ,CX,AX,B
108,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) cow, b) mud, c) toy }
Group 2: { x) old, y) tap, z) boy }",AX,CZ,BY,AZ,BX,D
109,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) lap, b) pig, c) fire }
Group 2: { x) mad, y) blue, z) man }",AZ,BX,CZ,CX,AX,C
110,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) bat, b) bad, c) honey }
Group 2: { x) bus, y) sky, z) bee }",CZ,CY,BX,BY,AZ,A
111,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) farm, b) zoo, c) run }
Group 2: { x) house, y) log, z) dog }",AZ,CY,AY,BY,AX,E
112,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) tap, b) bus, c) night }
Group 2: { x) mud, y) bat, z) gown }",BY,CZ,AY,BZ,CY,B
113,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) rat, b) toy, c) out }
Group 2: { x) mad, y) tap, z) side }",BY,BX,CZ,AZ,CX,C
114,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) blue, b) hat, c) hand }
Group 2: { x) red, y) new, z) bag }",CZ,BY,AY,BX,BZ,A
115,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) mail, b) zoo, c) mud }
Group 2: { x) win, y) man, z) new }",AZ,BX,BY,CY,AY,E
116,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) owl, b) space, c) map }
Group 2: { x) web, y) ship, z) lap }",CX,CZ,CY,AX,BY,E
117,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) yard, b) sad, c) mad }
Group 2: { x) zoo, y) van, z) stick }",BX,AY,AZ,CZ,BZ,C
118,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) low, b) milk, c) mad }
Group 2: { x) zoo, y) shake, z) top }",CZ,BY,BX,BZ,AX,B
119,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) over, b) top, c) put }
Group 2: { x) rat, y) come, z) hat }",BX,CY,CZ,BZ,AY,E
120,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) sky, b) old, c) door }
Group 2: { x) bell, y) zoo, z) toy }",CY,CX,CZ,AX,BY,B
121,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) sky, b) back, c) low }
Group 2: { x) mud, y) pack, z) say }",AZ,AY,CZ,BY,BX,D
122,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) win, b) mud, c) ginger }
Group 2: { x) bread, y) blue, z) fog }",BX,AX,CX,AZ,CY,C
123,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) under, b) run, c) sky }
Group 2: { x) stand, y) old, z) top }",CZ,CX,AY,BY,AX,E
124,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) mad, b) tooth, c) pen }
Group 2: { x) paste, y) big, z) lap }",CZ,BX,AX,BZ,CX,B
125,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) hand, b) tap, c) car }
Group 2: { x) shake, y) fat, z) log }",AX,BZ,AZ,BY,BX,A
126,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) zoo, b) log, c) key }
Group 2: { x) owl, y) board, z) run }",BX,BY,AX,AY,CY,E
127,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) win, b) fog, c) up }
Group 2: { x) pig, y) bad, z) set }",CZ,BZ,CX,BY,AX,A
128,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) sun, b) get, c) rat }
Group 2: { x) hat, y) top, z) flower }",CY,AY,BZ,AZ,BY,D
129,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) say, b) air, c) owl }
Group 2: { x) new, y) port, z) zoo }",CX,AZ,BY,CY,BZ,C
130,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) sun, b) fat, c) van }
Group 2: { x) win, y) log, z) flower }",AX,BY,AY,CX,AZ,E
131,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) say, b) top, c) drive }
Group 2: { x) big, y) web, z) way }",CX,BZ,AZ,CZ,CY,D
132,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) cap, b) week, c) pen }
Group 2: { x) sky, y) get, z) end }",BZ,AZ,BX,AX,CY,A
133,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) honey, b) sky, c) log }
Group 2: { x) lap, y) bee, z) map }",BY,AZ,CY,CX,AY,E
134,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) key, b) hat, c) say }
Group 2: { x) tap, y) red, z) hole }",AX,BY,AZ,AY,BX,C
135,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) van, b) some, c) put }
Group 2: { x) new, y) thing, z) say }",BY,AZ,CX,CZ,CY,A
136,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) red, b) side, c) car }
Group 2: { x) new, y) walk, z) pig }",BY,CX,CZ,BZ,AY,A
137,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) side, b) ant, c) new }
Group 2: { x) red, y) elf, z) kick }",CX,AY,AZ,CY,BY,C
138,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) map, b) red, c) soft }
Group 2: { x) ware, y) web, z) get }",CX,AY,AX,CY,BZ,A
139,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) put, b) mad, c) sun }
Group 2: { x) dog, y) flower, z) put }",BX,CY,AY,AZ,BY,B
140,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) news, b) old, c) bus }
Group 2: { x) sky, y) cast, z) old }",CY,AZ,CZ,AY,CX,D
141,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) put, b) grand, c) rat }
Group 2: { x) bad, y) old, z) mother }",BZ,BX,CZ,BY,AX,A
142,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) log, b) old, c) up }
Group 2: { x) sad, y) bad, z) set }",BZ,BX,CZ,AY,AX,C
143,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) sky, b) shoe, c) mad }
Group 2: { x) fog, y) lace, z) new }",BZ,CZ,AZ,BX,BY,E
144,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) hot, b) zoo, c) dog }
Group 2: { x) elf, y) dog, z) car }",AX,AY,BY,BX,AZ,B
145,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) mad, b) rain, c) fog }
Group 2: { x) log, y) coat, z) say }",CZ,BY,BZ,AY,CX,B
146,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) sad, b) fire, c) rat }
Group 2: { x) web, y) cap, z) man }",AY,CZ,BZ,BY,CY,C
147,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) lady, b) pig, c) fat }
Group 2: { x) cap, y) dog, z) bug }",BY,AY,BX,BZ,AZ,E
148,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) toy, b) van, c) wall }
Group 2: { x) say, y) put, z) paper }",BX,BY,CZ,CX,AZ,C
149,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) top, b) run, c) green }
Group 2: { x) dog, y) house, z) van }",CX,AY,CY,CZ,BY,C
150,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) hot, b) ant, c) run }
Group 2: { x) web, y) win, z) dog }",CY,CX,AZ,BX,BY,C
151,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) play, b) blue, c) top }
Group 2: { x) map, y) ground, z) log }",CZ,BY,AY,CY,AZ,C
152,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) owl, b) ant, c) straw }
Group 2: { x) cat, y) berry, z) pen }",CX,BY,AY,CY,AX,D
153,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) big, b) bad, c) down }
Group 2: { x) old, y) fall, z) rat }",CX,CY,AY,AZ,CZ,B
154,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) get, b) yard, c) big }
Group 2: { x) tap, y) bat, z) stick }",AY,BZ,CX,BX,BY,B
155,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) get, b) mad, c) hair }
Group 2: { x) cut, y) rat, z) bad }",BX,BY,AY,CY,CX,E
156,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) low, b) bus, c) key }
Group 2: { x) car, y) board, z) hat }",BZ,AY,BX,CZ,CY,E
157,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) win, b) fog, c) house }
Group 2: { x) fly, y) map, z) win }",BX,CZ,CY,CX,AZ,D
158,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) ant, b) yard, c) zoo }
Group 2: { x) win, y) mad, z) stick }",BZ,CY,CZ,AY,BY,A
159,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) sky, b) fire, c) car }
Group 2: { x) works, y) cat, z) fat }",BX,CZ,CY,AX,CX,A
160,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) tap, b) sun, c) owl }
Group 2: { x) bat, y) log, z) flower }",BY,AY,BZ,CY,BX,C
161,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) top, b) red, c) sun }
Group 2: { x) mad, y) glasses, z) put }",CZ,AZ,CY,AY,BZ,C
162,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) fog, b) sea, c) toy }
Group 2: { x) ant, y) shell, z) map }",AZ,BX,BY,CX,CY,C
163,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) new, b) thunder, c) say }
Group 2: { x) say, y) sad, z) storm }",BZ,AX,AZ,BX,CX,A
