ID,Question,A,B,C,D,E,Correct Answer,Explanation
HW_101,Look how all strong men work.,Look how,how all,all strong,strong men,men work,B,The hidden word is WALL (hoW ALL).
HW_105,The rich all live nicely here.,The rich,rich all,all live,live nicely,nicely here,B,The hidden word is HALL (ricH ALL).
HW_110,Ask how Ellen is doing today.,Ask how,how Ellen,Ellen is,is doing,doing today,B,The hidden word is WELL (hoW ELLen).
HW_115,See how ill the dog is.,See how,how ill,ill the,the dog,dog is,B,The hidden word is WILL (hoW ILL).
HW_116,A dark illness came in here.,A dark,dark illness,illness came,came in,in here,B,The hidden word is KILL (darK ILLness).
HW_117,The disco old hits played loudly.,The disco,disco old,old hits,hits played,played loudly,B,The hidden word is COOL (disCO OLd).
HW_118,Please stop oolong tea drinking now.,Please stop,stop oolong,oolong tea,tea drinking,drinking now,B,The hidden word is POOL (stoP OOLong).
HW_12,The final ace pilot flew off.,The final,final ace,ace pilot,pilot flew,flew off,B,The hidden word is LACE (finaL ACE).
HW_12,The final ace pilot flew off.,The final,final ace,ace pilot,pilot flew,flew off,B,The hidden word is LACE (finaL ACE).
HW_122,The hero otter saved the fish.,The hero,hero otter,otter saved,saved the,the fish,B,The hidden word is ROOT (heRO OTter).
HW_123,The gas pot is very hot.,The gas,gas pot,pot is,is very,very hot,B,The hidden word is SPOT (gaS POT).
HW_124,Please wash otter fur very gently.,Please wash,wash otter,otter fur,fur very,very gently,B,The hidden word is SHOT (waSH OTter).
HW_126,Please stop lots of noise now.,Please stop,stop lots,lots of,of noise,noise now,B,The hidden word is PLOT (stoP LOTs).
HW_127,The hot rot spread very fast.,The hot,hot rot,rot spread,spread very,very fast,B,The hidden word is TROT (hoT ROT).
HW_128,A dark note was found there.,A dark,dark note,note was,was found,found there,B,The hidden word is KNOT (darK NOTe).
HW_129,The tube station is full today.,The tube,tube station,station is,is full,full today,B,The hidden word is BEST (tuBE STation).
HW_130,The fire station is near here.,The fire,fire station,station is,is near,near here,B,The hidden word is REST (fiRE STation).
HW_131,A late start is very bad.,A late,late start,start is,is very,very bad,B,The hidden word is TEST (laTE STart).
HW_132,A fine story was told today.,A fine,fine story,story was,was told,told today,B,The hidden word is NEST (fiNE STory).
HW_133,The new estate is huge now.,The new,new estate,estate is,is huge,huge now,B,The hidden word is WEST (neW EState).
HW_134,Please stop estimates right now thanks.,Please stop,stop estimates,estimates right,right now,now thanks,B,The hidden word is PEST (stoP ESTimates).
HW_136,The drama student acted very well.,The drama,drama student,student acted,acted very,very well,B,The hidden word is MAST (draMA STudent).
HW_137,My papa stopped the blue car.,My papa,papa stopped,stopped the,the blue,blue car,B,The hidden word is PAST (paPA STopped).
HW_138,The sofa stained easily last week.,The sofa,sofa stained,stained easily,easily last,last week,B,The hidden word is FAST (soFA STained).
HW_139,The villa style is very old.,The villa,villa style,style is,is very,very old,B,The hidden word is LAST (vilLA STyle).
HW_14,The damp area smelled very musty.,The damp,damp area,area smelled,smelled very,very musty,B,The hidden word is PARE (damP AREa).
HW_140,The Africa star diamond is huge.,The Africa,Africa star,star diamond,diamond is,is huge,B,The hidden word is CAST (AfriCA STar).
HW_141,The diva stood alone on stage.,The diva,diva stood,stood alone,alone on,on stage,B,The hidden word is VAST (diVA STood).
HW_142,The fur stole is very warm.,The fur,fur stole,stole is,is very,very warm,B,The hidden word is RUST (fuR STole).
HW_143,The Hindu statue is pure gold.,The Hindu,Hindu statue,statue is,is pure,pure gold,B,The hidden word is DUST (HinDU STatue).
HW_145,The bus acknowledged the stop signal.,The bus,bus acknowledged,acknowledged the,the stop,stop signal,B,The hidden word is SACK (buS ACKnowledged).
HW_146,Please stop acknowledging him right now.,Please stop,stop acknowledging,acknowledging him,him right,right now,B,The hidden word is PACK (stoP ACKnowledging).
HW_147,The car acknowledged the green light.,The car,car acknowledged,acknowledged the,the green,green light,B,The hidden word is RACK (caR ACKnowledged).
HW_149,The car occupant was hurt badly.,The car,car occupant,occupant was,was hurt,hurt badly,B,The hidden word is ROCK (caR OCcupant).
HW_15,The rose area is nice now.,The rose,rose area,area is,is nice,nice now,B,The hidden word is SEAR (roSE ARea).
HW_150,A red octopus swam away fast.,A red,red octopus,octopus swam,swam away,away fast,B,The hidden word is DOCK (reD OCtopus).
HW_151,The sub ankle bone is sore.,The sub,sub ankle,ankle bone,bone is,is sore,B,The hidden word is BANK (suB ANKle).
HW_152,My hot ankle hurts a lot.,My hot,hot ankle,ankle hurts,hurts a,a lot,B,The hidden word is TANK (hoT ANKle).
HW_153,Please stop inking the paper now.,Please stop,stop inking,inking the,the paper,paper now,B,The hidden word is PINK (stoP INKing).
HW_154,Use plus ink for printing photos.,Use plus,plus ink,ink for,for printing,printing photos,B,The hidden word is SINK (pluS INK).
HW_155,Use cool ink colors for art.,Use cool,cool ink,ink colors,colors for,for art,B,The hidden word is LINK (cooL INK).
HW_156,See how ink dries on paper.,See how,how ink,ink dries,dries on,on paper,B,The hidden word is WINK (hoW INK).
HW_157,The car ink blot is black.,The car,car ink,ink blot,blot is,is black,B,The hidden word is RINK (caR INK).
HW_158,The red entry door is open.,The red,red entry,entry door,door is,is open,B,The hidden word is DENT (reD ENTry).
HW_159,The bus entered the depot slowly.,The bus,bus entered,entered the,the depot,depot slowly,B,The hidden word is SENT (buS ENTered).
HW_160,The car entered the race late.,The car,car entered,entered the,the race,race late,B,The hidden word is RENT (caR ENTered).
HW_161,The hot entree is served now.,The hot,hot entree,entree is,is served,served now,B,The hidden word is TENT (hoT ENTree).
HW_162,A cool entry was made today.,A cool,cool entry,entry was,was made,made today,B,The hidden word is LENT (cooL ENTry).
HW_163,The new entry is here now.,The new,new entry,entry is,is here,here now,B,The hidden word is WENT (neW ENTry).
HW_164,The job entails hard work daily.,The job,job entails,entails hard,hard work,work daily,B,The hidden word is BENT (joB ENTails).
HW_165,Some calm intervals are forecast today.,Some calm,calm intervals,intervals are,are forecast,forecast today,B,The hidden word is MINT (calM INTervals).
HW_167,The cool interior design is nice.,The cool,cool interior,interior design,design is,is nice,B,The hidden word is LINT (cooL INTerior).
HW_168,A hot interview took place there.,A hot,hot interview,interview took,took place,place there,B,The hidden word is TINT (hoT INTerview).
HW_169,Please stop interfering with us now.,Please stop,stop interfering,interfering with,with us,us now,B,The hidden word is PINT (stoP INTerfering).
HW_170,The music art class is fun.,The music,music art,art class,class is,is fun,B,The hidden word is CART (musiC ART).
HW_171,The red artist painted a picture.,The red,red artist,artist painted,painted a,a picture,B,The hidden word is DART (reD ARtist).
HW_174,The hot art sale starts now.,The hot,hot art,art sale,sale starts,starts now,B,The hidden word is TART (hoT ART).
HW_175,See how art is made there.,See how,how art,art is,is made,made there,B,The hidden word is WART (hoW ART).
HW_178,The sonic agent runs very fast.,The sonic,sonic agent,agent runs,runs very,very fast,B,The hidden word is CAGE (soniC AGEnt).
HW_182,A grim agenda was set today.,A grim,grim agenda,agenda was,was set,set today,B,The hidden word is MAGE (griM AGEnda).
HW_183,The bag agent checked it twice.,The bag,bag agent,agent checked,checked it,it twice,B,The hidden word is GAGE (baG AGEnt).
HW_184,The calm ice lake is frozen.,The calm,calm ice,ice lake,lake is,is frozen,B,The hidden word is MICE (calM ICE).
HW_189,The real item was very expensive.,The real,real item,item was,was very,very expensive,B,The hidden word is ALIT (reAL ITem).
HW_19,The date amount is too high.,The date,date amount,amount is,is too,too high,B,The hidden word is TEAM (daTE AMount).
HW_193,They sold one car to dad.,They sold,sold one,one car,car to,to dad,B,The hidden word is DONE (solD ONE).
HW_196,The male ant is very small.,The male,male ant,ant is,is very,very small,B,The hidden word is LEAN (maLE ANt).
HW_27,The diva stood alone on stage.,The diva,diva stood,stood alone,alone on,on stage,B,The hidden word is VAST (diVA STood).
HW_28,The kite area is windy today.,The kite,kite area,area is,is windy,windy today,B,The hidden word is TEAR (kiTE ARea).
HW_36,The fat hen laid five eggs.,The fat,fat hen,hen laid,laid five,five eggs,B,The hidden word is THEN (faT HEN).
HW_39,The best episode is next week.,The best,best episode,episode is,is next,next week,B,The hidden word is STEP (beST EPisode).
HW_42,The male ant is very small.,The male,male ant,ant is,is very,very small,B,The hidden word is LEAN (maLE ANt).
HW_48,They sold one car to dad.,They sold,sold one,one car,car to,to dad,B,The hidden word is DONE (solD ONE).
HW_51,The cat alerted the dog loudly.,The cat,cat alerted,alerted the,the dog,dog loudly,B,The hidden word is TALE (caT ALErted).
HW_52,The lab alert is on high.,The lab,lab alert,alert is,is on,on high,B,The hidden word is BALE (laB ALErt).
HW_53,The lamp alert is red now.,The lamp,lamp alert,alert is,is red,red now,B,The hidden word is PALE (lamP ALErt).
HW_55,Please redo menus for us now.,Please redo,redo menus,menus for,for us,us now,B,The hidden word is DOME (reDO MEnus).
HW_59,The sofa stood there for years.,The sofa,sofa stood,stood there,there for,for years,B,The hidden word is FAST (soFA STood).
HW_60,A villa stood alone on the hill.,A villa,villa stood,stood alone,alone on,on the,B,The hidden word is LAST (vilLA STood).
HW_61,My papa stood up very quickly.,My papa,papa stood,stood up,up very,very quickly,B,The hidden word is PAST (paPA STood).
HW_62,The drama students act very well.,The drama,drama students,students act,act very,very well,B,The hidden word is MAST (draMA STudents).
HW_63,The Africa star shone very bright.,The Africa,Africa star,star shone,shone very,very bright,B,The hidden word is CAST (AfriCA STar).
HW_64,A solo venue opened in town.,A solo,solo venue,venue opened,opened in,in town,B,The hidden word is LOVE (soLO VEnue).
HW_67,An afro version played on radio.,An afro,afro version,version played,played on,on radio,B,The hidden word is ROVE (afRO VErsion).
HW_68,Look how all men work hard.,Look how,how all,all men,men work,work hard,B,The hidden word is WALL (hoW ALL).
HW_69,A fast ally helped the team.,A fast,fast ally,ally helped,helped the,the team,B,The hidden word is TALL (fasT ALLy).
HW_70,Please sub all players right now.,Please sub,sub all,all players,players right,right now,B,The hidden word is BALL (suB ALL).
HW_71,The music allows joy and dance.,The music,music allows,allows joy,joy and,and dance,B,The hidden word is CALL (musiC ALLows).
HW_72,Ask if all goes well today.,Ask if,if all,all goes,goes well,well today,B,The hidden word is FALL (if ALL).
HW_73,Sing with all your heart today.,Sing with,with all,all your,your heart,heart today,B,The hidden word is HALL (witH ALL).
HW_76,Add plus ingots of silver now.,Add plus,plus ingots,ingots of,of silver,silver now,B,The hidden word is SING (pluS INGots).
HW_77,Go ask Ingrid for help now.,Go ask,ask Ingrid,Ingrid for,for help,help now,B,The hidden word is KING (asK INGrid).
HW_78,I saw Ingrid there last week.,I saw,saw Ingrid,Ingrid there,there last,last week,B,The hidden word is WING (saW INGrid).
HW_81,Both rich and poor men cry.,Both rich,rich and,and poor,poor men,men cry,B,The hidden word is HAND (ricH AND).
HW_82,Buy gas and oil for cars.,Buy gas,gas and,and oil,oil for,for cars,B,The hidden word is SAND (gaS AND).
HW_83,A saw and hammer are tools.,A saw,saw and,and hammer,hammer are,are tools,B,The hidden word is WAND (saW AND).
HW_84,A music artist sang a song.,A music,music artist,artist sang,sang a,a song,B,The hidden word is CART (musiC ARTist).
HW_85,Go help Arthur right now please.,Go help,help Arthur,Arthur right,right now,now please,B,The hidden word is PART (helP ARThur).
HW_87,Move from art to science class.,Move from,from art,art to,to science,science class,B,The hidden word is MART (froM ART).
HW_88,The disco star danced all night.,The disco,disco star,star danced,danced all,all night,B,The hidden word is COST (disCO STar).
HW_89,A solo star performed on stage.,A solo,solo star,star performed,performed on,on stage,B,The hidden word is LOST (soLO STar).
HW_90,Ask who stole the pie today.,Ask who,who stole,stole the,the pie,pie today,B,The hidden word is HOST (wHO STole).
HW_91,The demo stage is set up.,The demo,demo stage,stage is,is set,set up,B,The hidden word is MOST (deMO STage).
HW_92,The tempo stopped right now suddenly.,The tempo,tempo stopped,stopped right,right now,now suddenly,B,The hidden word is POST (temPO STopped).
HW_93,The lap lane is full today.,The lap,lap lane,lane is,is full,full today,B,The hidden word is PLAN (laP LANe).
HW_94,Get plus candy for us all.,Get plus,plus candy,candy for,for us,us all,B,The hidden word is SCAN (pluS CANdy).
HW_95,The gas panel broke down yesterday.,The gas,gas panel,panel broke,broke down,down yesterday,B,The hidden word is SPAN (gaS PANel).
HW_96,A hot ripple effect was felt.,A hot,hot ripple,ripple effect,effect was,was felt,B,The hidden word is TRIP (hoT RIPple).
HW_97,A bad ripple effect occurred today.,A bad,bad ripple,ripple effect,effect occurred,occurred today,B,The hidden word is DRIP (baD RIPple).
HW_99,Buy plus lipstick for her now.,Buy plus,plus lipstick,lipstick for,for her,her now,B,The hidden word is SLIP (pluS LIPstick).
HW_202,This item is out of stock.,This item,item is,is out,out of,of stock,B,The hidden word is MISS (iteM IS).
HW_203,Posters were stuck on the bedroom wall.,Posters were,were stuck,stuck on,on the,the bedroom,B,The hidden word is REST (weRE STuck).
HW_207,The girl ate the sponge cake.,The girl,girl ate,ate the,the sponge,sponge cake,B,The hidden word is LATE (girL ATE).
HW_208,Soon they are all going on holiday.,Soon they,are all,all going,going on,on holiday,B,The hidden word is REAL (aRE ALl).
HW_214,The path ends at your greenhouse.,The path,path ends,ends at,at your,your greenhouse,B,The hidden word is THEN (paTH ENds).
HW_221,Harriet had ripped her coat on a branch.,Harriet had,had ripped,ripped her,her coat,coat on,B,The hidden word is DRIP (haD RIPped).
HW_222,He fell over my Oriental rug.,He fell,fell over,over my,my Oriental,Oriental rug,B,The hidden word is LOVE (felL OVEr).
HW_269,The pink ink spilt on me,The pink,pink ink,ink spilt,spilt on,on me,B,The hidden word is KINK (pink ink).
HW_270,The rich ash tree fell down,The rich,rich ash,ash tree,tree fell,fell down,B,The hidden word is HASH (rich ash).
HW_272,The cold rain fell all day,The cold,cold rain,rain fell,fell all,all day,B,The hidden word is DRAIN (cold rain).
HW_04,Do not drop ink on rugs.,Do not,not drop,drop ink,ink on,on rugs,C,The hidden word is PINK (droP INK).
HW_06,She bought bananas and pears today.,She bought,bought bananas,bananas and,and pears,pears today,C,The hidden word is SAND (bananaS AND).
HW_09,Use a red entrance door key.,Use a,a red,red entrance,entrance door,door key,C,The hidden word is DENT (reD ENTrance).
HW_102,Join the club all year round.,Join the,the club,club all,all year,year round,C,The hidden word is BALL (cluB ALL).
HW_103,Play loud music all night long.,Play loud,loud music,music all,all night,night long,C,The hidden word is CALL (musiC ALL).
HW_104,See the leaf all turn brown.,See the,the leaf,leaf all,all turn,turn brown,C,The hidden word is FALL (leaF ALL).
HW_106,I saw that all cars stopped.,I saw,saw that,that all,all cars,cars stopped,C,The hidden word is TALL (thaT ALL).
HW_107,A gift from all our team.,A gift,gift from,from all,all our,our team,C,The hidden word is MALL (froM ALL).
HW_109,Please visit this mall on Sunday.,Please visit,visit this,this mall,mall on,on Sunday,C,The hidden word is SMALL (thiS MALl).
HW_11,I said that area is safe.,I said,said that,that area,area is,is safe,C,The hidden word is TARE (thaT AREa).
HW_111,The base camp illness spread fast.,The base,base camp,camp illness,illness spread,spread fast,C,The hidden word is PILL (camP ILLness).
HW_112,He stayed with ill people there.,He stayed,stayed with,with ill,ill people,people there,C,The hidden word is HILL (witH ILL).
HW_119,We drink hot oolong tea often.,We drink,drink hot,hot oolong,oolong tea,tea often,C,The hidden word is TOOL (hoT OOLong).
HW_121,See the jumbo otter swim fast.,See the,the jumbo,jumbo otter,otter swim,swim fast,C,The hidden word is BOOT (jumBO OTter).
HW_125,We need plus lots of cash.,We need,need plus,plus lots,lots of,of cash,C,The hidden word is SLOT (pluS LOTs).
HW_135,You must save stamps for me.,You must,must save,save stamps,stamps for,for me,C,The hidden word is VEST (saVE STamps).
HW_144,I think you stop that now.,I think,think you,you stop,stop that,that now,C,The hidden word is JUST (yoU STop).
HW_17,The huge ape ate a banana.,The huge,huge ape,ape ate,ate a,a banana,C,The hidden word is PEAT (aPE ATe).
HW_172,Do not slam articles down hard.,Do not,not slam,slam articles,articles down,down hard,C,The hidden word is MART (slaM ARTicles).
HW_18,We must keep early hours today.,We must,must keep,keep early,early hours,hours today,C,The hidden word is PEAR (keeP EARly).
HW_195,Fix the shelf arm for me.,Fix the,the shelf,shelf arm,arm for,for me,C,The hidden word is FARM (shelF ARM).
HW_197,Buy the green extra one now.,Buy the,the green,green extra,extra one,one now,C,The hidden word is NEXT (greeN EXTra).
HW_198,Put the cup on top now.,Put the,the cup,cup on,on top,top now,C,The hidden word is UPON (cuP ON).
HW_199,Visit the tea stall today please.,Visit the,the tea,tea stall,stall today,today please,C,The hidden word is EAST (tEA STall).
HW_200,See the tram pile up high.,See the,the tram,tram pile,pile up,up high,C,The hidden word is RAMP (tRAM Pile).
HW_21,Tell the star agent to hurry.,Tell the,the star,star agent,agent to,to hurry,C,The hidden word is RAGE (staR AGEnt).
HW_22,They sell cheap ants in jars.,They sell,sell cheap,cheap ants,ants in,in jars,C,The hidden word is PANT (cheaP ANTs).
HW_23,I will gulp open air now.,I will,will gulp,gulp open,open air,air now,C,The hidden word is POPE (gulP OPEn).
HW_25,Did they harm any people there?,Did they,they harm,harm any,any people,people there,C,The hidden word is MANY (harM ANY).
HW_26,They will also appear here today.,They will,will also,also appear,appear here,here today,C,The hidden word is SOAP (alSO APpear).
HW_29,Open the tea chest right now.,Open the,the tea,tea chest,chest right,right now,C,The hidden word is EACH (tEA CHest).
HW_31,The big dog ate a bone.,The big,big dog,dog ate,ate a,a bone,C,The hidden word is GATE (doG ATE).
HW_32,The wild boar ate fish today.,The wild,wild boar,boar ate,ate fish,fish today,C,The hidden word is RATE (boaR ATE).
HW_34,Hold the sand rope tight now.,Hold the,the sand,sand rope,rope tight,tight now,C,The hidden word is DROP (sanD ROPe).
HW_35,Please keep our area tidy now.,Please keep,keep our,our area,area tidy,tidy now,C,The hidden word is RARE (ouR AREa).
HW_43,Buy the green extra one now.,Buy the,the green,green extra,extra one,one now,C,The hidden word is NEXT (greeN EXTra).
HW_44,Put the cup on top now.,Put the,the cup,cup on,on top,top now,C,The hidden word is UPON (cuP ON).
HW_45,Visit the tea stall today please.,Visit the,the tea,tea stall,stall today,today please,C,The hidden word is EAST (tEA STall).
HW_46,See the tram pile up high.,See the,the tram,tram pile,pile up,up high,C,The hidden word is RAMP (tRAM Pile).
HW_50,Fix the shelf arm for me.,Fix the,the shelf,shelf arm,arm for,for me,C,The hidden word is FARM (shelF ARM).
HW_54,Read the disco menu right now.,Read the,the disco,disco menu,menu right,right now,C,The hidden word is COME (disCO MEnu).
HW_56,Eat a rich omelet for lunch.,Eat a,a rich,rich omelet,omelet for,for lunch,C,The hidden word is HOME (ricH OMElet).
HW_57,You must also mend the tear.,You must,must also,also mend,mend the,the tear,C,The hidden word is SOME (alSO MEnd).
HW_58,Visit the wifi shop in town.,Visit the,the wifi,wifi shop,shop in,in town,C,The hidden word is FISH (wiFI SHop).
HW_65,You must do very well today.,You must,must do,do very,very well,well today,C,The hidden word is DOVE (do VEry).
HW_66,Try the demo version right now.,Try the,the demo,demo version,version right,right now,C,The hidden word is MOVE (deMO VErsion).
HW_74,A gift from all of us.,A gift,gift from,from all,all of,of us,C,The hidden word is MALL (froM ALL).
HW_75,She said her ingot was gold.,She said,said her,her ingot,ingot was,was gold,C,The hidden word is RING (heR INGot).
HW_79,It is real and true love.,It is,is real,real and,and true,true love,C,The hidden word is LAND (reaL AND).
HW_80,Clean the lab and room now.,Clean the,the lab,lab and,and room,room now,C,The hidden word is BAND (laB AND).
HW_86,Buy a red art piece today.,Buy a,a red,red art,art piece,piece today,C,The hidden word is DART (reD ARt).
HW_98,See the big rip in it.,See the,the big,big rip,rip in,in it,C,The hidden word is GRIP (biG RIP).
HW_201,They saw that all the cake was gone.,They saw,saw that,that all,all the,the cake,C,The hidden word is TALL (thaT ALL).
HW_206,Wasps fly in through open windows.,Wasps fly,fly in,in through,through open,open windows,C,The hidden word is HINT (in Trough).
HW_210,We get ripe apples in October.,We get,get ripe,ripe apples,apples in,in October,C,The hidden word is PEAR (riPE ARples).
HW_211,My drink is hotter than yours.,My drink,drink is,is hotter,hotter than,than yours,C,The hidden word is SHOT (iS HOtter).
HW_212,He had hurt his knee badly.,He had,had hurt,hurt his,his knee,knee badly,C,The hidden word is THIS (hurT HIS).
HW_215,She looked pale after the accident.,She looked,looked pale,pale after,after the,the accident,C,The hidden word is LEAF (paLE AFter).
HW_217,Were the children early at school?,Were the,the children,children early,early at,at school,C,The hidden word is NEAR (childreN EARly).
HW_273,Look at that huge ape now,Look at,at that,that huge,huge ape,ape now,C,The hidden word is GAPE (that huge).
HW_274,She sent a post card home,She sent,sent a,a post,post card,card home,C,The hidden word is SCAR (a post).
HW_275,I will host any good party,I will,will host,host any,any good,good party,C,The hidden word is STAY (host any).
HW_276,Read the text again for homework,Read the,the text,text again,again for,for homework,C,The hidden word is STAG (text again).
HW_01,Dad saw one tall ash tree.,Dad saw,saw one,one tall,tall ash,ash tree,D,The hidden word is LASH (talL ASH).
HW_108,He is the best ally ever.,He is,is the,the best,best ally,ally ever,D,The hidden word is STALL (beST ALLy).
HW_113,The food made them ill today.,The food,food made,made them,them ill,ill today,D,The hidden word is MILL (theM ILL).
HW_114,Do not speak of ill will.,Do not,not speak,speak of,of ill,ill will,D,The hidden word is FILL (oF ILL).
HW_120,Have a cup of oolong tea.,Have a,a cup,cup of,of oolong,oolong tea,D,The hidden word is FOOL (oF OOLong).
HW_13,We saw a big old house.,We saw,saw a,a big,big old,old house,D,The hidden word is GOLD (biG OLD).
HW_16,He sent a crab item back.,He sent,sent a,a crab,crab item,item back,D,The hidden word is BITE (craB ITEm).
HW_188,He sent a rude email back.,He sent,sent a,a rude,rude email,email back,D,The hidden word is DEEM (ruDE EMail).
HW_190,Go visit the east pier soon.,Go visit,visit the,the east,east pier,pier soon,D,The hidden word is STEP (eaST Pier).
HW_191,That is a neat idea indeed.,That is,is a,a neat,neat idea,idea indeed,D,The hidden word is TIDE (neaT IDEa).
HW_192,She has a fat one now.,She has,has a,a fat,fat one,one now,D,The hidden word is TONE (faT ONE).
HW_194,He found a palm area map.,He found,found a,a palm,palm area,area map,D,The hidden word is MARE (palM AREa).
HW_20,They met a calm intern there.,They met,met a,a calm,calm intern,intern there,D,The hidden word is MINT (calM INTern).
HW_24,We saw a grim age ahead.,We saw,saw a,a grim,grim age,age ahead,D,The hidden word is MAGE (griM AGE).
HW_33,He ate a clam pie today.,He ate,ate a,a clam,clam pie,pie today,D,The hidden word is LAMP (cLAM Pie).
HW_37,Go find the teal item now.,Go find,find the,the teal,teal item,item now,D,The hidden word is LITE (teaL ITEm).
HW_38,She sent a rude email out.,She sent,sent a,a rude,rude email,email out,D,The hidden word is DEEM (ruDE EMail).
HW_40,It was a neat idea indeed.,It was,was a,a neat,neat idea,idea indeed,D,The hidden word is TIDE (neaT IDEa).
HW_41,It was a sad ash tree.,It was,was a,a sad,sad ash,ash tree,D,The hidden word is DASH (saD ASH).
HW_47,She has a fat one now.,She has,has a,a fat,fat one,one now,D,The hidden word is TONE (faT ONE).
HW_49,He found a palm area map.,He found,found a,a palm,palm area,area map,D,The hidden word is MARE (palM AREa).
HW_204,School began later during winter months.,School began,began later,later during,during winter,winter months,D,The hidden word is RING (duRING).
