Question,OptionA,OptionB,OptionC,OptionD,OptionE,Correct Answer,Difficulty
CX EV GT IR [?],KQ,LP,LQ,KP,JQ,KP,Level 1
AZ DW GT JQ [?],MO,MM,LN,MN,LM,MN,Level 1
BB DD FF HH [?],II,JJ,JK,IJ,JI,JJ,Level 1
XV TR PN LJ [?],IF,HE,IG,HG,HF,HF,Level 1
ZA YB XC WD [?],VE,VG,UF,VF,UE,VE,Level 1
CA EC GE IG [?],KI,KJ,KH,LI,LH,KI,Level 1
US SQ QM OK [?],MI,NH,MJ,NI,MH,MI,Level 1
BD EG HJ KM [?],NP,OQ,NQ,OP,NR,NP,Level 1
JL MO PR SU [?],VX,VY,UX,UW,VW,VX,Level 1
TV QS NP KM [?],HJ,GI,HI,HK,GJ,HJ,Level 1
AC CA FD DF [?],IG,IF,HH,HG,IH,IG,Level 1
XZ WY VX UW [?],TV,SW,SV,TU,TW,TV,Level 1
RN VR ZV DZ [?],HD,HB,ID,IE,DH,HD,Level 1
IH KJ ML ON [?],RQ,RP,QR,PQ,QP,QP,Level 1
QO RM QO RM [?],QQ,OQ,SO,QO,RP,QO,Level 4
QJ RK TM WP [?],TA,BT,AT,AV,BU,AT,Level 3
MQ NP PN SK [?],UG,GW,WE,WG,XH,WG,Level 3
HR KP NN QL [?],TH,UJ,JT,UK,TJ,TJ,Level 2
ME QI UM YQ [?],DV,AU,CU,UC,CT,CU,Level 1
SR QP ON ML [?],MJ,LK,KL,KJ,JK,KJ,Level 1
IY GA EC CE [?],AE,AG,CG,BH,GA,AG,Level 2
DQ AN XK UH [?],PE,RE,RC,SF,ER,RE,Level 1
EH GJ IL KN [?],MR,OP,NQ,MP,PM,MP,Level 1
TD RE TD RE [?],SD,TF,TD,UE,DT,TD,Level 4
CZ FC IF LI [?],ON,OL,NL,LO,PM,OL,Level 1
NM RJ VG ZD [?],DA,EB,DY,AD,BA,DA,Level 2
GO FP DR AU [?],WZ,YW,XZ,VY,WY,WY,Level 3
AE ZD YC XB [?],AW,XB,WA,UA,WY,WA,Level 1
PY OZ MB JE [?],DI,IF,FJ,GJ,FI,FI,Level 3
QC TE QC TE [?],RD,QC,CQ,QA,OC,QC,Level 4
FK DN FK DN [?],FM,EK,KF,FK,GL,FK,Level 4
IY MC IY MC [?],IA,YI,HY,IY,JZ,IY,Level 4
DC EB GZ JW [?],NS,OT,PS,SN,NU,NS,Level 3
OA MX KU IR [?],OG,HP,FO,GQ,GO,GO,Level 2
TG XE BC FA [?],JY,JZ,KZ,YJ,KY,JY,Level 2
UC XA AY DW [?],GV,HU,GU,HV,UG,GU,Level 2
IU JV LX OA [?],ES,TF,QE,SE,SF,SE,Level 3
MV JS GP DM [?],YJ,BK,AH,JA,AJ,AJ,Level 1
HC GB EZ BW [?],XS,YS,XR,YT,SX,XS,Level 3
SC TD VF YI [?],CK,DN,AM,CM,MC,CM,Level 3
FZ CW ZT WQ [?],UO,TM,UN,NT,TN,TN,Level 1
KH ML OP QT [?],SX,XS,TX,TY,SV,SX,Level 2
MN OK QH SE [?],VB,VC,UB,UD,BU,UB,Level 2
HB EY BV YS [?],TP,WQ,VR,VP,PV,VP,Level 1
HD IE KG NJ [?],NR,RL,RN,SO,TN,RN,Level 3
DA CB AD XG [?],KT,TM,TK,SK,UL,TK,Level 3
GT DU AV XW [?],UW,UX,XU,SX,VY,UX,Level 2
FL JP NT RX [?],VC,WB,BV,WC,VB,VB,Level 1
BY ZB BY ZB [?],CY,YB,BA,BY,CZ,BY,Level 4
SD TC VA YX [?],BT,CT,TC,CU,DU,CT,Level 3
GR IP GR IP [?],RG,GP,IR,HS,GR,GR,Level 4
RQ SR UT XW [?],DA,CB,BA,BZ,AB,BA,Level 3
JF HI JF HI [?],JF,JG,KG,KF,FJ,JF,Level 4
IP FS CV ZY [?],XC,UB,BW,WD,WB,WB,Level 2
NM LK JI HG [?],HE,FE,FF,GF,EF,FE,Level 1
OH PG RE UB [?],YX,XY,YY,ZY,AX,YX,Level 3
ES DR BP YM [?],UI,IU,UJ,TI,VJ,UI,Level 3
PU QV SX VA [?],ZE,ZG,BE,EZ,AF,ZE,Level 3
IZ JA LC OF [?],SH,RJ,JS,SJ,TK,SJ,Level 3
NO PQ RS TU [?],WX,WV,VW,VY,WW,VW,Level 1
PC NA LY JW [?],JU,IV,UH,HU,HS,HU,Level 1
CL DI EF FC [?],FZ,GZ,GY,ZG,HA,GZ,Level 2
IY FV CS ZP [?],WM,MW,XN,WO,VM,WM,Level 1
JI IJ GL DO [?],SZ,ZQ,BS,AT,ZS,ZS,Level 3
IV MX IV MX [?],GV,VI,IW,IV,JW,IV,Level 4
PL SO VR YU [?],XB,CY,CX,BW,BX,BX,Level 1
DC AE XG UI [?],SL,RJ,RK,SK,KR,RK,Level 2
CR EO GL II [?],KF,JF,KD,FK,LG,KF,Level 2
EZ GW EZ GW [?],ZE,FA,GZ,EY,EZ,EZ,Level 4
CD BF CD BF [?],CD,AD,CF,DC,DE,CD,Level 4
CU FX IA LD [?],PH,OH,GO,OG,PG,OG,Level 1
QD PC OB NA [?],MA,ZM,NA,MZ,OZ,MZ,Level 1
DZ HA DZ HA [?],ZD,DX,FZ,EA,DZ,DZ,Level 4
SA UD WG YJ [?],MA,BM,AM,BN,AN,AM,Level 2
SW PT MQ JN [?],HL,IK,GK,KG,GI,GK,Level 1
SS UR WQ YP [?],AN,AO,BP,ZO,OA,AO,Level 2
LQ MS LQ MS [?],LR,KQ,MR,QL,LQ,LQ,Level 4
LN MO NP OQ [?],QS,PR,RP,PS,QR,PR,Level 1
EB BY EB BY [?],FC,EB,CB,BE,ED,EB,Level 4
DT AS DT AS [?],CT,DT,DU,EU,TD,DT,Level 4
UQ SS QU OW [?],YM,MA,OY,NZ,MY,MY,Level 2
TU XR BO FL [?],IJ,II,KJ,JG,JI,JI,Level 2
CU BX CU BX [?],BU,DV,CU,CS,UC,CU,Level 4
ID JB ID JB [?],IF,JD,DI,ID,JE,ID,Level 4
TZ QW NT KQ [?],HL,NH,HN,JN,IO,HN,Level 1
DJ GK DJ GK [?],BJ,DJ,JD,EK,DI,DJ,Level 4
LS IP FM CJ [?],ZF,BG,ZG,AH,GZ,ZG,Level 2
IJ JI LG OD [?],SZ,SY,TZ,ZS,TA,SZ,Level 3
KP OT SX WB [?],BG,CF,FA,AD,AF,AF,Level 1
GP IR KT MV [?],PY,XO,OV,NX,OX,OX,Level 1
PK TO XS BW [?],FA,GB,HA,FY,AF,FA,Level 1
TS ST QV NY [?],JB,JC,KC,KD,CJ,JC,Level 3
QA TY WW ZU [?],CS,SC,CT,DT,ES,CS,Level 2
ER FS GT HU [?],JV,IT,VI,IV,JW,IV,Level 1
NR KO NR KO [?],OS,NR,RN,MR,NQ,NR,Level 4
BN YR BN YR [?],AN,BN,CO,NB,BL,BN,Level 4
NH MJ LL KN [?],LP,JR,KQ,JP,PJ,JP,Level 2
ED DC BA YX [?],ST,TU,VU,UT,UU,UT,Level 3
NX RA VD ZG [?],JD,DJ,DI,EK,FJ,DJ,Level 2
JN HL FJ DH [?],BE,CG,BF,ZF,FB,BF,Level 2
SY TZ VB YE [?],CI,BI,DJ,CK,IC,CI,Level 3
TY RA PC NE [?],MH,KG,LG,LH,GL,LG,Level 2
BL AK YI VF [?],RB,RD,QB,BR,SC,RB,Level 3
BZ AY YW VT [?],RO,SQ,PR,RP,QP,RP,Level 3
JI KJ ML PO [?],VS,TR,TS,UT,ST,TS,Level 3
AW DT GQ JN [?],MK,NK,KM,NL,MI,MK,Level 2
LG MF OD RA [?],XW,VV,WV,WX,VW,VW,Level 3
JE LH JE LH [?],KF,JD,LE,EJ,JE,JE,Level 4
UF RJ UF RJ [?],UH,VG,UF,WF,FU,UF,Level 4
ON PM RK UH [?],ZE,YC,AD,YD,DY,YD,Level 3
FA EZ CX ZU [?],QV,TQ,VQ,WR,VO,VQ,Level 3
QM TN WO ZP [?],CQ,QC,DR,EQ,CP,CQ,Level 2
AD ZC YB XA [?],ZW,RN,QO,WZ,WA,WZ,Level 1
YJ CH GF KD [?],PR,PB,OB,NB,PC,OB,Level 2
MN KK IH GE [?],EA,FC,DB,EB,MB,EB,Level 2
SV WD XD DL [?],GL,VE,LG,XH,HM,GL,Level 4
ZY XA WD WH [?],WM,XN,XM,YL,VE,XM,Level 3
PI OH NG MF [?],LE,EL,ME,LZ,LG,LE,Level 1
FO HQ JS LU [?],NW,BH,MV,NV,WN,NW,Level 1
NR OV QA TG [?],YN,YM,WO,WN,XN,XN,Level 3
FL CI ZF WC [?],SY,SA,TZ,UZ,ZT,TZ,Level 1
CW DZ FD II [?],MO,MN,MP,OM,NN,MO,Level 3
VS YV CZ HE [?],ML,PM,DM,NK,NM,NK,Level 3
TJ UK VL WM [?],NX,XP,XN,XM,WM,XN,Level 1
ZR AQ CQ FR [?],TJ,KS,CP,JT,JL,JT,Level 3
GK EJ CI AH [?],XF,GY,YG,ZG,AG,YG,Level 2
FO HL KJ OI [?],IT,TJ,TI,SI,UI,TI,Level 3
IS JQ LP OP [?],SP,GE,SS,SR,SQ,SQ,Level 3
MW KT IQ GN [?],EL,FK,IH,KX,EK,EK,Level 2
ZD DC HB LA [?],TC,ZP,QZ,PZ,OZ,PZ,Level 2
IT GR FQ FQ [?],GA,HQ,HS,GR,HR,GR,Level 3
QS PW OA NE [?],IM,OJ,IE,MI,OI,MI,Level 2
GT KX PC VI [?],BO,CP,PC,LU,CQ,CP,Level 3
LJ OL SO XS [?],XD,DX,DY,EW,RW,DX,Level 3
RU PT NS LR [?],OV,EL,JQ,KQ,IR,JQ,Level 2
QR TP WN ZL [?],DI,CL,CK,CJ,BI,CJ,Level 2
MI KL JP JU [?],JA,KB,LZ,KA,LA,KA,Level 3
CY DA EC FE [?],IG,GF,GH,GG,GI,GG,Level 2
DZ EA FB GC [?],GD,TU,QW,HD,GE,HD,Level 2
QT MN NN LH [?],WE,BX,OH,OG,NH,OH,Level 4
LP OM SK XJ [?],DK,DL,JD,CI,DJ,DJ,Level 3
GU KS PR VR [?],CS,CR,SC,DR,IQ,CS,Level 3
KZ LC NG QL [?],RU,TR,UR,WR,US,UR,Level 3
BP AQ AS BV [?],TI,DA,HX,DZ,EY,DZ,Level 3
RA OB LC ID [?],EF,GE,FE,GD,FG,FE,Level 2
XG RC SC OY [?],YR,RZ,QY,RY,SX,RY,Level 4
GL IN KP MR [?],TO,OU,PI,QT,OT,OT,Level 2
AV CX EZ GB [?],HC,DI,IE,ID,JD,ID,Level 1
SP ML NL JH [?],HM,MH,QI,MI,NH,MH,Level 4
SJ UN WR YV [?],ZA,BY,AZ,XX,BA,AZ,Level 2
MQ KP JP JQ [?],JS,LS,KU,SK,KS,KS,Level 3
RR TV VZ XD [?],HZ,NC,ZI,MJ,ZH,ZH,Level 2
ZE CI FM IQ [?],SC,MV,LU,NU,KU,LU,Level 2
XJ UH SG RG [?],SH,RH,TH,RG,NF,RH,Level 3
DQ CU BY AC [?],AH,ZF,GZ,YG,ZG,ZG,Level 2
EG IJ MM QP [?],KN,TR,US,SU,ON,US,Level 2
YG XF WE VD [?],UB,CU,TD,OB,UC,UC,Level 1
GZ KX OV ST [?],WQ,XQ,WR,XS,VS,WR,Level 2
WY XX YW ZV [?],AU,ZV,UA,ZU,BT,AU,Level 2
PS OP ON PM [?],WF,RM,MR,TM,QM,RM,Level 3
HF BD CD YB [?],BC,BB,AC,AB,CC,BB,Level 4
NZ RD VH ZL [?],DP,EQ,DO,TY,CO,DP,Level 2
ZP WM TJ QG [?],MN,MD,ND,NC,PD,ND,Level 1
PO RR TU VX [?],XC,XA,YB,WB,WA,XA,Level 2
LA NY QX UX [?],BY,YZ,BL,AX,ZY,ZY,Level 3
HV IW JX KY [?],ZL,MA,LZ,NZ,LA,LZ,Level 2
TI UL VO WR [?],XN,XU,LI,UX,XW,XU,Level 2
UI SL RP RU [?],SA,AS,RZ,RB,TB,SA,Level 3
MV OT QR SP [?],UM,UN,GA,WN,VN,UN,Level 2
IW HU HT IT [?],KV,KT,DC,KU,LV,KU,Level 3
XE BG GJ MN [?],UT,CZ,TS,TT,MW,TS,Level 3
SO WS AW EA [?],EI,IE,HF,MK,JE,IE,Level 1
LA JB HC FD [?],EF,ED,JO,DE,FE,DE,Level 2
JJ LG OE SD [?],DX,WD,WC,DH,XD,XD,Level 3
DZ HC MG SL [?],BR,ZR,RZ,NS,YR,ZR,Level 3
VH SL QQ PW [?],QE,PC,PD,AC,PF,PD,Level 3
UB WD ZG DK [?],IP,HQ,IR,HO,KP,IP,Level 3
TZ VD YI CO [?],HV,RZ,IV,VH,IU,HV,Level 3
IN GL EJ CH [?],BE,FA,BF,AG,AF,AF,Level 1
NU PX RA TD [?],WF,XK,VI,VG,GV,VG,Level 2
DR AV XZ UD [?],TH,ZG,RH,HR,QH,RH,Level 2
TI SH RG QF [?],EW,QF,OE,EP,PE,PE,Level 1
XK YL ZM AN [?],BO,DO,CO,OB,DZ,BO,Level 1
UF XI BM GR [?],LY,MX,YP,XM,NX,MX,Level 3
GT MN NN VH [?],YH,MH,HY,XI,ZI,YH,Level 4
XX AY DZ GA [?],JB,LB,IA,KB,UB,JB,Level 2
PG OI NK MM [?],OL,MO,LQ,LO,EE,LO,Level 2
JS GP DM AJ [?],WF,YH,LT,DQ,XG,XG,Level 1
KH HJ EL BN [?],DB,EI,YP,PY,XP,YP,Level 2
WO YQ AS CU [?],GW,WE,FX,FW,EW,EW,Level 2
WV XU YT ZS [?],RA,ZR,AR,CR,AS,AR,Level 2
HF LJ MJ SN [?],WO,UM,NV,VN,WM,VN,Level 4
AE CG EI GK [?],IL,JL,JM,IM,AH,IM,Level 1
RX PV NT LR [?],IQ,JP,PJ,LP,JQ,JP,Level 1
NI KF HC EZ [?],WB,CX,CW,GP,BW,BW,Level 1
WT AX EB IF [?],OU,MJ,MK,NJ,JQ,MJ,Level 1
LS NP QN UM [?],SE,YM,YL,ZM,BU,ZM,Level 3
EZ BA YB VC [?],UD,KW,SE,SD,SC,SD,Level 2
LQ NS PU RW [?],SY,TY,SZ,UY,YT,TY,Level 2
QB TE WH ZK [?],DM,CM,BO,NC,CN,CN,Level 1
II KH NH RI [?],LD,WK,WJ,YK,VL,WK,Level 3
EQ CY DY DG [?],ZY,GG,GH,FF,HH,GG,Level 4
IR KT MV OX [?],ZQ,QZ,RZ,RB,QA,QZ,Level 2
KA OC PC VE [?],EY,ZE,YE,YG,YF,YE,Level 4
QZ OW NU NT [?],NU,QT,TO,EQ,OT,OT,Level 3
AY GU HU PQ [?],QS,SR,RR,SQ,VX,SQ,Level 4
WK VL VN WQ [?],KA,ZU,AU,UY,YU,YU,Level 3
HF JH MK QO [?],WU,VS,TV,XX,VT,VT,Level 3
NK LI JG HE [?],CF,FC,FB,ED,FD,FC,Level 1
FL HF IF MZ [?],QA,RZ,PA,OZ,PZ,PZ,Level 4
CY ZV WS TP [?],QM,MQ,SM,RM,PN,QM,Level 1
DM AJ XG UD [?],QB,AR,KK,QZ,RA,RA,Level 1
WH TE QB NY [?],JU,LW,MV,VK,KV,KV,Level 1
JA IB GD DG [?],AL,KZ,ZK,AK,BN,ZK,Level 3
QN PQ OT NW [?],OZ,NY,LA,MZ,KZ,MZ,Level 2
JV HS FP DM [?],EG,BK,CI,BL,BJ,BJ,Level 2
CP DQ FS IV [?],MY,MZ,NY,OZ,MA,MZ,Level 3
FY GZ HA IB [?],KD,LC,JE,KB,JC,JC,Level 1
CB DC FE IH [?],ML,NK,OL,MN,LM,ML,Level 3
XV BS FP JM [?],JN,NL,OK,NJ,OI,NJ,Level 2
ZN AM BL CK [?],BJ,DJ,DK,JD,DM,DJ,Level 2
EC GB FA HZ [?],GY,GZ,HX,IY,YG,GY,Level 4
TJ RK QJ OK [?],OK,NL,NJ,OJ,JN,NJ,Level 4
NH QE PD SA [?],RA,SA,OZ,QY,RZ,RZ,Level 4
YZ BB ED HF [?],JH,KH,KJ,JI,LG,KH,Level 2
GC DE AG XI [?],UK,VJ,TK,KU,UL,UK,Level 2
TS RQ PO NM [?],MJ,ML,LM,LK,LI,LK,Level 1
VF SH RG OI [?],NH,OI,HN,LE,LH,NH,Level 4
FR CQ ZP WO [?],SN,TN,QN,TQ,SM,TN,Level 2
WD YC XB ZA [?],YB,ZY,VC,YY,YZ,YZ,Level 4
EE DD CC BB [?],CA,BZ,BA,AA,BB,AA,Level 2
JU KV MX PA [?],SE,TE,SD,QE,SF,TE,Level 3
KF JC IZ HW [?],FU,FS,GT,HT,ET,GT,Level 2
TU WR VQ YN [?],YN,MX,XM,XL,ZL,XM,Level 4
IE HH GK FN [?],HO,EQ,GQ,FQ,QE,EQ,Level 2
KG NF ME PD [?],PD,OC,CO,ME,OD,OC,Level 4
GU JX MA PD [?],QG,TG,TD,SG,GS,SG,Level 1
WF XG ZI CL [?],IP,GP,PG,GQ,GR,GP,Level 3
WF AJ EN IR [?],MV,VM,LV,LW,MW,MV,Level 1
MR PU SX VA [?],VD,XE,DY,ZE,YD,YD,Level 1
AO BP CQ DR [?],ES,FT,HS,SE,GS,ES,Level 2
PW NY MX KZ [?],JY,YJ,HY,IZ,KY,JY,Level 4
SR QP ON ML [?],JJ,KH,KJ,MK,JK,KJ,Level 1
LD MA NX OU [?],QR,NR,PR,PS,OR,PR,Level 2
KO NR QU TX [?],ZB,WZ,AW,WA,XB,WA,Level 2
BB AC YE VH [?],SK,RK,RL,TL,SL,RL,Level 3
QP PO NM KJ [?],FG,FE,GF,HG,GE,GF,Level 3
RJ SK UM XP [?],CS,BT,TB,BV,AT,BT,Level 3
NY OZ QB TE [?],YI,YJ,XI,AF,XK,XI,Level 3
HP IO KM NJ [?],QG,SE,RH,RF,QE,RF,Level 3
MF KD IB GZ [?],CX,XE,EY,EX,DY,EX,Level 2
OX MV KT IR [?],HQ,IQ,GP,HP,GN,GP,Level 2
MX OY QZ SA [?],RE,UB,BU,UD,XA,UB,Level 2
AN EL IJ MH [?],SG,QF,NH,FQ,OF,QF,Level 2
IB HY GV FS [?],EP,FO,GP,ER,PE,EP,Level 2
EQ CO AM YK [?],IW,WJ,WI,XJ,VI,WI,Level 1
AV ES IP MM [?],JQ,QJ,RK,QH,QL,QJ,Level 2
UZ XC AF DI [?],GJ,JN,HM,DO,GL,GL,Level 1
BD CC EA HX [?],JT,LT,KT,MS,NS,LT,Level 3
PZ TD XH BL [?],FO,FQ,FP,PF,GM,FP,Level 1
HI JK LM NO [?],PP,PQ,RQ,QP,OQ,PQ,Level 1
AD ZC XA UX [?],RU,TQ,OT,QT,QU,QT,Level 3
XT YU ZV AW [?],AX,AY,BV,BX,CW,BX,Level 1
WK XL ZN CQ [?],GU,HV,EU,FR,HU,GU,Level 3
EJ DK BM YP [?],TV,VS,UT,ST,TU,UT,Level 3
YT VQ SN PK [?],HM,MG,LH,LG,MH,MH,Level 1
HV IS JP KM [?],MJ,KJ,JL,IL,LJ,LJ,Level 2
MZ QD UH YL [?],PC,DQ,CP,CQ,EQ,CP,Level 2
WP AT ZS DW [?],CX,BV,CW,BU,CV,CV,Level 4
BG ZF YE WD [?],CV,VC,XC,UB,VD,VC,Level 4
MS LT JV GY [?],EC,BD,CE,CF,CC,CC,Level 3
IM HL GK FJ [?],EI,CJ,EH,IE,EG,EI,Level 1
OE NF ME LF [?],EK,JE,KE,KC,HH,KE,Level 4
MH NG PE SB [?],YU,XW,XX,WX,WZ,WX,Level 3
PL TN XP BR [?],ET,IU,FW,DT,FT,FT,Level 2
MR KT JS HU [?],GV,FU,GT,GS,HS,GT,Level 4
BM ZK XI VG [?],SD,SF,TD,TE,ET,TE,Level 2
KL HI GH DE [?],ED,CD,DC,CB,CF,CD,Level 4
ZG AH CJ FM [?],GT,JQ,JR,IR,QJ,JQ,Level 3
IC KE MG OI [?],RK,KQ,QM,QK,RM,QK,Level 2
MG JD GA DX [?],AU,AW,AV,UA,ZT,AU,Level 1
NF OG QI TL [?],XM,VO,WO,XP,PX,XP,Level 3
KI JH IG HF [?],EG,JF,FF,GE,GG,GE,Level 2
RS ST UV XY [?],BC,CB,CE,ZB,BB,BC,Level 3
DB GE JH MK [?],PP,PN,NP,QN,RN,PN,Level 1
UZ VY WX XW [?],XV,YV,ZU,XU,YU,YV,Level 2
BJ ZH XF VD [?],TZ,TB,TE,TY,SB,TB,Level 1
PM MN JO GP [?],CR,AP,EQ,DT,DQ,DQ,Level 2
XA YB XA YB [?],AX,XA,XY,WB,ZA,XA,Level 4
CU AT YS WR [?],VP,UP,UQ,US,SQ,UQ,Level 2
IB JC LE OH [?],LS,SL,QN,QL,SM,SL,Level 3
HN KP NR QT [?],RV,TV,SW,VT,RU,TV,Level 2
OK RL UM XN [?],CO,AO,ZP,ZN,AP,AO,Level 2
HT GS FR EQ [?],BP,EP,EQ,DP,PD,DP,Level 1
OJ PK QL RM [?],QQ,TN,RN,SN,NS,SN,Level 1
CM FP IS LV [?],OY,NY,LV,OW,OZ,OY,Level 1
PH SF VD YB [?],BY,CZ,ZB,CY,BZ,BZ,Level 2
UI YJ CK GL [?],KK,IJ,JP,MM,KM,KM,Level 2
TU WS VR YP [?],XO,AO,WP,OX,YP,XO,Level 4
AU YS WQ UO [?],TL,SM,QM,TN,MS,SM,Level 2
UK TJ SI RH [?],RI,QG,QH,RG,SG,QG,Level 1
XE YI ZM AQ [?],AW,BU,BW,EU,BV,BU,Level 2
GC DB AA XZ [?],UY,SY,UX,TZ,UW,UY,Level 2
OI PF OE PB [?],OZ,OY,OA,QA,AO,OA,Level 4
QF NC KZ HW [?],FS,DT,ER,EV,ET,ET,Level 1
NH QK TN WQ [?],TZ,ZS,XU,AT,ZT,ZT,Level 1
AH BI DK GN [?],KR,MR,MU,RK,KT,KR,Level 3
RC SD TE UF [?],XH,VG,GV,WF,VF,VG,Level 2
