id,Difficulty,Question Pairs,OptionA,OptionB,OptionC,OptionD,OptionE,Correct Answer,Explanation
30,Level 1,"(show, performance) (sport, fun)",RACKET,OBJECT,FLY,PRESENT,PLAY,E,The word 'PLAY' links the two pairs. 1. Play means 'show' or 'performance'. 2. Play also means 'sport' or 'fun'.
31,Level 1,"(washbowl, drain) (descend, drop)",POOL,SEASON,BAT,WATCH,SINK,E,The word 'SINK' links the two pairs. 1. Sink means 'washbowl' or 'drain'. 2. Sink also means 'descend' or 'drop'.
32,Level 1,"(band, circle) (phone, sound)",RING,GRATE,SCALE,WATCH,INVALID,A,The word 'RING' links the two pairs. 1. Ring means 'band' or 'circle'. 2. Ring also means 'phone' or 'sound'.
33,Level 1,"(cooler, blade) (lover, supporter)",FAN,WAVE,POOL,ROCK,REFUSE,A,The word 'FAN' links the two pairs. 1. Fan means 'cooler' or 'blade'. 2. Fan also means 'lover' or 'supporter'.
34,Level 1,"(nice, well) (charge, penalty)",JAM,LEAD,WAVE,FINE,SINK,D,The word 'FINE' links the two pairs. 1. Fine means 'nice' or 'well'. 2. Fine also means 'charge' or 'penalty'.
35,Level 1,"(performance, drama) (fun, game)",GRATE,PLAY,PARK,BOLT,POOL,B,The word 'PLAY' links the two pairs. 1. Play means 'performance' or 'drama'. 2. Play also means 'fun' or 'game'.
36,Level 1,"(shout, cry) (rind, skin)",BARK,CLUB,POOL,GRATE,PLAY,A,The word 'BARK' links the two pairs. 1. Bark means 'shout' or 'cry'. 2. Bark also means 'rind' or 'skin'.
37,Level 1,"(drama, show) (sport, game)",PLAY,JERK,POOL,PATIENT,MINT,A,The word 'PLAY' links the two pairs. 1. Play means 'drama' or 'show'. 2. Play also means 'sport' or 'game'.
38,Level 1,"(blower, blade) (lover, supporter)",RACKET,FAN,SEASON,WATCH,BAT,B,The word 'FAN' links the two pairs. 1. Fan means 'blower' or 'blade'. 2. Fan also means 'lover' or 'supporter'.
39,Level 1,"(contest, game) (equal, same)",LONG,LEAD,WAVE,ROCK,MATCH,E,The word 'MATCH' links the two pairs. 1. Match means 'contest' or 'game'. 2. Match also means 'equal' or 'same'.
40,Level 1,"(cry, yell) (rind, covering)",STERN,TENDER,POUND,BARK,LEAD,D,The word 'BARK' links the two pairs. 1. Bark means 'cry' or 'yell'. 2. Bark also means 'rind' or 'covering'.
41,Level 1,"(glide, soar) (insect, pest)",GRATE,FLY,JAM,JERK,BOLT,B,The word 'FLY' links the two pairs. 1. Fly means 'glide' or 'soar'. 2. Fly also means 'insect' or 'pest'.
42,Level 1,"(shout, yell) (covering, rind)",FAN,BARK,MINUTE,REFUSE,FLY,B,The word 'BARK' links the two pairs. 1. Bark means 'shout' or 'yell'. 2. Bark also means 'covering' or 'rind'.
43,Level 1,"(club, stick) (animal, creature)",PRESENT,STEEP,SINK,BAT,CONTRACT,D,The word 'BAT' links the two pairs. 1. Bat means 'club' or 'stick'. 2. Bat also means 'animal' or 'creature'.
44,Level 1,"(garden, estate) (stop, place)",BOLT,CONTRACT,BAT,PARK,OBJECT,D,The word 'PARK' links the two pairs. 1. Park means 'garden' or 'estate'. 2. Park also means 'stop' or 'place'.
45,Level 1,"(gesture, signal) (swell, sea)",BAT,WAVE,WATCH,BARK,FAIR,B,The word 'WAVE' links the two pairs. 1. Wave means 'gesture' or 'signal'. 2. Wave also means 'swell' or 'sea'.
46,Level 1,"(stone, pebble) (sway, shake)",MINT,CONTRACT,PARK,GRAVE,ROCK,E,The word 'ROCK' links the two pairs. 1. Rock means 'stone' or 'pebble'. 2. Rock also means 'sway' or 'shake'.
47,Level 1,"(signal, gesture) (ripple, swell)",QUAIL,OBJECT,WAVE,CURRENT,BAT,C,The word 'WAVE' links the two pairs. 1. Wave means 'signal' or 'gesture'. 2. Wave also means 'ripple' or 'swell'.
48,Level 1,"(shout, cry) (covering, skin)",CLUB,BARK,FAN,BOLT,INVALID,B,The word 'BARK' links the two pairs. 1. Bark means 'shout' or 'cry'. 2. Bark also means 'covering' or 'skin'.
49,Level 1,"(hover, glide) (pest, insect)",LONG,STERN,STEEP,FLY,RACKET,D,The word 'FLY' links the two pairs. 1. Fly means 'hover' or 'glide'. 2. Fly also means 'pest' or 'insect'.
50,Level 1,"(cooler, blade) (admirer, supporter)",WAVE,MINT,RING,FAN,WATCH,D,The word 'FAN' links the two pairs. 1. Fan means 'cooler' or 'blade'. 2. Fan also means 'admirer' or 'supporter'.
51,Level 1,"(well, good) (charge, fee)",GRATE,POOL,LEAD,FINE,TENDER,D,The word 'FINE' links the two pairs. 1. Fine means 'well' or 'good'. 2. Fine also means 'charge' or 'fee'.
52,Level 1,"(band, circle) (call, phone)",RING,CURRENT,PATIENT,BARK,CLUB,A,The word 'RING' links the two pairs. 1. Ring means 'band' or 'circle'. 2. Ring also means 'call' or 'phone'.
53,Level 1,"(loop, band) (phone, call)",RING,LONG,LEAD,QUAIL,SCALE,A,The word 'RING' links the two pairs. 1. Ring means 'loop' or 'band'. 2. Ring also means 'phone' or 'call'.
54,Level 1,"(gesture, signal) (ripple, swell)",INVALID,WAVE,CONTENT,STERN,REFUSE,B,The word 'WAVE' links the two pairs. 1. Wave means 'gesture' or 'signal'. 2. Wave also means 'ripple' or 'swell'.
55,Level 1,"(loop, circle) (sound, phone)",JERK,RING,PATIENT,BAT,TRIP,B,The word 'RING' links the two pairs. 1. Ring means 'loop' or 'circle'. 2. Ring also means 'sound' or 'phone'.
56,Level 1,"(preserve, jelly) (block, squeeze)",CONTRACT,LEAD,JAM,MATCH,TRIP,C,The word 'JAM' links the two pairs. 1. Jam means 'preserve' or 'jelly'. 2. Jam also means 'block' or 'squeeze'.
57,Level 1,"(signal, gesture) (swell, sea)",CLUB,INVALID,FINE,WATCH,WAVE,E,The word 'WAVE' links the two pairs. 1. Wave means 'signal' or 'gesture'. 2. Wave also means 'swell' or 'sea'.
58,Level 1,"(stick, racket) (animal, mammal)",CONTRACT,FINE,BAT,STEEP,REFUSE,C,The word 'BAT' links the two pairs. 1. Bat means 'stick' or 'racket'. 2. Bat also means 'animal' or 'mammal'.
59,Level 1,"(garden, green) (position, place)",LONG,JERK,FAN,PARK,SINK,D,The word 'PARK' links the two pairs. 1. Park means 'garden' or 'green'. 2. Park also means 'position' or 'place'.
60,Level 1,"(drama, performance) (sport, game)",PRESENT,LONG,SCALE,PLAY,QUAIL,D,The word 'PLAY' links the two pairs. 1. Play means 'drama' or 'performance'. 2. Play also means 'sport' or 'game'.
61,Level 1,"(well, nice) (fee, charge)",GRATE,JERK,FINE,REFUSE,PRESENT,C,The word 'FINE' links the two pairs. 1. Fine means 'well' or 'nice'. 2. Fine also means 'fee' or 'charge'.
62,Level 1,"(club, racket) (creature, mammal)",BOLT,BAT,BARK,PATIENT,YARD,B,The word 'BAT' links the two pairs. 1. Bat means 'club' or 'racket'. 2. Bat also means 'creature' or 'mammal'.
63,Level 1,"(performance, drama) (game, sport)",CONTENT,PLAY,PATIENT,SEASON,FINE,B,The word 'PLAY' links the two pairs. 1. Play means 'performance' or 'drama'. 2. Play also means 'game' or 'sport'.
64,Level 1,"(jelly, preserve) (crowd, block)",STEEP,JAM,BARK,YARD,RASH,B,The word 'JAM' links the two pairs. 1. Jam means 'jelly' or 'preserve'. 2. Jam also means 'crowd' or 'block'.
65,Level 1,"(tour, outing) (stumble, slip)",CURRENT,LONG,LEAD,TRIP,POUND,D,The word 'TRIP' links the two pairs. 1. Trip means 'tour' or 'outing'. 2. Trip also means 'stumble' or 'slip'.
66,Level 1,"(loop, circle) (call, sound)",STEEP,WAVE,LONG,SCALE,RING,E,The word 'RING' links the two pairs. 1. Ring means 'loop' or 'circle'. 2. Ring also means 'call' or 'sound'.
67,Level 1,"(outing, tour) (fall, stumble)",MINUTE,TRIP,FLY,SINK,BOLT,B,The word 'TRIP' links the two pairs. 1. Trip means 'outing' or 'tour'. 2. Trip also means 'fall' or 'stumble'.
68,Level 1,"(contest, sport) (pair, equal)",INVALID,SEASON,SCALE,MATCH,MINT,D,The word 'MATCH' links the two pairs. 1. Match means 'contest' or 'sport'. 2. Match also means 'pair' or 'equal'.
69,Level 1,"(nice, good) (penalty, fee)",STERN,FINE,FAN,MINUTE,TRIP,B,The word 'FINE' links the two pairs. 1. Fine means 'nice' or 'good'. 2. Fine also means 'penalty' or 'fee'.
70,Level 1,"(band, circle) (phone, call)",RASH,SCALE,BAT,GRAVE,RING,E,The word 'RING' links the two pairs. 1. Ring means 'band' or 'circle'. 2. Ring also means 'phone' or 'call'.
71,Level 1,"(basin, drain) (descend, fall)",BOLT,STERN,WATCH,BAT,SINK,E,The word 'SINK' links the two pairs. 1. Sink means 'basin' or 'drain'. 2. Sink also means 'descend' or 'fall'.
72,Level 1,"(tour, journey) (fall, stumble)",BOLT,RASH,PARK,TRIP,FAIR,D,The word 'TRIP' links the two pairs. 1. Trip means 'tour' or 'journey'. 2. Trip also means 'fall' or 'stumble'.
73,Level 1,"(washbowl, basin) (drop, descend)",OBJECT,GRATE,MATCH,PATIENT,SINK,E,The word 'SINK' links the two pairs. 1. Sink means 'washbowl' or 'basin'. 2. Sink also means 'drop' or 'descend'.
74,Level 1,"(shout, cry) (rind, skin)",BARK,CLUB,JAM,LEAD,RASH,A,The word 'BARK' links the two pairs. 1. Bark means 'shout' or 'cry'. 2. Bark also means 'rind' or 'skin'.
75,Level 1,"(outing, tour) (stumble, slip)",CONTENT,SINK,CURRENT,BARK,TRIP,E,The word 'TRIP' links the two pairs. 1. Trip means 'outing' or 'tour'. 2. Trip also means 'stumble' or 'slip'.
76,Level 1,"(basin, drain) (fall, descend)",BARK,SINK,RING,LEAD,GRAVE,B,The word 'SINK' links the two pairs. 1. Sink means 'basin' or 'drain'. 2. Sink also means 'fall' or 'descend'.
77,Level 1,"(racket, stick) (animal, mammal)",FINE,JERK,GRATE,BAT,WAVE,D,The word 'BAT' links the two pairs. 1. Bat means 'racket' or 'stick'. 2. Bat also means 'animal' or 'mammal'.
78,Level 1,"(boulder, stone) (swing, sway)",ROCK,BOLT,OBJECT,MATCH,PARK,A,The word 'ROCK' links the two pairs. 1. Rock means 'boulder' or 'stone'. 2. Rock also means 'swing' or 'sway'.
79,Level 1,"(gesture, sign) (ripple, swell)",WAVE,MINUTE,CLUB,WATCH,JERK,A,The word 'WAVE' links the two pairs. 1. Wave means 'gesture' or 'sign'. 2. Wave also means 'ripple' or 'swell'.
80,Level 1,"(sign, gesture) (ripple, sea)",POUND,TENDER,CONTENT,WAVE,MINUTE,D,The word 'WAVE' links the two pairs. 1. Wave means 'sign' or 'gesture'. 2. Wave also means 'ripple' or 'sea'.
81,Level 1,"(spread, jelly) (block, squeeze)",JAM,BOLT,OBJECT,SINK,RING,A,The word 'JAM' links the two pairs. 1. Jam means 'spread' or 'jelly'. 2. Jam also means 'block' or 'squeeze'.
82,Level 1,"(shout, yell) (rind, covering)",GRATE,BAT,BOLT,QUAIL,BARK,E,The word 'BARK' links the two pairs. 1. Bark means 'shout' or 'yell'. 2. Bark also means 'rind' or 'covering'.
83,Level 1,"(gesture, sign) (ripple, swell)",WAVE,SCALE,YARD,CONTENT,BOLT,A,The word 'WAVE' links the two pairs. 1. Wave means 'gesture' or 'sign'. 2. Wave also means 'ripple' or 'swell'.
84,Level 1,"(washbowl, basin) (fall, drop)",RACKET,CONTRACT,TENDER,SINK,JERK,D,The word 'SINK' links the two pairs. 1. Sink means 'washbowl' or 'basin'. 2. Sink also means 'fall' or 'drop'.
85,Level 1,"(garden, green) (stop, place)",PARK,BOLT,MATCH,FAN,PRESENT,A,The word 'PARK' links the two pairs. 1. Park means 'garden' or 'green'. 2. Park also means 'stop' or 'place'.
86,Level 1,"(preserve, spread) (squeeze, crowd)",RASH,JAM,LEAD,FAN,RING,B,The word 'JAM' links the two pairs. 1. Jam means 'preserve' or 'spread'. 2. Jam also means 'squeeze' or 'crowd'.
87,Level 1,"(blower, blade) (lover, supporter)",SINK,FAN,WAVE,FINE,RING,B,The word 'FAN' links the two pairs. 1. Fan means 'blower' or 'blade'. 2. Fan also means 'lover' or 'supporter'.
88,Level 1,"(estate, green) (place, position)",SEASON,PRESENT,PLAY,PARK,POOL,D,The word 'PARK' links the two pairs. 1. Park means 'estate' or 'green'. 2. Park also means 'place' or 'position'.
89,Level 1,"(contest, sport) (pair, equal)",MINUTE,CONTRACT,LEAD,PATIENT,MATCH,E,The word 'MATCH' links the two pairs. 1. Match means 'contest' or 'sport'. 2. Match also means 'pair' or 'equal'.
90,Level 1,"(sport, contest) (same, pair)",PRESENT,MATCH,PATIENT,WATCH,OBJECT,B,The word 'MATCH' links the two pairs. 1. Match means 'sport' or 'contest'. 2. Match also means 'same' or 'pair'.
91,Level 1,"(sport, contest) (pair, equal)",FAN,MATCH,PRESENT,YARD,ROCK,B,The word 'MATCH' links the two pairs. 1. Match means 'sport' or 'contest'. 2. Match also means 'pair' or 'equal'.
92,Level 1,"(estate, green) (stop, place)",RASH,CLUB,TENDER,FLY,PARK,E,The word 'PARK' links the two pairs. 1. Park means 'estate' or 'green'. 2. Park also means 'stop' or 'place'.
93,Level 1,"(signal, gesture) (ripple, swell)",STEEP,RASH,WAVE,PRESENT,QUAIL,C,The word 'WAVE' links the two pairs. 1. Wave means 'signal' or 'gesture'. 2. Wave also means 'ripple' or 'swell'.
94,Level 1,"(sport, game) (pair, same)",FINE,JAM,MATCH,POOL,QUAIL,C,The word 'MATCH' links the two pairs. 1. Match means 'sport' or 'game'. 2. Match also means 'pair' or 'same'.
95,Level 1,"(stick, racket) (mammal, creature)",MATCH,INVALID,GRATE,PATIENT,BAT,E,The word 'BAT' links the two pairs. 1. Bat means 'stick' or 'racket'. 2. Bat also means 'mammal' or 'creature'.
96,Level 1,"(garden, estate) (place, position)",PARK,JAM,RING,FAN,TENDER,A,The word 'PARK' links the two pairs. 1. Park means 'garden' or 'estate'. 2. Park also means 'place' or 'position'.
97,Level 1,"(observe, view) (timer, timepiece)",LEAD,JERK,WAVE,WATCH,FAN,D,The word 'WATCH' links the two pairs. 1. Watch means 'observe' or 'view'. 2. Watch also means 'timer' or 'timepiece'.
98,Level 1,"(hover, glide) (insect, bug)",BAT,MATCH,FLY,INVALID,CONTRACT,C,The word 'FLY' links the two pairs. 1. Fly means 'hover' or 'glide'. 2. Fly also means 'insect' or 'bug'.
99,Level 1,"(sign, signal) (swell, sea)",WAVE,JAM,GRAVE,GRATE,STERN,A,The word 'WAVE' links the two pairs. 1. Wave means 'sign' or 'signal'. 2. Wave also means 'swell' or 'sea'.
100,Level 1,"(stick, racket) (creature, mammal)",STERN,FAIR,BAT,QUAIL,RING,C,The word 'BAT' links the two pairs. 1. Bat means 'stick' or 'racket'. 2. Bat also means 'creature' or 'mammal'.
101,Level 2,"(ascend, climb) (skin, plate)",YARD,RACKET,CLUB,RASH,SCALE,E,The word 'SCALE' links the two pairs. 1. Scale means 'ascend' or 'climb'. 2. Scale also means 'skin' or 'plate'.
102,Level 2,"(harsh, severe) (rear, aft)",STERN,INVALID,POUND,MINUTE,RASH,A,The word 'STERN' links the two pairs. 1. Stern means 'harsh' or 'severe'. 2. Stern also means 'rear' or 'aft'.
103,Level 2,"(tall, extended) (wish, desire)",RING,FLY,ROCK,CLUB,LONG,E,The word 'LONG' links the two pairs. 1. Long means 'tall' or 'extended'. 2. Long also means 'wish' or 'desire'.
104,Level 2,"(yank, tug) (dolt, fool)",FAIR,CURRENT,JERK,GRAVE,BOLT,C,The word 'JERK' links the two pairs. 1. Jerk means 'yank' or 'tug'. 2. Jerk also means 'dolt' or 'fool'.
105,Level 2,"(present, now) (flow, tide)",CURRENT,SINK,FINE,CONTRACT,GRATE,A,The word 'CURRENT' links the two pairs. 1. Current means 'present' or 'now'. 2. Current also means 'flow' or 'tide'.
106,Level 2,"(equal, just) (fete, festival)",GRAVE,STEEP,CONTRACT,SINK,FAIR,E,The word 'FAIR' links the two pairs. 1. Fair means 'equal' or 'just'. 2. Fair also means 'fete' or 'festival'.
107,Level 2,"(pond, puddle) (merge, combine)",PATIENT,FAIR,PRESENT,JAM,POOL,E,The word 'POOL' links the two pairs. 1. Pool means 'pond' or 'puddle'. 2. Pool also means 'merge' or 'combine'.
108,Level 2,"(yank, pull) (idiot, dolt)",GRAVE,MATCH,JERK,PRESENT,POUND,C,The word 'JERK' links the two pairs. 1. Jerk means 'yank' or 'pull'. 2. Jerk also means 'idiot' or 'dolt'.
109,Level 2,"(record, dossier) (smooth, rub)",FILE,JERK,CURRENT,RING,RACKET,A,The word 'FILE' links the two pairs. 1. File means 'record' or 'dossier'. 2. File also means 'smooth' or 'rub'.
110,Level 2,"(present, now) (flow, tide)",MATCH,CURRENT,WATCH,TENDER,LONG,B,The word 'CURRENT' links the two pairs. 1. Current means 'present' or 'now'. 2. Current also means 'flow' or 'tide'.
111,Level 2,"(climb, mount) (plate, skin)",SINK,POUND,SCALE,SEASON,BAT,C,The word 'SCALE' links the two pairs. 1. Scale means 'climb' or 'mount'. 2. Scale also means 'plate' or 'skin'.
112,Level 2,"(group, association) (baton, stick)",FILE,WATCH,MATCH,MINT,CLUB,E,The word 'CLUB' links the two pairs. 1. Club means 'group' or 'association'. 2. Club also means 'baton' or 'stick'.
113,Level 2,"(tug, yank) (dolt, fool)",REFUSE,JERK,TENDER,CONTENT,POOL,B,The word 'JERK' links the two pairs. 1. Jerk means 'tug' or 'yank'. 2. Jerk also means 'dolt' or 'fool'.
114,Level 2,"(present, now) (tide, flow)",WATCH,FLY,FINE,CURRENT,MINT,D,The word 'CURRENT' links the two pairs. 1. Current means 'present' or 'now'. 2. Current also means 'tide' or 'flow'.
115,Level 2,"(record, dossier) (rub, scrape)",POUND,MINUTE,FILE,MINT,CLUB,C,The word 'FILE' links the two pairs. 1. File means 'record' or 'dossier'. 2. File also means 'rub' or 'scrape'.
116,Level 2,"(present, now) (stream, tide)",POOL,CURRENT,FINE,YARD,BAT,B,The word 'CURRENT' links the two pairs. 1. Current means 'present' or 'now'. 2. Current also means 'stream' or 'tide'.
117,Level 2,"(climb, mount) (flake, plate)",TRIP,BARK,SCALE,CLUB,STEEP,C,The word 'SCALE' links the two pairs. 1. Scale means 'climb' or 'mount'. 2. Scale also means 'flake' or 'plate'.
118,Level 2,"(fasten, lock) (dash, run)",JERK,MATCH,FLY,BOLT,RASH,D,The word 'BOLT' links the two pairs. 1. Bolt means 'fasten' or 'lock'. 2. Bolt also means 'dash' or 'run'.
119,Level 2,"(scrape, shred) (hearth, fireplace)",BAT,YARD,TRIP,GRATE,SCALE,D,The word 'GRATE' links the two pairs. 1. Grate means 'scrape' or 'shred'. 2. Grate also means 'hearth' or 'fireplace'.
120,Level 2,"(now, existing) (flow, stream)",CURRENT,CONTENT,RASH,BOLT,FINE,A,The word 'CURRENT' links the two pairs. 1. Current means 'now' or 'existing'. 2. Current also means 'flow' or 'stream'.
121,Level 2,"(ascend, mount) (plate, skin)",JERK,SCALE,FAN,TRIP,FLY,B,The word 'SCALE' links the two pairs. 1. Scale means 'ascend' or 'mount'. 2. Scale also means 'plate' or 'skin'.
122,Level 2,"(lengthy, tall) (wish, desire)",JAM,PATIENT,LONG,FLY,QUAIL,C,The word 'LONG' links the two pairs. 1. Long means 'lengthy' or 'tall'. 2. Long also means 'wish' or 'desire'.
123,Level 2,"(currency, cash) (beat, thump)",JERK,POUND,SINK,CLUB,MINUTE,B,The word 'POUND' links the two pairs. 1. Pound means 'currency' or 'cash'. 2. Pound also means 'beat' or 'thump'.
124,Level 2,"(grind, scrape) (hearth, fireplace)",STEEP,GRATE,PRESENT,LEAD,FINE,B,The word 'GRATE' links the two pairs. 1. Grate means 'grind' or 'scrape'. 2. Grate also means 'hearth' or 'fireplace'.
125,Level 2,"(just, impartial) (carnival, festival)",FAIR,POOL,MATCH,TRIP,QUAIL,A,The word 'FAIR' links the two pairs. 1. Fair means 'just' or 'impartial'. 2. Fair also means 'carnival' or 'festival'.
126,Level 2,"(group, society) (baton, stick)",CLUB,RASH,SCALE,BAT,PLAY,A,The word 'CLUB' links the two pairs. 1. Club means 'group' or 'society'. 2. Club also means 'baton' or 'stick'.
127,Level 2,"(equal, impartial) (fete, carnival)",JERK,WATCH,FAIR,GRATE,PLAY,C,The word 'FAIR' links the two pairs. 1. Fair means 'equal' or 'impartial'. 2. Fair also means 'fete' or 'carnival'.
128,Level 2,"(now, present) (stream, tide)",CURRENT,CLUB,TENDER,JAM,PARK,A,The word 'CURRENT' links the two pairs. 1. Current means 'now' or 'present'. 2. Current also means 'stream' or 'tide'.
129,Level 2,"(puddle, pond) (combine, merge)",LEAD,BAT,POOL,RACKET,PRESENT,C,The word 'POOL' links the two pairs. 1. Pool means 'puddle' or 'pond'. 2. Pool also means 'combine' or 'merge'.
130,Level 2,"(dossier, record) (scrape, rub)",MATCH,WAVE,SEASON,FILE,FLY,D,The word 'FILE' links the two pairs. 1. File means 'dossier' or 'record'. 2. File also means 'scrape' or 'rub'.
131,Level 2,"(pull, yank) (dolt, fool)",RASH,LONG,STERN,RACKET,JERK,E,The word 'JERK' links the two pairs. 1. Jerk means 'pull' or 'yank'. 2. Jerk also means 'dolt' or 'fool'.
132,Level 2,"(scrape, shred) (hearth, fireplace)",GRATE,MINUTE,SEASON,MATCH,BARK,A,The word 'GRATE' links the two pairs. 1. Grate means 'scrape' or 'shred'. 2. Grate also means 'hearth' or 'fireplace'.
133,Level 2,"(leaf, herb) (fresh, new)",CONTENT,PARK,MINT,STEEP,RASH,C,The word 'MINT' links the two pairs. 1. Mint means 'leaf' or 'herb'. 2. Mint also means 'fresh' or 'new'.
