id,question_text,pair1,pair2,option_A,option_B,option_C,option_D,option_E,answer
129,"(crystal, material) (tumbler, beaker)","(crystal, material)","(tumbler, beaker)",break,cup,glass,clear,drink,glass
130,"(earth, soil) (crushed, milled)","(earth, soil)","(crushed, milled)",land,flour,ground,floor,dust,ground
131,"(ice, frozen) (greet, call)","(ice, frozen)","(greet, call)",rain,hello,hail,storm,taxi,hail
132,"(egg, open) (door, opening)","(egg, open)","(door, opening)",chick,gate,hatch,plan,exit,hatch
133,"(grasp, grip) (storage, ship)","(grasp, grip)","(storage, ship)",hand,keep,hold,cargo,wait,hold
134,"(metal, steel) (press, smooth)","(metal, steel)","(press, smooth)",hard,shirt,iron,heat,heavy,iron
135,"(pot, vessel) (shake, jolt)","(pot, vessel)","(shake, jolt)",glass,shock,jar,lid,jam,jar
136,"(cow, cattle) (shirt, pullover)","(cow, cattle)","(shirt, pullover)",milk,knit,jersey,wear,farm,jersey
137,"(castle, tower) (retain, hold)","(castle, tower)","(retain, hold)",stay,fort,keep,safe,guard,keep
138,"(nice, gentle) (type, sort)","(nice, gentle)","(type, sort)",good,class,kind,mean,help,kind
139,"(drink, lick) (knees, legs)","(drink, lick)","(knees, legs)",sit,cat,lap,run,pool,lap
140,"(final, end) (endure, survive)","(final, end)","(endure, survive)",first,long,last,time,past,last
141,"(place, put) (song, poem)","(place, put)","(song, poem)",set,sing,lay,egg,bed,lay
142,"(foliage, green) (departs, goes)","(foliage, green)","(departs, goes)",tree,exit,leaves,plant,fall,leaves
143,"(mail, post) (character, symbol)","(mail, post)","(character, symbol)",send,write,letter,note,word,letter
144,"(untruth, fib) (recline, rest)","(untruth, fib)","(recline, rest)",bed,FALSE,lie,sit,truth,lie
145,"(fruit, citrus) (stone, chalk)","(fruit, citrus)","(stone, chalk)",green,rock,lime,sour,soda,lime
146,"(hair, curl) (secure, fasten)","(hair, curl)","(secure, fasten)",key,wig,lock,door,safe,lock
147,"(length, tall) (yearn, wish)","(length, tall)","(yearn, wish)",short,want,long,time,wait,long
148,"(wood, timber) (plod, trudge)","(wood, timber)","(plod, trudge)",tree,walk,lumber,saw,heavy,lumber
149,"(male, guy) (staff, crew)","(male, guy)","(staff, crew)",boy,work,man,human,boss,man
150,"(month, spring) (walk, parade)","(month, spring)","(walk, parade)",step,april,march,army,drill,march
151,"(month, spring) (might, could)","(month, spring)","(might, could)",can,june,may,be,wish,may
152,"(nasty, cruel) (average, midpoint)","(nasty, cruel)","(average, midpoint)",bad,math,mean,sign,mode,mean
153,"(animal, burrower) (skin, spot)","(animal, burrower)","(skin, spot)",dig,face,mole,spy,hole,mole
154,"(cup, beaker) (rob, attack)","(cup, beaker)","(rob, attack)",tea,steal,mug,face,drink,mug
155,"(finger, talon) (spike, tack)","(finger, talon)","(spike, tack)",hammer,claw,nail,hand,hit,nail
156,"(music, tone) (message, memo)","(music, tone)","(message, memo)",sing,write,note,paper,tune,note
157,"(body, heart) (instrument, piano)","(body, heart)","(instrument, piano)",lung,play,organ,pipes,music,organ
158,"(sheet, paper) (servant, attendant)","(sheet, paper)","(servant, attendant)",book,boy,page,turn,read,page
159,"(skillet, pot) (criticize, slam)","(skillet, pot)","(criticize, slam)",cook,bad,pan,fry,metal,pan
160,"(glue, adhesive) (dough, mix)","(glue, adhesive)","(dough, mix)",stick,bake,paste,flour,gum,paste
161,"(throw, hurl) (field, ground)","(throw, hurl)","(field, ground)",ball,grass,pitch,sport,toss,pitch
162,"(simple, basic) (grassland, flat)","(simple, basic)","(grassland, flat)",easy,field,plain,clear,dull,plain
163,"(tool, smoother) (aircraft, jet)","(tool, smoother)","(aircraft, jet)",fly,wood,plane,wing,flat,plane
164,"(flower, bush) (factory, works)","(flower, bush)","(factory, works)",grow,make,plant,root,leaf,plant
165,"(dish, platter) (sheet, metal)","(dish, platter)","(sheet, metal)",food,flat,plate,armour,bowl,plate
166,"(game, cards) (rod, fire)","(game, cards)","(rod, fire)",bet,hot,poker,play,iron,poker
167,"(harbour, dock) (wine, drink)","(harbour, dock)","(wine, drink)",ship,red,port,safe,left,port
168,"(fruit, dried) (cut, trim)","(fruit, dried)","(cut, trim)",plum,snip,prune,tree,sweet,prune
169,"(beat, rhythm) (beans, lentils)","(beat, rhythm)","(beans, lentils)",heart,food,pulse,throb,vein,pulse
170,"(prey, victim) (mine, pit)","(prey, victim)","(mine, pit)",hunt,stone,quarry,chase,dig,quarry
171,"(fourth, fraction) (coin, money)","(fourth, fraction)","(coin, money)",half,cash,quarter,part,spend,quarter
172,"(run, sprint) (people, nation)","(run, sprint)","(people, nation)",fast,group,race,track,win,race
173,"(track, bar) (complain, rant)","(track, bar)","(complain, rant)",train,moan,rail,fence,line,rail
174,"(lift, elevate) (increase, pay)","(lift, elevate)","(increase, pay)",up,money,raise,hand,high,raise
175,"(tool, garden) (slope, tilt)","(tool, garden)","(slope, tilt)",leaf,angle,rake,gather,comb,rake
176,"(distance, scope) (cooker, stove)","(distance, scope)","(cooker, stove)",far,heat,range,shoot,mount,range
177,"(smell, foul) (status, level)","(smell, foul)","(status, level)",stink,army,rank,order,bad,rank
178,"(scarce, uncommon) (raw, bloody)","(scarce, uncommon)","(raw, bloody)",few,meat,rare,find,cook,rare
179,"(speed, pace) (cost, price)","(speed, pace)","(cost, price)",fast,pay,rate,value,tax,rate
180,"(beam, light) (fish, skate)","(beam, light)","(fish, skate)",sun,swim,ray,shine,sea,ray
181,"(back, behind) (raise, breed)","(back, behind)","(raise, breed)",front,grow,rear,end,care,rear
182,"(garbage, waste) (deny, reject)","(garbage, waste)","(deny, reject)",bin,no,refuse,trash,say,refuse
183,"(bang, noise) (news, account)","(bang, noise)","(news, account)",gun,paper,report,loud,tell,report
184,"(bun, bread) (rotate, turn)","(bun, bread)","(rotate, turn)",eat,spin,roll,round,rock,roll
185,"(plant, underground) (dig, rummage)","(plant, underground)","(dig, rummage)",tree,pig,root,grow,soil,root
186,"(hurry, dash) (reed, plant)","(hurry, dash)","(reed, plant)",fast,grow,rush,water,run,rush
187,"(bag, pouch) (fire, dismiss)","(bag, pouch)","(fire, dismiss)",cloth,job,sack,store,boss,sack
188,"(herb, spice) (wise, smart)","(herb, spice)","(wise, smart)",cook,old,sage,green,know,sage
189,"(fish, shoal) (teach, class)","(fish, shoal)","(teach, class)",swim,learn,school,group,room,school
190,"(fight, brawl) (rubbish, waste)","(fight, brawl)","(rubbish, waste)",hit,junk,scrap,metal,row,scrap
191,"(monitor, display) (hide, shield)","(monitor, display)","(hide, shield)",tv,cover,screen,view,wall,screen
192,"(spice, flavour) (time, period)","(spice, flavour)","(time, period)",salt,year,season,food,term,season
193,"(tremble, shiver) (drink, milk)","(tremble, shiver)","(drink, milk)",cold,mix,shake,hand,move,shake
194,"(bed, linen) (paper, page)","(bed, linen)","(paper, page)",sleep,write,sheet,cover,thin,sheet
195,"(sea, husk) (bomb, explosive)","(sea, husk)","(bomb, explosive)",sand,fire,shell,hard,nut,shell
196,"(store, market) (grass, inform)","(store, market)","(grass, inform)",buy,tell,shop,sell,cop,shop
197,"(rain, storm) (wash, bathe)","(rain, storm)","(wash, bathe)",wet,clean,shower,water,cloud,shower
198,"(symbol, mark) (autograph, name)","(symbol, mark)","(autograph, name)",post,write,sign,road,pen,sign
199,"(fish, ray) (ice, glide)","(fish, ray)","(ice, glide)",sea,slip,skate,blade,cold,skate
200,"(snail, insect) (hit, punch)","(snail, insect)","(hit, punch)",slow,fight,slug,garden,fist,slug
201,"(equal, level) (unmarried, sole)","(equal, level)","(unmarried, sole)",one,even,single,only,alone,single
202,"(unpleasant, stale) (line, queue)","(unpleasant, stale)","(line, queue)",smell,wait,rank,army,bad,rank
203,"(vocal, sound) (healthy, sturdy)","(vocal, sound)","(healthy, sturdy)",hear,strong,sound,voice,well,sound
204,"(scold, reproach) (sniff, inhale)","(scold, reproach)","(sniff, inhale)",nose,tell,snuff,candle,smell,snuff
205,"(rotate, spin) (bicycle, cycle)","(rotate, spin)","(bicycle, cycle)",turn,bike,wheel,round,roll,wheel
206,"(broad, wide) (tolerable, okay)","(broad, wide)","(tolerable, okay)",large,good,fair,quite,side,fair
207,"(sharp, clever) (bright, intelligent)","(sharp, clever)","(bright, intelligent)",keen,brainy,smart,suit,neat,smart
208,"(unhappy, dejected) (under, below)","(unhappy, dejected)","(under, below)",sad,low,down,bird,bottom,down
209,"(stroll, amble) (frame, mount)","(stroll, amble)","(frame, mount)",run,border,walk,hike,step,walk
210,"(standard, norm) (mean, average)","(standard, norm)","(mean, average)",golf,equal,par,usual,level,par
211,"(swindle, cheat) (stone, gem)","(swindle, cheat)","(stone, gem)",scam,jewel,rock,boulder,con,rock
212,"(fasten, secure) (bolt, latch)","(fasten, secure)","(bolt, latch)",key,safe,lock,door,hold,lock
213,"(small, tiny) (minute, detailed)","(small, tiny)","(minute, detailed)",little,brief,slight,thin,minor,slight
214,"(dull, boring) (unsharpened, blunt)","(dull, boring)","(unsharpened, blunt)",tedious,edge,flat,level,plain,flat
215,"(limit, boundary) (faint, dim)","(limit, boundary)","(faint, dim)",edge,light,pale,fence,weak,pale
216,"(rigid, stiff) (precise, strict)","(rigid, stiff)","(precise, strict)",firm,exact,hard,tough,fixed,hard
217,"(observe, witness) (clock, timer)","(observe, witness)","(clock, timer)",see,hand,watch,look,time,watch
218,"(vessel, craft) (retail, market)","(vessel, craft)","(retail, market)",boat,buy,shop,store,sale,shop
219,"(stretch, extend) (track, reach)","(stretch, extend)","(track, reach)",span,trail,range,far,scope,range
220,"(gentle, kind) (soft, yielding)","(gentle, kind)","(soft, yielding)",tame,weak,mild,warm,easy,mild
221,"(fleece, wool) (layer, surface)","(fleece, wool)","(layer, surface)",sheep,skin,coat,jacket,paint,coat
222,"(border, edge) (rim, fringe)","(border, edge)","(rim, fringe)",side,line,hem,skirt,sew,hem
223,"(solid, dense) (thick, cloudy)","(solid, dense)","(thick, cloudy)",weight,dark,heavy,hard,full,heavy
224,"(lean, slender) (slim, narrow)","(lean, slender)","(slim, narrow)",skinny,tight,thin,meat,bony,thin
225,"(circle, loop) (call, toll)","(circle, loop)","(call, toll)",round,bell,ring,band,sound,ring
226,"(simple, easy) (clear, obvious)","(simple, easy)","(clear, obvious)",basic,flat,plain,field,dull,plain
227,"(swift, fast) (brief, short)","(swift, fast)","(brief, short)",rapid,small,quick,speed,fast,quick
228,"(level, even) (flush, aligned)","(level, even)","(flush, aligned)",smooth,flat,straight,TRUE,square,flat
229,"(fame, glory) (status, credit)","(fame, glory)","(status, credit)",star,term,name,title,reputation,name
230,"(scent, aroma) (track, trail)","(scent, aroma)","(track, trail)",odour,path,smell,nose,hunt,smell
231,"(vessel, dish) (bowl, basin)","(vessel, dish)","(bowl, basin)",pan,cup,pot,jug,plate,pot
232,"(rod, pole) (post, stake)","(rod, pole)","(post, stake)",stick,fence,bar,iron,staff,bar
233,"(fabric, material) (stuff, matter)","(fabric, material)","(stuff, matter)",wool,thing,cloth,sheet,item,cloth
234,"(path, lane) (way, route)","(path, lane)","(way, route)",trail,street,road,track,drive,road
235,"(label, tag) (slip, sticker)","(label, tag)","(slip, sticker)",name,folder,tab,mark,sign,tab
236,"(rim, lip) (brink, verge)","(rim, lip)","(brink, verge)",side,limit,edge,border,end,edge
237,"(tiny, small) (mite, scrap)","(tiny, small)","(mite, scrap)",little,part,bit,crumb,piece,bit
238,"(secure, fasten) (fix, attach)","(secure, fasten)","(fix, attach)",tie,hold,bind,glue,link,bind
239,"(gap, opening) (slot, vent)","(gap, opening)","(slot, vent)",hole,cut,slit,tear,crack,slit
240,"(foul, dirty) (vile, nasty)","(foul, dirty)","(vile, nasty)",bad,low,base,mean,cruel,base
241,"(brief, short) (summary, outline)","(brief, short)","(summary, outline)",quick,draft,sketch,draw,plot,sketch
242,"(neat, tidy) (trim, orderly)","(neat, tidy)","(trim, orderly)",clean,fix,smart,clear,fresh,smart
243,"(solid, firm) (hard, sturdy)","(solid, firm)","(hard, sturdy)",tough,strong,stiff,rigid,fixed,stiff
244,"(loyal, true) (steady, firm)","(loyal, true)","(steady, firm)",friend,fixed,fast,quick,sure,fast
245,"(faint, weak) (slight, minor)","(faint, weak)","(slight, minor)",soft,low,small,little,thin,small
246,"(rough, harsh) (coarse, crude)","(rough, harsh)","(coarse, crude)",hard,rude,gruff,loud,stern,gruff
247,"(pure, clean) (clear, bright)","(pure, clean)","(clear, bright)",good,fresh,fair,white,fine,fair
248,"(broad, wide) (vast, large)","(broad, wide)","(vast, large)",full,huge,big,great,main,big
249,"(gentle, soft) (calm, still)","(gentle, soft)","(calm, still)",tame,quiet,mild,low,easy,mild
250,"(swift, fast) (rapid, quick)","(swift, fast)","(rapid, quick)",speed,haste,fleet,run,dash,fleet
251,"(strong, stout) (firm, solid)","(strong, stout)","(firm, solid)",hard,brave,tough,stiff,thick,tough
252,"(simple, basic) (plain, easy)","(simple, basic)","(plain, easy)",only,clear,mere,bare,just,mere
253,"(faint, dim) (pale, weak)","(faint, dim)","(pale, weak)",dark,soft,low,light,small,low
254,"(trim, tidy) (neat, orderly)","(trim, tidy)","(neat, orderly)",fresh,clear,clean,fix,pure,clean
255,"(loyal, staunch) (firm, fixed)","(loyal, staunch)","(firm, fixed)",sure,fast,TRUE,right,real,TRUE
256,"(solid, hard) (firm, stiff)","(solid, hard)","(firm, stiff)",strong,fixed,tight,tough,bound,tight
257,"(pure, sheer) (total, utter)","(pure, sheer)","(total, utter)",full,clear,clean,mere,just,clean
258,"(fine, thin) (slight, minor)","(fine, thin)","(slight, minor)",weak,little,small,light,low,small
259,"(rough, harsh) (stern, severe)","(rough, harsh)","(stern, severe)",cruel,tough,hard,firm,sharp,hard
260,"(broad, open) (clear, plain)","(broad, open)","(clear, plain)",wide,frank,free,easy,full,free
261,"(firm, solid) (stable, fixed)","(firm, solid)","(stable, fixed)",hard,sure,fast,steady,tight,fast
262,"(pure, clean) (fine, neat)","(pure, clean)","(fine, neat)",clear,trim,smart,good,fresh,smart
263,"(solid, sturdy) (tough, hard)","(solid, sturdy)","(tough, hard)",firm,brave,strong,fixed,stiff,strong
264,"(sheer, steep) (sharp, abrupt)","(sheer, steep)","(sharp, abrupt)",cliff,rough,bluff,short,stern,bluff
265,"(fine, clear) (fair, bright)","(fine, clear)","(fair, bright)",good,sun,light,pale,thin,light
