id,question,optionA,optionB,optionC,optionD,optionE,correct_answer
18,(SWIFT [WAS] MASS) — (SCAR [ ? ] HATE),ART,ATE,EAT,CAT,SEE,D
19,(KNIFE [NOT] TOOTH) — (EDGE [ ? ] TOOTH),GOT,HOT,DOT,EGG,GET,C
20,(CART [PORT] VAPOR) — (MUST [ ? ] ADMIT),MIST,MAID,DUST,MUST,MASS,A
21,(VET [VEAL] LAW) — (CAT [ ? ] DRIFT),FACT,DIRT,CARD,DART,FAIR,C
22,(GROUP [BEG] BASE) — (YELL [ ? ] SIGH),SLY,SHY,LIE,ILL,LEG,B
23,(CASE [ELSE] LIE) — (DRESS [ ? ] ELDER),ELSE,DEED,SELL,LESS,SEED,E
24,(FELL [BET] BOTH) — (SIGN [ ? ] HOTEL),SON,HIT,EGG,HOT,THE,B
25,(ESSAY [SEE] EYE) — (USED [ ? ] NOISE),SIN,USE,ONE,DID,DUE,A
26,(STAMP [ACT] CAMP) — (STEEP [ ? ] OLD),SEE,OLD,TOP,LOT,TOE,D
27,(RELY [BOY] PROBE) — (INNER [ ? ] CANOE),AIR,ONE,CAN,EAR,CAR,B
28,(FOOT [ONE] NONE) — (NEWER [ ? ] OVEN),ROW,NOW,ONE,WON,OWN,D
29,(TYPE [SAY] ALSO) — (PAST [ ? ] EAT),ATE,EAT,APE,SAT,TEA,E
30,(INCH [THAN] TODAY) — (TEXAS [ ? ] LAWN),LENS,LANE,WENT,TALL,TELL,B
31,(DOWN [FEW] FLEW) — (PEDAL [ ? ] NOON),NAP,NOD,LAP,ONE,DAD,B
32,(LAY [YES] WISE) — (RATE [ ? ] SHOWN),OWN,NEW,EAT,SEE,TWO,E
33,(CABIN [BEE] ELSE) — (BUS [ ? ] TRAIN),ANT,RUN,TUB,BIN,SIT,E
34,(ESSAY [SAY] ROYAL) — (OBEY [ ? ] UNTIL),NOT,ILL,BET,LIE,BIT,E
35,(STALE [SAD] DRESS) — (ONION [ ? ] MORAL),AIM,MAN,ILL,AIR,ARM,A
36,(STORE [MAT] MEAL) — (EXIST [ ? ] WEAK),WAS,TEA,EAT,WAX,SAT,D
37,(THIS [SHOT] VOTE) — (SLAP [ ? ] WAY),AWAY,SLAP,WALL,PLAY,WASP,D
38,(MESS [MAY] YOGA) — (HIDE [ ? ] GROUP),HUG,OUR,RIP,RID,RUG,A
39,(PILE [PLUG] USAGE) — (LOAD [ ? ] CAKE),DECK,LACE,LOAD,LOOK,LAKE,B
40,(TUNA [TUNA] UNTIL) — (BEEN [ ? ] EASY),EASY,BEAN,BEEN,EASE,SEEN,E
41,(ERROR [TEA] ATOM) — (OAK [ ? ] DRILL),LID,RID,ROD,ADD,DID,C
42,(TWICE [AIR] PAIR) — (PAID [ ? ] TRIBE),BAT,RAT,BAD,RIB,APE,D
43,(NAVY [TINY] PITCH) — (LEAF [ ? ] TOWER),WEAR,REAL,WOLF,FEAT,FEET,C
44,(GHOST [SIN] LION) — (DRINK [ ? ] LAMP),RID,NAP,LID,AIM,RIM,B
45,(MINOR [GUM] URGE) — (WIDTH [ ? ] ASSET),SIT,SAD,WET,SAW,ATE,D
46,(DRAG [ROW] OWL) — (STOOL [ ? ] AGAIN),GAS,TAN,SIT,TAG,NOT,D
47,(WASP [SAT] AFTER) — (FLUSH [ ? ] SWEAR),SEA,RAW,FEW,SHE,USE,E
48,(MYTH [YOU] OUNCE) — (SHEET [ ? ] ADAPT),HAD,PET,SET,ATE,SEA,A
49,(STUDY [CUT] UNCLE) — (KNIFE [ ? ] ALBUM),INK,BAN,AIM,LAB,FAN,B
50,(GUIDE [MUG] GUM) — (HEAT [ ? ] NUT),HAT,THE,TEN,ATE,NET,C
