ID,Question,A,B,C,D,E,Correct Answer,Explanation
M3L_26,The maths LON was hard.,SON,SEN,LES,SES,ESS,E,The missing letters are ESS.
M3L_27,It was a hot SER day.,UMM,SUM,MER,NUM,MME,A,The missing letters are UMM.
M3L_28,It was a cold WER day.,INT,ENT,WIN,ANT,TER,A,The missing letters are INT.
M3L_29,The green SNG grass grew.,PRI,RIN,SPR,ING,PIN,A,The missing letters are PRI.
M3L_30,Gold AUN leaves fell.,UMN,TUN,TUM,AME,AUT,C,The missing letters are TUM.
M3L_31,We play SOR in the park.,COR,OCC,CCE,CER,SOC,C,The missing letters are CCE.
M3L_32,We play TES on the court.,ENN,NNI,NIS,NES,TEN,B,The missing letters are NNI.
M3L_33,We play HOY on the ice.,CKE,HOC,OCK,COK,KEY,A,The missing letters are CKE.
M3L_34,Put it in the wicker BET.,SKE,ASK,BAS,AST,KET,B,The missing letters are ASK.
M3L_35,The cute KEN played.,KIT,TIN,TEN,TTE,ITT,E,The missing letters are ITT.
M3L_36,The white RAT hopped.,ABB,BBI,BAT,BIT,RAB,B,The missing letters are BBI.
M3L_37,The cheeky MEY climbed.,ONE,NKE,MON,ONK,KEY,D,The missing letters are ONK.
M3L_38,Ride a DOY on the beach.,DON,ONE,NKE,KEY,ONK,C,The missing letters are NKE.
M3L_39,A scary SPR spun a web.,PID,DER,RED,IDE,SPI,D,The missing letters are IDE.
M3L_40,Flowers grow in the GEN.,ARE,ARD,GAR,DEN,RED,B,The missing letters are ARD.
M3L_41,Trees grow in the FST.,ORT,FOR,ORE,RES,EST,C,The missing letters are ORE.
M3L_42,Lions live in the JUE.,UNG,JUN,GLE,JUG,NGL,E,The missing letters are NGL.
M3L_43,Camels live in the DRT.,ESE,DES,SET,SER,ERT,A,The missing letters are ESE.
M3L_44,Mars is a red PLT.,PLA,ANE,NET,LAN,ANT,B,The missing letters are ANE.
M3L_45,Fly a RET to the moon.,CKE,OCK,ROC,KET,OCT,B,The missing letters are OCK.
M3L_46,Fish swim in the STM.,EAM,STR,RAM,REA,TRE,D,The missing letters are REA.
M3L_47,Cross the river BGE.,RIG,RID,BRI,IDG,DGE,B,The missing letters are RID.
M3L_48,Cars drive on the STT.,REE,SEE,EET,TRE,STR,A,The missing letters are REE.
M3L_49,Pray in the old CHH.,RCH,UCH,URC,CHU,HUR,C,The missing letters are URC.
M3L_50,King lives in a PAE.,PAL,ACE,ALA,LAE,LAC,E,The missing letters are LAC.
M3L_001,The MON climbed the tree.,TOP,KEY,SIT,COT,WIT,B,The missing letters are KEY (MONKEY).
M3L_002,The KEY carried the load.,EYE,DON,TOP,BAD,FOX,B,The missing letters are DON (DONKEY).
M3L_003,We ate TUR for dinner.,NAG,YAK,SKY,KEY,ART,D,The missing letters are KEY (TURKEY).
M3L_004,Lions live in the JLE.,UNG,COO,HAD,IRE,HAY,A,The missing letters are UNG (JUNGLE).
M3L_005,Bears live in the FST.,SAT,ARK,TOP,ORE,IVY,D,The missing letters are ORE (FOREST).
M3L_006,We bought fruit at the KET.,ASH,SAT,MAR,AND,CAN,C,The missing letters are MAR (MARKET).
M3L_007,Put the apples in the BAT.,WEE,SKE,HOP,LET,NEW,B,The missing letters are SKE (BASKET).
M3L_008,Write with a sharp PEL.,FAD,NCI,DOT,JOY,EEL,B,The missing letters are NCI (PENCIL).
M3L_009,Flowers grow in the DEN.,GAR,ATE,OUR,HIT,PIT,A,The missing letters are GAR (GARDEN).
M3L_010,Cook food in the KITN.,CHE,THE,JAY,ODD,FIT,A,The missing letters are CHE (KITCHEN).
M3L_011,Park the car in the GGE.,WIT,RUN,OAK,ARA,CAD,D,The missing letters are ARA (GARAGE).
M3L_012,Sleep in the BOOM.,OLD,SAT,EDR,AIR,FOX,C,The missing letters are EDR (BEDROOM).
M3L_013,Open the DOW to let air in.,WIN,MOO,PAY,WIT,SHY,A,The missing letters are WIN (WINDOW).
M3L_014,We learn at SOL.,CHO,COT,SKY,FOR,RUN,A,The missing letters are CHO (SCHOOL).
M3L_015,The maths LEN was hard.,USE,ORB,BAT,FOR,SSO,E,The missing letters are SSO (LESSON).
M3L_016,The TEER wrote on the board.,ACH,MAT,BOY,JOY,YET,A,The missing letters are ACH (TEACHER).
M3L_017,The TOR gave me medicine.,WAG,WIT,ORE,DOC,YAK,D,The missing letters are DOC (DOCTOR).
M3L_018,My FAR is tall.,EAR,TOO,BOO,THE,SAG,D,The missing letters are THE (FATHER).
M3L_019,My HER is kind.,ORB,BIG,MOT,BOO,FAD,C,The missing letters are MOT (MOTHER).
M3L_020,My SIS plays with me.,AID,MOO,BIT,TER,SIT,D,The missing letters are TER (SISTER).
M3L_021,My BRER is older.,ATE,EAR,WEE,TAG,OTH,E,The missing letters are OTH (BROTHER).
M3L_022,My best FRD came over.,PAD,WHY,OUT,IEN,NOT,D,The missing letters are IEN (FRIEND).
M3L_023,We had roast chicken for DIR.,NNE,SAD,SAG,MAG,IVY,A,The missing letters are NNE (DINNER).
M3L_024,We ate a light SER.,UPP,LIT,INN,WET,LAG,A,The missing letters are UPP (SUPPER).
M3L_025,I had a sandwich for CH.,ILL,INN,LUN,IRE,EAT,C,The missing letters are LUN (LUNCH).
M3L_026,I ate toast for BREAKF.,CRY,BY,OPT,TOY,AST,E,The missing letters are AST (BREAKFAST).
M3L_027,It is hot in SER.,HAT,ASK,NAG,JOY,UMM,E,The missing letters are UMM (SUMMER).
M3L_028,It is cold in TER.,PIT,RAD,WIN,BAT,MAG,C,The missing letters are WIN (WINTER).
M3L_029,Leaves fall in AUT.,LEE,BIG,FIT,WIT,UMN,E,The missing letters are UMN (AUTUMN).
M3L_030,Flowers bloom in SPR.,BIG,ING,KAY,AGE,HAG,B,The missing letters are ING (SPRING).
M3L_031,The sun is YEL.,PET,YAK,LOW,OUT,ODD,C,The missing letters are LOW (YELLOW).
M3L_032,Grapes are often PUE.,HAD,BOY,RPL,MAD,ION,C,The missing letters are RPL (PURPLE).
M3L_033,An ORE is a fruit.,JAY,NAG,SAG,ANG,GET,D,The missing letters are ANG (ORANGE).
M3L_034,The spoon is made of SIL.,VER,HOT,ARM,FOX,WHY,A,The missing letters are VER (SILVER).
M3L_035,The ring is GOL.,SEE,DEN,LIT,NAY,DAY,B,The missing letters are DEN (GOLDEN).
M3L_036,The LLE boy ran fast.,ITT,OAR,YAK,NET,TAG,A,The missing letters are ITT (LITTLE).
M3L_037,The flower is very PTY.,SAD,NAG,ENT,PAT,RET,E,The missing letters are RET (PRETTY).
M3L_038,This one is BER than that.,ETT,DOG,MY,BIT,TAG,A,The missing letters are ETT (BETTER).
M3L_039,I wrote a LET to him.,ICE,TER,SAT,RED,BEE,B,The missing letters are TER (LETTER).
M3L_040,Put BER on the toast.,UTT,WHY,SAD,NAG,OUT,A,The missing letters are UTT (BUTTER).
M3L_041,Salt and PER go together.,AND,AIR,ONE,EPP,OUT,D,The missing letters are EPP (PEPPER).
M3L_042,Eat your DIR.,DOT,WEE,BAY,NNE,EST,D,The missing letters are NNE (DINNER).
M3L_043,Time for SER.,HOT,ARM,EGG,UPP,JET,D,The missing letters are UPP (SUPPER).
M3L_044,Erase it with a BER.,RUB,NAG,DAD,BOO,SEE,A,The missing letters are RUB (RUBBER).
M3L_045,Climb the LAR.,DDE,ADO,NEW,JET,OUR,A,The missing letters are DDE (LADDER).
M3L_046,Hit the nail with a HER.,LET,LIT,AMM,WIT,CAN,C,The missing letters are AMM (HAMMER).
M3L_047,They waved a big BAR.,NNE,PAY,OAK,SEE,WHY,A,The missing letters are NNE (BANNER).
M3L_048,Stand in the CER.,ORN,PET,KAY,ION,COT,A,The missing letters are ORN (CORNER).
M3L_049,Point with your FIN.,SIT,DOT,FLY,BET,GER,E,The missing letters are GER (FINGER).
M3L_050,"Keep out, DAR.",FLY,NAY,NGE,WIT,NAG,C,The missing letters are NGE (DANGER).
M3L_051,I like GER biscuits.,ING,SAD,FAT,PAT,EAR,A,The missing letters are ING (GINGER).
M3L_052,I am very GRY.,EGG,HUN,LEE,MAN,TOO,B,The missing letters are HUN (HUNGRY).
M3L_053,I am very THTY.,SIT,LAD,ICE,IRS,WEE,D,The missing letters are IRS (THIRSTY).
M3L_054,He was very AY.,BAT,GAG,CRY,NGR,ACT,D,The missing letters are NGR (ANGRY).
M3L_055,She was very HA.,COO,PPY,OFF,WIT,EAR,B,The missing letters are PPY (HAPPY).
M3L_056,The baby is EPY.,RED,SLE,OAR,WAG,ARK,B,The missing letters are SLE (SLEEPY).
M3L_057,The man is SNG.,PAY,HOT,HAG,AIR,TRO,E,The missing letters are TRO (STRONG).
M3L_058,Cars drive on the STT.,REE,CAT,PRY,RAG,OPT,A,The missing letters are REE (STREET).
M3L_059,Cross the river BGE.,WAY,BOO,RID,PRY,PET,C,The missing letters are RID (BRIDGE).
M3L_060,Fish swim in the STR.,JOY,RED,EAM,AND,ASH,C,The missing letters are EAM (STREAM).
M3L_061,Mars is a red NET.,PLA,WHY,AND,THE,BAG,A,The missing letters are PLA (PLANET).
M3L_062,Fly a ROC to space.,BAY,OIL,KET,RUN,LET,C,The missing letters are KET (ROCKET).
M3L_063,Put it in your POC.,RAD,ION,TOY,PAD,KET,E,The missing letters are KET (POCKET).
M3L_064,Wear a warm JET.,OUR,TEE,OLD,ASK,ACK,E,The missing letters are ACK (JACKET).
M3L_065,Buy a bus KET.,MAG,TIC,ZOO,GAG,JAG,B,The missing letters are TIC (TICKET).
M3L_066,Fill the BUT with water.,HOT,COO,MOO,CKE,FAT,D,The missing letters are CKE (BUCKET).
M3L_067,A KET of crisps.,PAC,HAY,IVY,JOY,GAG,A,The missing letters are PAC (PACKET).
M3L_068,Plug it into the SOT.,SHY,CKE,POT,NAY,LIT,B,The missing letters are CKE (SOCKET).
M3L_069,We play CKET in summer.,LET,INN,RIC,DRY,PAD,C,The missing letters are RIC (CRICKET).
M3L_070,Hit the WIT.,SUN,CKE,TION,KAY,WET,B,The missing letters are CKE (WICKET).
M3L_071,The RAB hopped away.,TOP,BIT,SHY,MY,PIT,B,The missing letters are BIT (RABBIT).
M3L_072,The KIN purred.,LAG,WET,AID,TTE,BOO,D,The missing letters are TTE (KITTEN).
M3L_073,The PU barked.,EEL,PPY,GAY,HOT,LOO,B,The missing letters are PPY (PUPPY).
M3L_074,The lion is an ANI.,FIT,NAG,HOT,AND,MAL,E,The missing letters are MAL (ANIMAL).
M3L_075,See the DOR.,WIT,BAG,OCT,NOT,ACE,C,The missing letters are OCT (DOCTOR).
M3L_076,The DIST checked my teeth.,GAY,ENT,ROT,SET,ASK,B,The missing letters are ENT (DENTIST).
M3L_077,The AST painted a picture.,OUR,FAD,RTI,CAN,LOT,C,The missing letters are RTI (ARTIST).
M3L_078,The bus DRI stopped.,SEE,TRY,GAY,VER,OWN,D,The missing letters are VER (DRIVER).
M3L_079,The FAR milked the cow.,EGO,ZOO,MER,CRY,IVE,C,The missing letters are MER (FARMER).
M3L_080,The BR made bread.,AKE,EGG,BAD,ILL,LIT,A,The missing letters are AKE (BAKER).
M3L_081,The BUTC sold meat.,VET,HER,SPY,HAT,CAT,B,The missing letters are HER (BUTCHER).
M3L_082,The CER sold fruit.,WET,GRO,BIT,FOX,PAT,B,The missing letters are GRO (GROCER).
M3L_083,The WAI brought food.,FIT,BIG,TER,LAY,SIT,C,The missing letters are TER (WAITER).
M3L_084,The PER carried bags.,OFF,CAT,SAT,ORT,ONE,D,The missing letters are ORT (PORTER).
M3L_085,The BER cut hair.,THE,FOR,ARB,FAD,MAT,C,The missing letters are ARB (BARBER).
M3L_086,The YER went to court.,RAD,LAW,OUT,GET,YAK,B,The missing letters are LAW (LAWYER).
M3L_087,The KER counts money.,AGE,LIT,TRY,CAD,BAN,E,The missing letters are BAN (BANKER).
M3L_088,He is a good PLR.,MY,IRE,MAG,OAK,AYE,E,The missing letters are AYE (PLAYER).
M3L_089,The GER sang a song.,ADD,SIN,JOY,FLY,MAN,B,The missing letters are SIN (SINGER).
M3L_090,The CER moved well.,DAN,LET,LAD,IVE,ADO,A,The missing letters are DAN (DANCER).
M3L_091,He is a fast WAR.,MAD,ING,LKE,WET,PAY,C,The missing letters are LKE (WALKER).
M3L_092,The RUN won the race.,TION,ASH,SKY,ION,NER,E,The missing letters are NER (RUNNER).
M3L_093,Wear a woolly JER.,TOY,HAD,UMP,SAG,CAT,C,The missing letters are UMP (JUMPER).
M3L_094,Wear a warm SLIP.,TION,PER,EVE,PAT,ASK,B,The missing letters are PER (SLIPPER).
M3L_095,A coin made of CER.,OAR,PAT,RUN,OPP,OPT,D,The missing letters are OPP (COPPER).
M3L_096,Do a PER job.,TAG,WAG,OUT,ARK,PRO,E,The missing letters are PRO (PROPER).
M3L_097,Eat your SUR.,MAT,MET,PPE,RAG,RAD,C,The missing letters are PPE (SUPPER).
M3L_098,Cook the NER.,CAT,JAG,ASK,DIN,ODD,D,The missing letters are DIN (DINNER).
M3L_099,He is the WER.,EYE,PIT,JAG,INN,LEE,D,The missing letters are INN (WINNER).
M3L_100,Hot SUM days.,MET,BAT,EGG,DOG,MER,E,The missing letters are MER (SUMMER).
M3L_101,Cold WIR nights.,ONE,NTE,JET,YAK,FOR,B,The missing letters are NTE (WINTER).
M3L_102,Pick a NUM.,COT,BER,POT,ZOO,WHY,B,The missing letters are BER (NUMBER).
M3L_103,Wood is TER.,MOO,SKY,IMB,LEE,SEE,C,The missing letters are IMB (TIMBER).
M3L_104,He is a club BER.,EGO,WEE,IVY,NEW,MEM,E,The missing letters are MEM (MEMBER).
M3L_105,School starts in SEPTER.,EAT,EMB,COT,OUS,ACT,B,The missing letters are EMB (SEPTEMBER).
M3L_106,Halloween is in OCTO.,BER,SKY,SAG,LOO,ASH,A,The missing letters are BER (OCTOBER).
M3L_107,Fireworks in NOVEM.,BER,BAD,PAT,CRY,DRY,A,The missing letters are BER (NOVEMBER).
M3L_108,Christmas is in DECER.,WEE,OUR,AIR,EMB,ZOO,D,The missing letters are EMB (DECEMBER).
M3L_109,New Year is in JARY.,ANU,ZOO,TOY,ONE,PAT,A,The missing letters are ANU (JANUARY).
M3L_110,Valentine's in FEBRY.,ACT,JET,AND,OLD,UAR,E,The missing letters are UAR (FEBRUARY).
M3L_111,Summer holidays in AST.,LAG,OUT,BAT,END,UGU,E,The missing letters are UGU (AUGUST).
M3L_112,Church on SUN.,ENT,LET,ICE,ARM,DAY,E,The missing letters are DAY (SUNDAY).
M3L_113,School starts on DAY.,EGG,HAT,MON,WIT,PAT,C,The missing letters are MON (MONDAY).
M3L_114,Fish on FRI.,DAY,YET,FOX,INK,YAK,A,The missing letters are DAY (FRIDAY).
M3L_115,Go on HOLI.,AGE,DAY,ATE,APE,OUR,B,The missing letters are DAY (HOLIDAY).
M3L_116,Happy THDAY to you.,ING,RAD,THY,BIR,OIL,D,The missing letters are BIR (BIRTHDAY).
M3L_117,It rained TERDAY.,YES,FAD,ORE,SHY,NAG,A,The missing letters are YES (YESTERDAY).
M3L_118,I will go TOMOW.,NAG,RRO,YET,JOY,JAY,B,The missing letters are RRO (TOMORROW).
M3L_119,The ELEPH has a trunk.,BEE,ANT,OUT,BOO,OWL,B,The missing letters are ANT (ELEPHANT).
M3L_120,The CODILE has big teeth.,ODD,FAT,OIL,ROC,OLD,D,The missing letters are ROC (CROCODILE).
M3L_121,See the AGATOR swim.,GET,AIR,LLI,OPT,DAD,C,The missing letters are LLI (ALLIGATOR).
M3L_122,The KANGO jumps high.,BY,OLD,ARO,FOR,MET,C,The missing letters are ARO (KANGAROO).
M3L_123,The GORI is big.,OUT,LLA,MET,ADO,BAG,B,The missing letters are LLA (GORILLA).
M3L_124,The CHINZEE is clever.,MPA,LIT,AIR,EGG,THY,A,The missing letters are MPA (CHIMPANZEE).
M3L_125,The SQUIR eats nuts.,JET,REL,FLY,JOY,END,B,The missing letters are REL (SQUIRREL).
M3L_126,The HEDOG has spines.,GEH,WEE,OUT,BIG,OAK,A,The missing letters are GEH (HEDGEHOG).
M3L_127,The BAD lives in a sett.,GER,TOP,EST,ACT,SAY,A,The missing letters are GER (BADGER).
M3L_128,The WEL is small.,ATE,VET,LET,MAG,ASE,E,The missing letters are ASE (WEASEL).
M3L_129,A pet RET.,OFF,NAG,FER,FIT,INK,C,The missing letters are FER (FERRET).
M3L_130,My pet HTER runs.,IRE,FAD,SAD,AMS,IVY,D,The missing letters are AMS (HAMSTER).
M3L_131,A small BIL.,GER,ENT,BAD,YET,ING,A,The missing letters are GER (GERBIL).
M3L_132,A GUA pig.,INE,MAG,OLD,EAR,AND,A,The missing letters are INE (GUINEA).
M3L_133,The POT talks.,JOY,ARR,COT,SIT,EYE,B,The missing letters are ARR (PARROT).
M3L_134,Feed the PIN.,ODD,GEO,LIT,AGE,ART,B,The missing letters are GEO (PIGEON).
M3L_135,A small SPOW bird.,OAT,INN,COO,PAD,ARR,E,The missing letters are ARR (SPARROW).
M3L_136,The EA flies high.,EVE,KAY,EST,GLE,FLY,D,The missing letters are GLE (EAGLE).
M3L_137,A fast CON.,SAY,LAG,MAD,FAL,BAT,D,The missing letters are FAL (FALCON).
M3L_138,The OICH runs fast.,GAG,CRY,STR,DAD,WHY,C,The missing letters are STR (OSTRICH).
M3L_139,The GUIN swims well.,YET,PEN,LOO,EEL,TAD,B,The missing letters are PEN (PENGUIN).
M3L_140,The DOLP jumped.,SIT,WAY,FAD,HIN,WHY,D,The missing letters are HIN (DOLPHIN).
M3L_141,A blue WH.,ENT,BAD,ALE,HAT,ACE,C,The missing letters are ALE (WHALE).
M3L_142,A great white SH.,DAD,ARK,ONE,OUR,SAY,B,The missing letters are ARK (SHARK).
M3L_143,Pink SON.,JAG,ALM,OUT,SAD,BIG,B,The missing letters are ALM (SALMON).
M3L_144,River TT.,TAD,ROU,MAY,MAT,OAK,B,The missing letters are ROU (TROUT).
M3L_145,A red RING.,LAG,PAT,OPT,HER,KIT,D,The missing letters are HER (HERRING).
M3L_146,Smoked HOCK.,FAT,HOP,ADD,RAD,HAT,C,The missing letters are ADD (HADDOCK).
M3L_147,Fresh MACEL.,ASH,ROT,KER,KAY,TEE,C,The missing letters are KER (MACKEREL).
M3L_148,A tin of SARD.,OUT,DOT,INE,MAN,TEE,C,The missing letters are INE (SARDINE).
M3L_149,Tinned A.,EST,AID,BIT,TUN,OAT,D,The missing letters are TUN (TUNA).
M3L_150,Eat an AP.,ODD,LIT,ORB,FIT,PLE,E,The missing letters are PLE (APPLE).
M3L_151,Peel an ORE.,MAN,OWL,BOY,AND,ANG,E,The missing letters are ANG (ORANGE).
M3L_152,A yellow BAN.,ANA,WAY,OAK,EGG,TOY,A,The missing letters are ANA (BANANA).
M3L_153,A juicy P.,SAY,EAR,ARM,FOR,BAY,B,The missing letters are EAR (PEAR).
M3L_154,A ripe M.,PLU,PIT,JAG,OUT,CAD,A,The missing letters are PLU (PLUM).
M3L_155,A green PE.,THE,OWL,ONE,ICE,GRA,E,The missing letters are GRA (GRAPE).
M3L_156,A sour LE.,MON,ICE,ION,EYE,THE,A,The missing letters are MON (LEMON).
M3L_157,A green L.,BAG,OWL,IME,OUS,OFF,C,The missing letters are IME (LIME).
M3L_158,A sweet ME.,FEE,LET,LON,JOY,ROT,C,The missing letters are LON (MELON).
M3L_159,A soft CH.,MAD,PEA,TRY,DAD,AIM,B,The missing letters are PEA (PEACH).
M3L_160,A red CHE.,BOO,BOX,SAD,RRY,SIT,D,The missing letters are RRY (CHERRY).
M3L_161,A wild BE.,PRY,RRY,ART,AID,DRY,B,The missing letters are RRY (BERRY).
M3L_162,A red STRERRY.,AWB,ZOO,HOT,HAD,FLY,A,The missing letters are AWB (STRAWBERRY).
M3L_163,A pink RASRRY.,POT,PBE,SIT,PAD,MOO,B,The missing letters are PBE (RASPBERRY).
M3L_164,A small BLURRY.,DAD,BOX,EBE,RAT,JAG,C,The missing letters are EBE (BLUEBERRY).
M3L_165,Pick a BLACRRY.,EYE,ARK,ENT,KBE,GAY,D,The missing letters are KBE (BLACKBERRY).
M3L_166,A baked PTO.,OTA,PIT,BEE,ARK,ASK,A,The missing letters are OTA (POTATO).
M3L_167,A red TTO.,WIT,OMA,OIL,MOO,COO,B,The missing letters are OMA (TOMATO).
M3L_168,A crunchy COT.,COT,YAK,LET,FOX,ARR,E,The missing letters are ARR (CARROT).
M3L_169,Chop an ON.,YAK,RAT,ONI,BIT,NET,C,The missing letters are ONI (ONION).
M3L_170,A big TUP.,RNI,VET,URN,HAD,OFF,A,The missing letters are RNI (TURNIP).
M3L_171,Roast SNIP.,ENT,CAT,OIL,PAR,EYE,D,The missing letters are PAR (PARSNIP).
M3L_172,Green BAGE.,CAB,KIT,NAG,SAY,TEE,A,The missing letters are CAB (CABBAGE).
M3L_173,Fresh TUCE.,LET,LOT,OAT,ICE,OUS,A,The missing letters are LET (LETTUCE).
M3L_174,Cool as a CUCUM.,USE,SPY,ONE,NOT,BER,E,The missing letters are BER (CUCUMBER).
M3L_175,Red PER.,PEP,SET,RED,LAY,HAT,A,The missing letters are PEP (PEPPER).
M3L_176,Green SPIN.,ACE,ACH,ROT,OAK,BIT,B,The missing letters are ACH (SPINACH).
M3L_177,Eat your CCOLI.,BRO,LEE,TOY,IVE,THE,A,The missing letters are BRO (BROCCOLI).
M3L_178,White CAULIWER.,FLO,URN,GAY,HAT,OWN,A,The missing letters are FLO (CAULIFLOWER).
M3L_179,Baked BS.,OLD,NET,MAN,TAG,EAN,E,The missing letters are EAN (BEANS).
M3L_180,Green P.,MAN,EAS,PIT,HOP,AIM,B,The missing letters are EAS (PEAS).
M3L_181,Yellow SWEERN.,ONE,BIG,VET,OLD,TCO,E,The missing letters are TCO (SWEETCORN).
M3L_182,Red RSH.,WEE,OWN,ADI,OPT,DAY,C,The missing letters are ADI (RADISH).
M3L_183,Crunchy ERY.,AIM,CEL,MAT,LOO,SET,B,The missing letters are CEL (CELERY).
M3L_184,A wild MUSHR.,OOM,EGO,ICE,JAG,ING,A,The missing letters are OOM (MUSHROOM).
M3L_185,Slice of BR.,TAG,BAD,EAD,BAT,SIT,C,The missing letters are EAD (BREAD).
M3L_186,Hot TT.,INN,EEL,MAD,OAS,WIT,D,The missing letters are OAS (TOAST).
M3L_187,Bread and BUT.,NET,TRY,COO,TER,URN,D,The missing letters are TER (BUTTER).
M3L_188,Ham and CSE.,DOT,SPY,INN,HEE,JET,D,The missing letters are HEE (CHEESE).
M3L_189,Drink M.,ILK,BIT,MAT,HAY,YAK,A,The missing letters are ILK (MILK).
M3L_190,Fruit YURT.,GAY,OGH,AIM,TAG,MOO,B,The missing letters are OGH (YOGHURT).
M3L_191,Ice AM.,ADO,RAG,CRE,LAG,CAT,C,The missing letters are CRE (CREAM).
M3L_192,Sweet SR.,KIT,UGA,HOT,USE,SPY,B,The missing letters are UGA (SUGAR).
M3L_193,Bake with FR.,BIG,LOU,RUN,HAY,TION,B,The missing letters are LOU (FLOUR).
M3L_194,Italian PA.,HAD,BAY,FIT,SKY,AST,E,The missing letters are AST (PASTA).
M3L_195,Pepperoni ZA.,TAD,MAY,BOY,PAD,PIZ,E,The missing letters are PIZ (PIZZA).
M3L_196,Beef BUR.,MOO,BIT,GER,SIT,WEE,C,The missing letters are GER (BURGER).
M3L_197,Fish and CH.,HOP,TOO,POT,IPS,MOO,D,The missing letters are IPS (CHIPS).
M3L_198,Pork SAUS.,INK,END,AGE,EST,AIR,C,The missing letters are AGE (SAUSAGE).
M3L_199,Eggs and BA.,AGE,THE,CON,COO,ILL,C,The missing letters are CON (BACON).
M3L_200,Juicy AK.,FEE,HOP,HIT,SAY,STE,E,The missing letters are STE (STEAK).
M3L_201,Roast CHIC.,FRY,BAT,ADD,KEN,SET,D,The missing letters are KEN (CHICKEN).
M3L_202,Christmas TEY.,URK,EGG,ARM,JAG,CAN,A,The missing letters are URK (TURKEY).
M3L_203,Roast B.,GET,LAM,RAY,HAT,BAG,B,The missing letters are LAM (LAMB).
M3L_204,Roast F.,IVE,OUS,AGE,FOR,BEE,E,The missing letters are BEE (BEEF).
M3L_205,Roast K.,POR,OAR,JET,IVE,YET,A,The missing letters are POR (PORK).
M3L_206,Fried H.,MET,INN,LAY,FIS,CAT,D,The missing letters are FIS (FISH).
M3L_207,Drink WA.,MOO,EAT,BEE,ONE,TER,E,The missing letters are TER (WATER).
M3L_208,Orange CE.,JUI,IRE,RAD,HAD,HOT,A,The missing letters are JUI (JUICE).
M3L_209,Hot COF.,TOP,FEE,FAD,AID,TRY,B,The missing letters are FEE (COFFEE).
M3L_210,Hot CHOCOL.,MAG,BIT,ATE,AID,BEE,C,The missing letters are ATE (CHOCOLATE).
M3L_211,Fizzy ONADE.,MAD,LEM,LEE,AIM,TEE,B,The missing letters are LEM (LEMONADE).
M3L_212,Eat a BUIT.,PAT,BY,RED,ISC,ARM,D,The missing letters are ISC (BISCUIT).
M3L_213,Birthday C.,ADD,AKE,MAD,DAY,OPT,B,The missing letters are AKE (CAKE).
M3L_214,A sticky SW.,EET,SEE,HAY,PAD,ADO,A,The missing letters are EET (SWEET).
M3L_215,Cotton CY.,JET,AND,ORB,FAT,HOT,B,The missing letters are AND (CANDY).
M3L_216,Chewy TOF.,KAY,TEE,FEE,ONE,TOP,C,The missing letters are FEE (TOFFEE).
