id,question,optionA,optionB,optionC,optionD,optionE,Correct,difficulty
41,61  58  55  52  [?],46,49,47,51,54,B,Level 1
42,7  14  28  56  [?],116,112,111,114,139,B,Level 1
43,85  76  67  58  [?],39,47,49,44,50,C,Level 1
44,9  18  36  72  [?],144,154,180,140,179,A,Level 1
45,6  12  24  48  [?],97,120,119,96,106,D,Level 1
46,38  52  66  80  [?],97,107,94,96,92,C,Level 1
47,8  24  72  216  [?],638,644,649,648,647,D,Level 1
48,59  50  41  32  [?],26,23,13,32,20,B,Level 1
49,73  64  55  46  [?],47,41,38,37,39,D,Level 1
50,84  78  72  66  [?],59,53,65,55,60,E,Level 1
51,49  43  37  31  [?],22,25,35,26,27,B,Level 1
52,16  36  56  76  [?],98,96,117,95,97,B,Level 1
53,4  12  36  108  [?],322,334,324,323,395,C,Level 1
54,7  14  28  56  [?],108,107,114,111,112,E,Level 1
55,46  49  52  55  [?],57,58,48,61,62,B,Level 1
56,14  19  24  29  [?],29,34,33,30,38,B,Level 1
57,64  59  54  49  [?],34,45,40,44,49,D,Level 1
58,8  24  72  216  [?],645,652,644,793,648,E,Level 1
59,82  75  68  61  [?],49,47,54,57,48,C,Level 1
60,5  15  45  135  [?],410,400,408,405,407,D,Level 1
61,64  58  52  46  [?],35,36,40,30,37,C,Level 1
62,54  48  42  36  [?],29,34,25,20,30,E,Level 1
63,69  66  63  60  [?],55,52,57,67,62,C,Level 1
64,5  10  20  40  [?],90,101,80,100,78,C,Level 1
65,65  57  49  41  [?],34,35,31,30,33,E,Level 1
66,6  12  24  48  [?],119,93,96,94,91,C,Level 1
67,74  66  58  50  [?],43,42,32,39,44,B,Level 1
68,17  25  33  41  [?],51,49,46,47,52,B,Level 1
69,18  29  40  51  [?],58,57,62,60,64,C,Level 1
70,43  38  33  28  [?],23,25,22,19,24,A,Level 1
71,36  30  24  18  [?],7,12,9,10,2,B,Level 1
72,50  59  68  77  [?],85,90,86,84,96,C,Level 1
73,3  6  12  24  [?],60,38,47,53,48,E,Level 1
74,3  6  12  24  [?],49,46,47,48,50,D,Level 1
75,29  41  53  65  [?],90,74,77,79,88,C,Level 1
76,3  9  27  81  [?],296,244,242,243,248,D,Level 1
77,61  51  41  31  [?],17,24,16,22,21,E,Level 1
78,7  19  31  43  [?],57,53,45,55,56,D,Level 1
79,7  21  63  189  [?],565,567,566,569,692,B,Level 1
80,5  15  45  135  [?],315,408,409,407,405,E,Level 1
81,2  18  34  50  [?],66,63,82,68,56,A,Level 1
82,47  60  73  86  [?],113,99,111,89,86,B,Level 1
83,79  77  75  73  [?],76,61,70,73,71,E,Level 1
84,88  82  76  70  [?],63,64,69,62,58,B,Level 1
85,8  16  32  64  [?],128,129,131,123,130,A,Level 1
86,8  16  32  64  [?],129,124,128,160,127,C,Level 1
87,1  3  9  27  [?],79,76,81,100,91,C,Level 1
88,5  15  45  135  [?],405,395,402,407,403,A,Level 1
89,58  53  48  43  [?],43,39,42,32,38,E,Level 1
90,93  84  75  66  [?],48,57,66,56,67,B,Level 1
91,39  49  59  69  [?],80,84,77,75,79,E,Level 1
92,2  4  8  16  [?],33,24,32,41,22,C,Level 1
93,94  84  74  64  [?],55,50,43,54,45,D,Level 1
94,96  86  76  66  [?],57,56,66,46,54,B,Level 1
95,61  51  41  31  [?],23,19,10,17,21,E,Level 1
96,5  7  9  11  [?],3,23,16,15,13,E,Level 1
97,9  24  39  54  [?],73,69,83,74,66,B,Level 1
98,4  12  36  108  [?],320,326,329,319,324,E,Level 1
99,7  14  28  56  [?],113,139,112,116,111,C,Level 1
100,40  35  30  25  [?],24,20,22,25,30,B,Level 1
101,3  5  9  17  [?],28,43,31,33,34,D,Level 2
102,6  14  30  62  [?],159,126,130,125,124,B,Level 2
103,10  12  17  25  [?],38,26,41,36,37,D,Level 2
104,9  19  39  79  [?],159,158,149,119,157,A,Level 2
105,1  1  1  1  [?],9,0,1,4,2,C,Level 2
106,5  12  26  54  [?],82,100,109,114,110,E,Level 2
107,7  11  16  22  [?],28,32,29,31,34,C,Level 2
108,16  20  27  37  [?],50,45,51,52,46,A,Level 2
109,2  5  11  23  [?],49,60,48,47,50,D,Level 2
110,2  6  14  30  [?],66,65,62,63,60,C,Level 2
111,17  22  29  38  [?],48,39,49,50,47,C,Level 2
112,1  4  8  13  [?],17,20,16,24,19,E,Level 2
113,73  71  67  61  [?],53,49,50,48,56,A,Level 2
114,8  12  18  26  [?],40,36,46,26,37,B,Level 2
115,7  16  34  70  [?],142,140,147,143,177,A,Level 2
116,82  79  74  67  [?],68,58,57,61,52,B,Level 2
117,47  46  42  35  [?],22,29,25,19,30,C,Level 2
118,12  13  15  18  [?],19,20,25,22,32,D,Level 2
119,6  7  9  12  [?],20,16,18,13,17,B,Level 2
120,78  77  73  66  [?],59,55,56,60,66,C,Level 2
121,10  12  16  22  [?],31,32,28,20,30,E,Level 2
122,70  68  65  61  [?],54,53,55,51,56,E,Level 2
123,20  24  30  38  [?],47,56,52,48,45,D,Level 2
124,61  57  50  40  [?],32,27,26,18,31,B,Level 2
125,10  21  43  87  [?],173,185,220,177,175,E,Level 2
126,1  6  13  22  [?],30,23,28,33,32,D,Level 2
127,85  84  80  73  [?],70,63,62,65,58,B,Level 2
128,10  19  37  73  [?],148,147,109,141,145,E,Level 2
129,9  17  33  65  [?],129,139,127,160,131,A,Level 2
130,9  20  42  86  [?],173,169,174,175,164,C,Level 2
131,59  57  54  50  [?],43,41,47,45,49,D,Level 2
132,13  17  24  34  [?],43,49,47,51,52,C,Level 2
133,2  3  5  9  [?],21,22,17,7,20,C,Level 2
134,5  7  10  14  [?],17,24,9,19,15,D,Level 2
135,9  13  20  30  [?],45,33,43,46,41,C,Level 2
136,90  87  81  72  [?],55,60,51,62,70,B,Level 2
137,3  5  10  18  [?],36,29,28,30,37,B,Level 2
138,18  19  21  24  [?],31,25,27,29,28,E,Level 2
139,18  19  21  24  [?],29,28,32,26,31,B,Level 2
140,2  6  14  30  [?],77,60,61,62,78,D,Level 2
141,3  8  18  38  [?],78,79,76,83,68,A,Level 2
142,8  15  29  57  [?],114,112,115,113,111,D,Level 2
143,6  11  21  41  [?],77,82,76,79,81,E,Level 2
144,61  58  54  49  [?],53,45,33,43,42,D,Level 2
145,14  15  19  26  [?],36,40,32,46,31,A,Level 2
146,6  8  13  21  [?],41,33,24,36,32,E,Level 2
147,9  11  14  18  [?],26,25,22,23,24,D,Level 2
148,2  6  14  30  [?],62,64,63,78,60,A,Level 2
149,55  53  49  43  [?],40,35,38,41,33,B,Level 2
150,1  4  10  19  [?],30,41,39,33,31,E,Level 2
151,45  43  39  33  [?],20,25,30,29,26,B,Level 2
152,5  11  23  47  [?],105,92,93,85,95,E,Level 2
153,11  13  18  26  [?],45,35,39,40,37,E,Level 2
154,62  60  55  47  [?],35,39,36,29,34,C,Level 2
155,7  15  31  63  [?],117,123,127,129,122,C,Level 2
156,1  3  7  15  [?],40,31,32,30,29,B,Level 2
157,74  71  67  62  [?],60,54,52,56,55,D,Level 2
158,59  54  47  38  [?],27,25,17,37,26,A,Level 2
159,71  67  62  56  [?],44,52,49,39,50,C,Level 2
160,2  5  11  23  [?],47,45,46,50,52,A,Level 2
161,7  13  25  49  [?],98,93,97,122,94,C,Level 2
162,8  12  19  29  [?],45,41,53,42,44,D,Level 2
163,38  36  33  29  [?],26,25,19,24,23,D,Level 2
164,5  12  26  54  [?],110,113,107,138,137,A,Level 2
165,7  11  18  28  [?],39,43,41,46,51,C,Level 2
166,17  18  20  23  [?],27,32,28,26,22,A,Level 2
167,15  20  27  36  [?],55,47,50,46,37,B,Level 2
168,82  77  70  61  [?],50,51,47,48,40,A,Level 2
169,54  49  43  36  [?],35,23,28,20,31,C,Level 2
170,16  21  29  40  [?],56,44,54,57,53,C,Level 2
171,51  48  43  36  [?],23,24,27,29,30,C,Level 2
172,2  4  9  17  [?],25,28,29,37,20,B,Level 2
173,85  80  72  61  [?],35,47,51,57,37,B,Level 2
174,9  17  33  65  [?],124,131,129,125,127,C,Level 2
175,8  11  16  23  [?],30,32,42,40,34,B,Level 2
176,4  7  13  25  [?],39,49,53,54,47,B,Level 2
177,1  1  1  1  [?],1,4,2,5,0,A,Level 2
178,18  19  22  27  [?],44,33,35,36,34,E,Level 2
179,10  12  16  22  [?],24,26,31,28,30,E,Level 2
180,45  44  40  33  [?],20,30,25,23,19,D,Level 2
181,69  65  59  51  [?],39,31,41,43,51,C,Level 2
182,14  17  21  26  [?],31,32,27,42,37,B,Level 2
183,80  77  72  65  [?],56,58,66,57,50,A,Level 2
184,14  19  26  35  [?],46,48,56,55,36,A,Level 2
185,8  17  35  71  [?],141,138,178,143,142,D,Level 2
186,6  11  21  41  [?],84,81,86,82,61,B,Level 2
187,60  56  51  45  [?],39,38,28,34,37,B,Level 2
188,63  61  57  51  [?],43,33,46,38,53,A,Level 2
189,86  82  76  68  [?],59,62,58,51,66,C,Level 2
190,4  7  13  25  [?],51,62,49,48,47,C,Level 2
191,19  22  27  34  [?],41,44,43,51,47,C,Level 2
192,10  21  43  87  [?],174,171,175,177,180,C,Level 2
193,9  19  39  79  [?],154,169,160,159,119,D,Level 2
194,84  79  72  63  [?],61,50,49,52,42,D,Level 2
195,57  53  48  42  [?],45,38,28,35,41,D,Level 2
196,48  47  45  42  [?],34,38,36,39,40,B,Level 2
197,12  16  21  27  [?],36,34,37,39,31,B,Level 2
198,39  36  32  27  [?],25,20,23,21,26,D,Level 2
199,6  14  30  62  [?],126,116,158,123,131,A,Level 2
200,12  16  23  33  [?],46,44,45,56,48,A,Level 2
201,8  5  13  18  31  49  [?],82,75,97,90,80,E,Level 3
202,1  9  6  10  11  11  [?],17,16,20,14,15,B,Level 3
203,3  9  12  21  33  54  [?],86,87,107,90,85,B,Level 3
204,4  6  10  16  26  42  [?],73,68,52,85,63,B,Level 3
205,20  2  25  5  30  8  [?],31,30,35,32,34,C,Level 3
206,16  25  36  49  64  81  [?],100,116,98,102,99,A,Level 3
207,10  17  26  37  50  65  [?],77,87,80,82,72,D,Level 3
208,8  7  15  22  37  59  [?],94,101,98,95,96,E,Level 3
209,2  5  10  17  26  37  [?],50,54,47,52,51,A,Level 3
210,18  5  21  7  24  9  [?],37,11,27,13,25,C,Level 3
211,4  9  13  22  35  57  [?],92,91,95,90,70,A,Level 3
212,6  8  14  22  36  58  [?],94,116,96,95,92,A,Level 3
213,5  17  10  18  15  19  [?],30,20,25,24,23,B,Level 3
214,4  9  16  25  36  49  [?],62,78,67,66,64,E,Level 3
215,13  14  14  16  15  18  [?],14,19,13,16,18,D,Level 3
216,3  6  11  18  27  38  [?],51,47,49,52,55,A,Level 3
217,11  18  27  38  51  66  [?],83,78,68,82,80,A,Level 3
218,6  8  14  22  36  58  [?],117,95,96,94,97,D,Level 3
219,5  12  7  13  9  14  [?],11,13,10,7,12,A,Level 3
220,6  11  18  27  38  51  [?],61,79,66,70,68,C,Level 3
221,1  1  5  4  9  7  [?],13,12,11,9,23,A,Level 3
222,5  3  8  11  19  30  [?],60,49,51,47,50,B,Level 3
223,4  4  8  12  20  32  [?],50,57,55,49,52,E,Level 3
224,13  18  18  20  23  22  [?],23,30,26,18,28,E,Level 3
225,16  8  21  11  26  14  [?],30,31,26,27,41,B,Level 3
226,16  8  18  13  20  18  [?],23,20,24,22,17,D,Level 3
227,8  9  17  26  43  69  [?],114,113,111,110,112,E,Level 3
228,12  19  28  39  52  67  [?],83,84,88,82,85,B,Level 3
229,3  6  11  18  27  38  [?],54,47,61,40,51,E,Level 3
230,7  5  12  17  29  46  [?],70,72,75,79,93,C,Level 3
231,17  6  18  10  19  14  [?],22,30,25,19,20,E,Level 3
232,9  14  21  30  41  54  [?],66,64,83,70,69,E,Level 3
233,6  3  11  7  16  11  [?],15,23,22,21,16,D,Level 3
234,10  17  26  37  50  65  [?],78,82,84,92,87,B,Level 3
235,26  37  50  65  82  101  [?],120,122,112,140,103,B,Level 3
236,2  7  9  16  25  41  [?],71,68,66,65,64,C,Level 3
237,7  18  9  20  11  22  [?],3,16,24,13,10,D,Level 3
238,18  27  38  51  66  83  [?],105,102,97,119,120,B,Level 3
239,4  9  13  22  35  57  [?],82,90,91,92,95,D,Level 3
240,17  2  22  5  27  8  [?],32,22,30,33,36,A,Level 3
241,8  9  17  26  43  69  [?],117,114,112,111,139,C,Level 3
242,19  1  21  3  23  5  [?],20,25,29,35,30,B,Level 3
243,6  5  11  16  27  43  [?],75,71,66,70,72,D,Level 3
244,8  1  9  10  19  29  [?],48,49,59,57,38,A,Level 3
245,10  2  12  14  26  40  [?],70,61,63,66,56,D,Level 3
246,5  10  17  26  37  50  [?],65,75,61,63,60,A,Level 3
247,5  4  10  7  15  10  [?],18,15,20,21,10,C,Level 3
248,9  10  19  29  48  77  [?],130,115,125,129,122,C,Level 3
249,8  5  13  18  31  49  [?],78,75,80,77,82,C,Level 3
250,19  28  39  52  67  84  [?],103,98,104,106,105,A,Level 3
251,7  3  10  13  23  36  [?],64,72,59,54,58,C,Level 3
252,25  36  49  64  81  100  [?],121,117,125,119,116,A,Level 3
253,4  5  9  9  14  13  [?],18,20,17,16,19,E,Level 3
254,3  2  5  7  12  19  [?],21,31,27,30,32,B,Level 3
255,8  8  16  24  40  64  [?],100,102,104,105,107,C,Level 3
256,8  4  12  16  28  44  [?],69,89,67,77,72,E,Level 3
257,30  41  54  69  86  105  [?],125,126,127,116,128,B,Level 3
258,20  29  40  53  68  85  [?],109,101,105,102,104,E,Level 3
259,8  4  12  16  28  44  [?],62,89,72,71,87,C,Level 3
260,17  26  37  50  65  82  [?],99,118,91,101,100,D,Level 3
261,3  4  7  11  18  29  [?],59,47,45,49,48,B,Level 3
262,6  1  7  8  15  23  [?],42,37,38,39,45,C,Level 3
263,4  1  5  2  6  3  [?],8,11,12,9,7,E,Level 3
264,8  13  20  29  40  53  [?],71,55,70,68,81,D,Level 3
265,20  4  21  8  22  12  [?],23,13,21,12,25,A,Level 3
266,1  2  3  5  8  13  [?],21,16,26,22,11,A,Level 3
267,19  20  24  22  29  24  [?],33,34,32,29,24,B,Level 3
268,20  5  25  6  30  7  [?],25,30,34,35,39,D,Level 3
269,28  39  52  67  84  103  [?],124,122,144,126,119,A,Level 3
270,10  8  18  26  44  70  [?],114,141,109,112,116,A,Level 3
271,9  5  14  19  33  52  [?],86,81,85,84,66,C,Level 3
272,3  11  5  15  7  19  [?],3,9,7,10,22,B,Level 3
273,9  10  19  29  48  77  [?],120,115,126,153,125,E,Level 3
274,8  18  13  23  18  28  [?],24,25,23,32,26,C,Level 3
275,5  20  9  21  13  22  [?],15,17,7,27,22,B,Level 3
276,4  1  5  6  11  17  [?],38,27,28,30,18,C,Level 3
277,1  6  7  13  20  33  [?],53,54,58,43,52,A,Level 3
278,1  4  9  16  25  36  [?],59,50,49,52,54,C,Level 3
279,4  7  12  19  28  39  [?],52,62,48,54,50,A,Level 3
280,19  15  23  20  27  25  [?],27,41,28,30,31,E,Level 3
281,19  28  39  52  67  84  [?],103,104,108,98,119,A,Level 3
282,2  2  4  6  10  16  [?],28,23,32,26,24,D,Level 3
283,2  3  5  8  13  21  [?],34,26,33,31,30,A,Level 3
284,5  10  15  25  40  65  [?],130,131,80,105,101,D,Level 3
285,18  13  21  18  24  23  [?],27,25,30,24,29,A,Level 3
286,4  8  7  9  10  10  [?],13,14,9,12,10,A,Level 3
287,1  4  9  16  25  36  [?],49,50,52,51,53,A,Level 3
288,12  8  16  10  20  12  [?],15,24,21,25,26,B,Level 3
289,6  4  10  14  24  38  [?],62,75,61,63,67,A,Level 3
290,5  10  17  26  37  50  [?],55,65,63,75,70,B,Level 3
291,2  5  10  17  26  37  [?],48,40,50,54,60,C,Level 3
292,4  7  12  19  28  39  [?],52,50,57,54,56,A,Level 3
293,3  6  9  15  24  39  [?],53,63,65,67,73,B,Level 3
294,16  10  17  14  18  18  [?],23,16,22,20,19,E,Level 3
295,18  12  20  15  22  18  [?],26,20,24,27,28,C,Level 3
296,5  10  17  26  37  50  [?],64,75,63,66,65,E,Level 3
297,6  11  18  27  38  51  [?],53,61,71,66,68,D,Level 3
298,4  7  11  18  29  47  [?],73,76,77,74,75,B,Level 3
299,5  7  12  19  31  50  [?],78,85,84,81,79,D,Level 3
300,17  26  37  50  65  82  [?],118,91,101,105,100,C,Level 3
