Question,OptionA,OptionB,OptionC,OptionD,OptionE,CorrectAnswer
"Find two words, one from each group, that are closest in meaning: (cease slumber sleep) (study stop hide)",sleep hide,slumber stop,slumber study,cease study,cease stop,cease stop
"Find two words, one from each group, that are closest in meaning: (cheerful moist clear) (truthful happy important)",moist happy,clear important,cheerful truthful,cheerful happy,moist truthful,cheerful happy
"Find two words, one from each group, that are closest in meaning: (easy cheerful cautious) (harsh fortunate happy)",easy fortunate,cautious happy,cheerful happy,cheerful fortunate,easy harsh,cheerful happy
"Find two words, one from each group, that are closest in meaning: (circular cross rough) (difficult robust round)",cross robust,circular difficult,rough round,circular round,circular robust,circular round
"Find two words, one from each group, that are closest in meaning: (circular modern careful) (angry mad round)",circular mad,modern mad,circular angry,circular round,careful round,circular round
"Find two words, one from each group, that are closest in meaning: (help prohibit complete) (remember alter finish)",help remember,help alter,prohibit remember,prohibit alter,complete finish,complete finish
"Find two words, one from each group, that are closest in meaning: (learn conceal ignore) (depart imitate hide)",conceal imitate,ignore hide,learn imitate,learn depart,conceal hide,conceal hide
"Find two words, one from each group, that are closest in meaning: (imitate conceal slumber) (hide help alter)",slumber alter,imitate hide,imitate help,conceal hide,conceal help,conceal hide
"Find two words, one from each group, that are closest in meaning: (neat correct bold) (rare fortunate right)",correct fortunate,neat fortunate,bold right,neat rare,correct right,correct right
"Find two words, one from each group, that are closest in meaning: (calm correct savage) (immediate right boring)",correct immediate,calm right,correct right,savage boring,calm immediate,correct right
"Find two words, one from each group, that are closest in meaning: (bowl rural cot) (labour cradle price)",cot cradle,bowl cradle,rural cradle,cot price,bowl labour,cot cradle
"Find two words, one from each group, that are closest in meaning: (top cot bowl) (enemy cradle inside)",top cradle,cot enemy,cot cradle,top enemy,bowl inside,cot cradle
"Find two words, one from each group, that are closest in meaning: (odd damp right) (moist hard brave)",odd moist,damp moist,right brave,damp hard,odd hard,damp moist
"Find two words, one from each group, that are closest in meaning: (cheerful damp distinct) (circular brief moist)",distinct moist,damp brief,cheerful circular,cheerful brief,damp moist,damp moist
"Find two words, one from each group, that are closest in meaning: (depart complete look) (notify leave yell)",depart leave,complete notify,depart notify,look yell,complete leave,depart leave
"Find two words, one from each group, that are closest in meaning: (depart grow connect) (begin examine leave)",depart examine,depart leave,depart begin,grow examine,connect leave,depart leave
"Find two words, one from each group, that are closest in meaning: (expensive instant difficult) (tidy new hard)",instant new,expensive tidy,expensive new,instant tidy,difficult hard,difficult hard
"Find two words, one from each group, that are closest in meaning: (difficult coarse empty) (hard honest cheerful)",empty cheerful,coarse hard,difficult honest,coarse honest,difficult hard,difficult hard
"Find two words, one from each group, that are closest in meaning: (strong important dirty) (vacant unclean eternal)",dirty eternal,strong unclean,strong vacant,dirty unclean,important unclean,dirty unclean
"Find two words, one from each group, that are closest in meaning: (sturdy dirty lean) (sombre quick unclean)",dirty quick,lean unclean,dirty unclean,sturdy sombre,sturdy quick,dirty unclean
"Find two words, one from each group, that are closest in meaning: (need disaster ocean) (bowl catastrophe baby)",need catastrophe,disaster bowl,disaster catastrophe,need bowl,ocean baby,disaster catastrophe
"Find two words, one from each group, that are closest in meaning: (sidewalk disaster ocean) (catastrophe rock hurricane)",sidewalk catastrophe,ocean hurricane,disaster catastrophe,sidewalk rock,disaster rock,disaster catastrophe
"Find two words, one from each group, that are closest in meaning: (distinct wild unwilling) (bold rare clear)",distinct clear,wild rare,distinct bold,unwilling clear,distinct rare,distinct clear
"Find two words, one from each group, that are closest in meaning: (truthful steady distinct) (immediate clear able)",distinct clear,truthful immediate,truthful clear,distinct able,steady clear,distinct clear
"Find two words, one from each group, that are closest in meaning: (repair imitate dodge) (melt incite avoid)",imitate melt,dodge avoid,imitate incite,repair melt,repair incite,dodge avoid
"Find two words, one from each group, that are closest in meaning: (raise dodge dwell) (yell avoid live)",raise yell,dodge yell,dodge avoid,dwell live,raise avoid,dodge avoid
"Find two words, one from each group, that are closest in meaning: (tidy funny dull) (steady cheerful boring)",tidy cheerful,funny steady,funny cheerful,tidy steady,dull boring,dull boring
"Find two words, one from each group, that are closest in meaning: (stable huge dull) (boring savage opaque)",dull boring,stable boring,huge savage,dull opaque,stable savage,dull boring
"Find two words, one from each group, that are closest in meaning: (reduce prompt dwell) (melt live conceal)",dwell live,reduce melt,reduce live,dwell conceal,prompt live,dwell live
"Find two words, one from each group, that are closest in meaning: (dwell study cease) (reduce gather live)",dwell live,cease live,study gather,dwell reduce,dwell gather,dwell live
"Find two words, one from each group, that are closest in meaning: (fly echo reveal) (repeat avoid examine)",fly repeat,echo avoid,fly avoid,reveal examine,echo repeat,echo repeat
"Find two words, one from each group, that are closest in meaning: (echo alter forgive) (sleep repeat grow)",forgive grow,alter repeat,alter sleep,echo repeat,echo sleep,echo repeat
"Find two words, one from each group, that are closest in meaning: (expand elevate finish) (cease raise change)",expand raise,expand cease,elevate raise,finish change,elevate cease,elevate raise
"Find two words, one from each group, that are closest in meaning: (hide elevate throw) (raise sleep imitate)",hide sleep,elevate sleep,hide raise,throw imitate,elevate raise,elevate raise
"Find two words, one from each group, that are closest in meaning: (forgive examine end) (grow finish reveal)",end finish,forgive grow,forgive finish,end reveal,examine finish,end finish
"Find two words, one from each group, that are closest in meaning: (enemy scent mist) (foe dish sleep)",scent foe,enemy dish,scent dish,enemy foe,mist sleep,enemy foe
"Find two words, one from each group, that are closest in meaning: (enemy peak inside) (interior cut foe)",enemy foe,enemy interior,enemy cut,peak cut,inside foe,enemy foe
"Find two words, one from each group, that are closest in meaning: (entire right alert) (huge circular whole)",alert whole,right circular,entire circular,entire whole,entire huge,entire whole
"Find two words, one from each group, that are closest in meaning: (strong entire funny) (moist whole dirty)",funny dirty,entire moist,strong moist,strong whole,entire whole,entire whole
"Find two words, one from each group, that are closest in meaning: (error cut rock) (pavement sofa mistake)",error pavement,cut sofa,error sofa,rock mistake,error mistake,error mistake
"Find two words, one from each group, that are closest in meaning: (error catastrophe sight) (liquid mistake sea)",sight sea,catastrophe mistake,catastrophe liquid,error liquid,error mistake,error mistake
"Find two words, one from each group, that are closest in meaning: (eternal unclear delicate) (important everlasting stable)",delicate stable,eternal everlasting,unclear everlasting,eternal important,unclear important,eternal everlasting
"Find two words, one from each group, that are closest in meaning: (rare eternal rapid) (witty nice everlasting)",eternal everlasting,rare nice,rapid everlasting,rare witty,eternal nice,eternal everlasting
"Find two words, one from each group, that are closest in meaning: (start raise expand) (finish grow avoid)",start finish,expand grow,start grow,expand avoid,raise grow,expand grow
"Find two words, one from each group, that are closest in meaning: (scorch expand change) (inspect soar grow)",change grow,expand grow,expand soar,scorch soar,scorch inspect,expand grow
"Find two words, one from each group, that are closest in meaning: (expensive careful coarse) (costly truthful alert)",careful truthful,expensive costly,expensive truthful,coarse alert,careful costly,expensive costly
"Find two words, one from each group, that are closest in meaning: (unclean circular expensive) (calm costly dull)",unclean costly,expensive dull,unclean calm,expensive costly,circular costly,expensive costly
"Find two words, one from each group, that are closest in meaning: (act show fix) (repair live soar)",fix soar,fix repair,show live,act repair,act live,fix repair
"Find two words, one from each group, that are closest in meaning: (fix glance end) (repair connect soften)",fix repair,end soften,glance repair,glance connect,fix connect,fix repair
"Find two words, one from each group, that are closest in meaning: (flower enemy baby) (speed fog blossom)",flower speed,baby blossom,flower blossom,enemy fog,flower fog,flower blossom
"Find two words, one from each group, that are closest in meaning: (pavement flower price) (blossom nap aroma)",price aroma,pavement blossom,flower nap,flower blossom,pavement nap,flower blossom
"Find two words, one from each group, that are closest in meaning: (fortunate odd unclear) (lucky steady tidy)",odd lucky,fortunate lucky,fortunate steady,unclear tidy,odd steady,fortunate lucky
"Find two words, one from each group, that are closest in meaning: (old ancient fortunate) (lucky costly truthful)",old costly,ancient costly,fortunate truthful,fortunate lucky,old lucky,fortunate lucky
"Find two words, one from each group, that are closest in meaning: (fragile thin huge) (bold cautious delicate)",thin cautious,fragile delicate,fragile bold,fragile cautious,huge delicate,fragile delicate
"Find two words, one from each group, that are closest in meaning: (fragile peaceful cruel) (cautious previous delicate)",fragile previous,fragile cautious,fragile delicate,peaceful previous,cruel delicate,fragile delicate
"Find two words, one from each group, that are closest in meaning: (fragrance price apparel) (cradle freedom scent)",fragrance scent,price freedom,apparel scent,fragrance cradle,fragrance freedom,fragrance scent
"Find two words, one from each group, that are closest in meaning: (clear instant funny) (vacant cruel witty)",clear vacant,instant cruel,clear cruel,funny witty,instant vacant,funny witty
"Find two words, one from each group, that are closest in meaning: (gloomy opaque funny) (unclear witty harsh)",gloomy witty,funny witty,opaque witty,funny harsh,gloomy unclear,funny witty
"Find two words, one from each group, that are closest in meaning: (imitate tie gather) (avoid collect live)",gather collect,tie collect,imitate collect,imitate avoid,gather live,gather collect
"Find two words, one from each group, that are closest in meaning: (gather reduce pardon) (collect repair inform)",gather collect,gather repair,pardon inform,reduce collect,reduce repair,gather collect
"Find two words, one from each group, that are closest in meaning: (melt glance act) (complete look collect)",melt look,glance complete,melt complete,glance look,act collect,glance look
"Find two words, one from each group, that are closest in meaning: (glance inform alter) (recollect incite look)",glance look,inform incite,glance recollect,alter look,glance incite,glance look
"Find two words, one from each group, that are closest in meaning: (strong grateful steady) (empty cloudy thankful)",steady thankful,grateful cloudy,strong empty,strong cloudy,grateful thankful,grateful thankful
"Find two words, one from each group, that are closest in meaning: (grateful rapid clear) (dull thankful vast)",grateful dull,grateful thankful,rapid dull,rapid thankful,clear vast,grateful thankful
"Find two words, one from each group, that are closest in meaning: (money harm need) (sleep fog hurt)",need hurt,harm hurt,money sleep,harm fog,money fog,harm hurt
"Find two words, one from each group, that are closest in meaning: (mist sea harm) (apparel hurt storm)",mist apparel,harm storm,sea hurt,harm hurt,mist hurt,harm hurt
"Find two words, one from each group, that are closest in meaning: (vague distinct harsh) (cruel thin clear)",vague thin,harsh cruel,distinct thin,harsh clear,vague cruel,harsh cruel
"Find two words, one from each group, that are closest in meaning: (unwilling harsh truthful) (loyal pleasant cruel)",unwilling pleasant,truthful cruel,harsh cruel,harsh pleasant,unwilling loyal,harsh cruel
"Find two words, one from each group, that are closest in meaning: (short fragile honest) (truthful boring former)",honest truthful,short truthful,honest former,fragile boring,short boring,honest truthful
"Find two words, one from each group, that are closest in meaning: (honest cloudy unusual) (unwilling truthful huge)",cloudy unwilling,honest unwilling,honest truthful,cloudy truthful,unusual huge,honest truthful
"Find two words, one from each group, that are closest in meaning: (toss leave ignore) (prohibit overlook notify)",ignore overlook,ignore notify,toss overlook,toss prohibit,leave overlook,ignore overlook
"Find two words, one from each group, that are closest in meaning: (ignore dodge lessen) (prohibit overlook dwell)",ignore overlook,dodge prohibit,ignore prohibit,lessen dwell,dodge overlook,ignore overlook
"Find two words, one from each group, that are closest in meaning: (soar imitate fly) (copy attach lessen)",soar attach,soar copy,fly lessen,imitate attach,imitate copy,imitate copy
"Find two words, one from each group, that are closest in meaning: (imitate connect depart) (complete copy gather)",imitate copy,depart gather,connect copy,connect complete,imitate complete,imitate copy
"Find two words, one from each group, that are closest in meaning: (clear rare immediate) (instant simple careful)",immediate instant,immediate careful,clear simple,clear instant,rare simple,immediate instant
"Find two words, one from each group, that are closest in meaning: (insane faithful immediate) (instant lean careful)",immediate careful,insane lean,faithful lean,immediate instant,insane instant,immediate instant
"Find two words, one from each group, that are closest in meaning: (wild quiet important) (fragile vital modern)",important modern,wild fragile,wild vital,important vital,quiet vital,important vital
"Find two words, one from each group, that are closest in meaning: (vast important modern) (vital steady empty)",modern empty,vast vital,vast steady,important steady,important vital,important vital
"Find two words, one from each group, that are closest in meaning: (infant clothing liberty) (dish baby price)",clothing baby,infant dish,clothing dish,liberty price,infant baby,infant baby
"Find two words, one from each group, that are closest in meaning: (infant sight slice) (baby mistake fog)",sight baby,sight mistake,infant mistake,slice fog,infant baby,infant baby
"Find two words, one from each group, that are closest in meaning: (cruel insane unclean) (quiet mad expensive)",cruel quiet,cruel mad,insane mad,unclean expensive,insane quiet,insane mad
"Find two words, one from each group, that are closest in meaning: (faithful insane vast) (tidy mad brief)",vast brief,insane mad,insane tidy,faithful mad,faithful tidy,insane mad
"Find two words, one from each group, that are closest in meaning: (remember incite inspect) (examine slumber throw)",inspect throw,remember examine,inspect examine,incite slumber,remember slumber,inspect examine
"Find two words, one from each group, that are closest in meaning: (inspect assist toss) (collect examine repeat)",assist collect,toss repeat,assist examine,inspect collect,inspect examine,inspect examine
"Find two words, one from each group, that are closest in meaning: (hurt hurricane interior) (sea sofa inside)",interior inside,hurt sea,hurricane sofa,hurt sofa,hurricane sea,interior inside
"Find two words, one from each group, that are closest in meaning: (money sea interior) (inside sofa dish)",interior dish,interior inside,sea sofa,money inside,money sofa,interior inside
"Find two words, one from each group, that are closest in meaning: (repair throw join) (connect learn collect)",throw learn,repair learn,repair connect,join connect,join collect,join connect
"Find two words, one from each group, that are closest in meaning: (leave assist join) (connect hide end)",assist hide,leave hide,join connect,join end,leave connect,join connect
"Find two words, one from each group, that are closest in meaning: (able lean costly) (eternal thin moist)",lean thin,costly moist,able eternal,lean eternal,able thin,lean thin
"Find two words, one from each group, that are closest in meaning: (lean wild dirty) (cloudy thin careful)",dirty careful,wild thin,lean thin,wild cloudy,lean cloudy,lean thin
"Find two words, one from each group, that are closest in meaning: (imitate learn copy) (study connect soften)",imitate connect,learn study,learn connect,copy soften,imitate study,learn study
"Find two words, one from each group, that are closest in meaning: (learn lessen collect) (live glance study)",collect study,lessen glance,learn study,learn live,learn glance,learn study
"Find two words, one from each group, that are closest in meaning: (enemy liberty storm) (freedom speed cut)",enemy freedom,liberty speed,storm cut,enemy speed,liberty freedom,liberty freedom
"Find two words, one from each group, that are closest in meaning: (top liberty scent) (cot freedom velocity)",liberty cot,liberty freedom,scent velocity,top freedom,top cot,liberty freedom
"Find two words, one from each group, that are closest in meaning: (harm liquid speed) (flower hurricane fluid)",liquid hurricane,harm flower,speed fluid,harm hurricane,liquid fluid,liquid fluid
"Find two words, one from each group, that are closest in meaning: (look liquid fragrance) (pavement work fluid)",look pavement,look work,fragrance fluid,liquid work,liquid fluid,liquid fluid
"Find two words, one from each group, that are closest in meaning: (afraid hard loyal) (faithful wild expensive)",hard wild,afraid faithful,loyal expensive,afraid wild,loyal faithful,loyal faithful
"Find two words, one from each group, that are closest in meaning: (unusual hard loyal) (unwilling correct faithful)",hard correct,hard unwilling,loyal faithful,unusual unwilling,unusual correct,loyal faithful
"Find two words, one from each group, that are closest in meaning: (need pavement mist) (fog ocean stone)",need fog,need ocean,mist fog,mist stone,pavement ocean,mist fog
"Find two words, one from each group, that are closest in meaning: (mist ocean look) (flower harm fog)",mist fog,mist flower,mist harm,look fog,ocean harm,mist fog
"Find two words, one from each group, that are closest in meaning: (grateful costly modern) (huge new strong)",costly new,modern new,grateful new,modern strong,grateful huge,modern new
"Find two words, one from each group, that are closest in meaning: (modern huge savage) (new sombre important)",savage important,modern sombre,modern new,huge sombre,huge new,modern new
"Find two words, one from each group, that are closest in meaning: (cradle money pavement) (price clothing interior)",pavement interior,cradle price,cradle clothing,money clothing,money price,money price
"Find two words, one from each group, that are closest in meaning: (country money freedom) (mistake speed price)",money price,money speed,country mistake,freedom price,country speed,money price
"Find two words, one from each group, that are closest in meaning: (fog labour nap) (hurt cot sleep)",labour hurt,labour cot,nap sleep,fog cot,fog hurt,nap sleep
"Find two words, one from each group, that are closest in meaning: (rural harm nap) (cradle sleep peak)",rural cradle,rural sleep,harm sleep,nap sleep,nap peak,nap sleep
"Find two words, one from each group, that are closest in meaning: (neat dull vague) (cross quick tidy)",dull quick,neat tidy,neat cross,vague tidy,neat quick,neat tidy
"Find two words, one from each group, that are closest in meaning: (neat moist strong) (tidy robust cross)",neat robust,strong cross,moist tidy,moist robust,neat tidy,neat tidy
"Find two words, one from each group, that are closest in meaning: (echo notify hide) (toss inform dodge)",echo inform,notify inform,notify toss,echo toss,hide dodge,notify inform
"Find two words, one from each group, that are closest in meaning: (soften notify begin) (grow inform scorch)",soften inform,notify inform,soften grow,begin scorch,notify grow,notify inform
"Find two words, one from each group, that are closest in meaning: (regret ocean peak) (disaster trail sea)",regret disaster,ocean sea,peak sea,regret trail,ocean trail,ocean sea
"Find two words, one from each group, that are closest in meaning: (ocean harm fragrance) (sea apparel rural)",ocean sea,harm sea,fragrance rural,ocean apparel,harm apparel,ocean sea
"Find two words, one from each group, that are closest in meaning: (odd nice hard) (pleasant unclean strange)",nice unclean,odd pleasant,hard strange,odd unclean,odd strange,odd strange
"Find two words, one from each group, that are closest in meaning: (pleasant loyal odd) (fragile strange previous)",odd strange,loyal strange,pleasant fragile,odd previous,pleasant strange,odd strange
"Find two words, one from each group, that are closest in meaning: (brave opaque funny) (costly peaceful cloudy)",brave peaceful,brave costly,funny cloudy,opaque cloudy,opaque peaceful,opaque cloudy
"Find two words, one from each group, that are closest in meaning: (vague opaque unclean) (cloudy expensive witty)",unclean witty,opaque cloudy,vague expensive,vague cloudy,opaque expensive,opaque cloudy
"Find two words, one from each group, that are closest in meaning: (inspect recollect pardon) (forgive soar ban)",inspect soar,recollect soar,pardon ban,inspect forgive,pardon forgive,pardon forgive
"Find two words, one from each group, that are closest in meaning: (pardon connect join) (inform forgive end)",connect forgive,join end,pardon inform,connect inform,pardon forgive,pardon forgive
"Find two words, one from each group, that are closest in meaning: (pavement liberty sea) (mist aroma sidewalk)",liberty aroma,pavement sidewalk,sea sidewalk,pavement mist,pavement aroma,pavement sidewalk
"Find two words, one from each group, that are closest in meaning: (pail pavement country) (flower sidewalk cot)",country cot,pavement sidewalk,pail flower,pail sidewalk,pavement flower,pavement sidewalk
"Find two words, one from each group, that are closest in meaning: (peak sidewalk infant) (clothing baby top)",peak clothing,infant top,peak top,sidewalk baby,peak baby,peak top
"Find two words, one from each group, that are closest in meaning: (ocean peak scent) (storm top cradle)",peak top,ocean top,scent cradle,peak storm,ocean storm,peak top
"Find two words, one from each group, that are closest in meaning: (rare distinct pleasant) (harsh immediate nice)",pleasant nice,distinct immediate,distinct harsh,rare immediate,rare harsh,pleasant nice
"Find two words, one from each group, that are closest in meaning: (awake coarse pleasant) (cloudy nice rough)",awake cloudy,coarse nice,pleasant rough,awake nice,pleasant nice,pleasant nice
"Find two words, one from each group, that are closest in meaning: (poverty remorse hurricane) (need flower scent)",remorse need,poverty flower,hurricane scent,poverty need,remorse flower,poverty need
"Find two words, one from each group, that are closest in meaning: (poverty hurricane bowl) (need fluid rural)",hurricane need,poverty fluid,bowl rural,poverty need,hurricane fluid,poverty need
"Find two words, one from each group, that are closest in meaning: (hard previous honest) (nice former savage)",hard nice,hard former,previous nice,previous former,honest savage,previous former
"Find two words, one from each group, that are closest in meaning: (modern angry previous) (former harsh eternal)",modern former,modern harsh,previous eternal,angry harsh,previous former,previous former
"Find two words, one from each group, that are closest in meaning: (prohibit inform study) (echo connect ban)",study ban,prohibit ban,prohibit echo,inform connect,prohibit connect,prohibit ban
"Find two words, one from each group, that are closest in meaning: (notify show prohibit) (ban study sleep)",notify ban,show study,prohibit sleep,prohibit ban,notify study,prohibit ban
"Find two words, one from each group, that are closest in meaning: (study prompt conceal) (incite reduce inspect)",prompt incite,study incite,prompt reduce,conceal inspect,study reduce,prompt incite
"Find two words, one from each group, that are closest in meaning: (scorch begin prompt) (soften incite live)",prompt incite,begin incite,prompt live,scorch incite,scorch soften,prompt incite
"Find two words, one from each group, that are closest in meaning: (grateful angry quick) (distinct funny rapid)",angry distinct,angry funny,grateful funny,grateful distinct,quick rapid,quick rapid
"Find two words, one from each group, that are closest in meaning: (quick loyal empty) (rapid tidy sturdy)",quick rapid,empty sturdy,quick tidy,loyal tidy,loyal rapid,quick rapid
"Find two words, one from each group, that are closest in meaning: (difficult rare thin) (honest unusual vague)",rare unusual,difficult honest,rare honest,thin vague,difficult unusual,rare unusual
"Find two words, one from each group, that are closest in meaning: (new rare damp) (unusual instant gloomy)",new instant,rare instant,damp gloomy,rare unusual,new unusual,rare unusual
"Find two words, one from each group, that are closest in meaning: (glance recollect slumber) (help remember complete)",slumber complete,recollect remember,recollect help,glance remember,glance help,recollect remember
"Find two words, one from each group, that are closest in meaning: (glance recollect pardon) (collect toss remember)",pardon remember,recollect toss,glance collect,recollect remember,glance toss,recollect remember
"Find two words, one from each group, that are closest in meaning: (reduce inform fly) (avoid lessen ignore)",reduce lessen,inform lessen,inform avoid,reduce avoid,fly ignore,reduce lessen
"Find two words, one from each group, that are closest in meaning: (reduce prohibit dodge) (fix raise lessen)",reduce raise,prohibit raise,reduce lessen,reduce fix,dodge lessen,reduce lessen
"Find two words, one from each group, that are closest in meaning: (regret velocity look) (poverty sidewalk remorse)",velocity sidewalk,regret sidewalk,look remorse,regret remorse,regret poverty,regret remorse
"Find two words, one from each group, that are closest in meaning: (track baby regret) (remorse labour dish)",regret dish,baby labour,track remorse,regret remorse,track labour,regret remorse
"Find two words, one from each group, that are closest in meaning: (vast cautious reluctant) (lean instant unwilling)",reluctant unwilling,cautious lean,cautious instant,vast instant,vast lean,reluctant unwilling
"Find two words, one from each group, that are closest in meaning: (eternal reluctant able) (unwilling instant everlasting)",reluctant unwilling,eternal unwilling,able everlasting,eternal instant,reluctant instant,reluctant unwilling
"Find two words, one from each group, that are closest in meaning: (expand soar reveal) (scorch avoid show)",soar avoid,expand avoid,soar scorch,reveal show,expand scorch,reveal show
"Find two words, one from each group, that are closest in meaning: (reveal learn ban) (forgive fix show)",ban show,reveal show,reveal forgive,learn fix,reveal fix,reveal show
"Find two words, one from each group, that are closest in meaning: (dirty robust funny) (unusual simple strong)",dirty unusual,robust strong,robust simple,funny strong,dirty simple,robust strong
"Find two words, one from each group, that are closest in meaning: (simple rough savage) (coarse round new)",savage new,simple coarse,simple round,rough round,rough coarse,rough coarse
"Find two words, one from each group, that are closest in meaning: (peaceful rough old) (strange strong coarse)",rough strong,peaceful strong,peaceful strange,rough coarse,old coarse,rough coarse
"Find two words, one from each group, that are closest in meaning: (rural rock need) (freedom country fog)",need fog,rock country,rural freedom,rural country,rock freedom,rural country
"Find two words, one from each group, that are closest in meaning: (rural bowl fragrance) (infant country disaster)",rural infant,fragrance disaster,bowl country,rural country,bowl infant,rural country
"Find two words, one from each group, that are closest in meaning: (fortunate savage boring) (vast wild difficult)",savage wild,fortunate wild,fortunate vast,savage vast,boring difficult,savage wild
"Find two words, one from each group, that are closest in meaning: (harsh thin savage) (thankful calm wild)",thin thankful,thin calm,savage wild,harsh thankful,harsh calm,savage wild
"Find two words, one from each group, that are closest in meaning: (truthful scared fortunate) (clear afraid reluctant)",scared afraid,truthful clear,truthful afraid,fortunate reluctant,scared clear,scared afraid
"Find two words, one from each group, that are closest in meaning: (ancient insane scared) (previous afraid dull)",insane afraid,scared afraid,scared dull,ancient previous,ancient afraid,scared afraid
"Find two words, one from each group, that are closest in meaning: (melt grow shout) (begin toss yell)",shout yell,grow begin,melt begin,grow toss,melt toss,shout yell
"Find two words, one from each group, that are closest in meaning: (shout fix echo) (yell dwell lessen)",echo lessen,fix yell,shout yell,fix dwell,shout dwell,shout yell
"Find two words, one from each group, that are closest in meaning: (moist silent vital) (quiet mad strong)",moist mad,silent mad,moist quiet,silent quiet,vital strong,silent quiet
"Find two words, one from each group, that are closest in meaning: (silent bold steady) (quiet angry robust)",steady robust,bold angry,bold quiet,silent angry,silent quiet,silent quiet
"Find two words, one from each group, that are closest in meaning: (whole simple difficult) (angry easy brave)",whole easy,difficult brave,simple easy,whole angry,simple angry,simple easy
