"Question,OptionA,OptionB,OptionC,OptionD,OptionE,Correct Answer,Difficulty"
"Find the SYNONYMS: (HAND SOAP FLEE) | (LEMON RUN SINK),HAND-RUN,SOAP-LEMON,SOAP-RUN,FLEE-RUN,FLEE-SINK,FLEE-RUN,Level 1"
"Find the ANTONYMS: (FLAG ELEVATE CARROT) | (LOWER SINK HAT),CARROT-HAT,FLAG-SINK,ELEVATE-LOWER,ELEVATE-SINK,CARROT-SINK,ELEVATE-LOWER,Level 2"
"Find the SYNONYMS: (BEWILDER PURPLE CLOCK) | (ROAD CONFUSE NOTE),BEWILDER-NOTE,PURPLE-NOTE,PURPLE-ROAD,BEWILDER-CONFUSE,BEWILDER-ROAD,BEWILDER-CONFUSE,Level 1"
"Find the ANTONYMS: (GRACEFUL COOKIE NOSE) | (ROOF VIOLIN CLUMSY),GRACEFUL-ROOF,GRACEFUL-CLUMSY,GRACEFUL-VIOLIN,NOSE-VIOLIN,NOSE-ROOF,GRACEFUL-CLUMSY,Level 3"
"Find the SYNONYMS: (GOLD PLATE FINAL) | (LAST CELLAR GLASS),FINAL-LAST,GOLD-CELLAR,PLATE-CELLAR,FINAL-GLASS,PLATE-LAST,FINAL-LAST,Level 3"
"Find the ANTONYMS: (CITY EXAMINE QUEEN) | (ZEBRA FUR IGNORE),QUEEN-FUR,EXAMINE-IGNORE,QUEEN-ZEBRA,QUEEN-IGNORE,CITY-IGNORE,EXAMINE-IGNORE,Level 3"
"Find the ANTONYMS: (PAN EXPLAIN BRANCH) | (SKIRT TOWN CONFUSE),EXPLAIN-CONFUSE,EXPLAIN-TOWN,BRANCH-SKIRT,BRANCH-CONFUSE,PAN-SKIRT,EXPLAIN-CONFUSE,Level 2"
"Find the ANTONYMS: (DESPAIR RICE SATIN) | (DRUM HOPE FUR),DESPAIR-FUR,DESPAIR-HOPE,DESPAIR-DRUM,RICE-HOPE,RICE-DRUM,DESPAIR-HOPE,Level 3"
"Find the ANTONYMS: (ICE FRIDGE GIANT) | (WRITER DWARF FORK),ICE-FORK,GIANT-DWARF,GIANT-WRITER,GIANT-FORK,FRIDGE-DWARF,GIANT-DWARF,Level 3"
"Find the ANTONYMS: (TEACHER FERTILE PLATE) | (BARREN SKIN SUN),PLATE-SUN,TEACHER-SKIN,TEACHER-SUN,FERTILE-BARREN,PLATE-BARREN,FERTILE-BARREN,Level 2"
"Find the ANTONYMS: (COLD COOK RADIO) | (DRUM HOT MUD),COLD-MUD,COLD-HOT,RADIO-HOT,COOK-HOT,COLD-DRUM,COLD-HOT,Level 1"
"Find the ANTONYMS: (ALWAYS MARKET ASH) | (DRUM BICYCLE NEVER),ALWAYS-BICYCLE,ALWAYS-NEVER,ASH-BICYCLE,ASH-DRUM,MARKET-BICYCLE,ALWAYS-NEVER,Level 2"
"Find the ANTONYMS: (EXTRA SCARF SPICE) | (SOUP NOTE MISSING),EXTRA-SOUP,SCARF-NOTE,EXTRA-MISSING,SPICE-NOTE,SPICE-MISSING,EXTRA-MISSING,Level 2"
"Find the ANTONYMS: (PAPER TEA EXCESS) | (TUNNEL YELLOW SHORTAGE),PAPER-SHORTAGE,PAPER-YELLOW,TEA-TUNNEL,EXCESS-SHORTAGE,TEA-YELLOW,EXCESS-SHORTAGE,Level 1"
"Find the SYNONYMS: (KITCHEN FIRE ENTRANCE) | (ENTRY SOFA GREEN),FIRE-SOFA,KITCHEN-GREEN,FIRE-ENTRY,KITCHEN-ENTRY,ENTRANCE-ENTRY,ENTRANCE-ENTRY,Level 2"
"Find the SYNONYMS: (VIOLIN BELT DRENCH) | (TIGER SOAK BALL),VIOLIN-BALL,DRENCH-BALL,DRENCH-SOAK,BELT-BALL,VIOLIN-SOAK,DRENCH-SOAK,Level 2"
"Find the ANTONYMS: (BACK CURE DOOR) | (DISEASE TRUCK KITE),CURE-TRUCK,BACK-DISEASE,CURE-KITE,CURE-DISEASE,BACK-TRUCK,CURE-DISEASE,Level 2"
"Find the ANTONYMS: (ADVANCE DOLL SPICE) | (RETREAT GREEN GOLD),DOLL-GREEN,SPICE-RETREAT,SPICE-GOLD,ADVANCE-RETREAT,DOLL-RETREAT,ADVANCE-RETREAT,Level 2"
"Find the SYNONYMS: (CRUEL BREAD PAN) | (SKY COAT MEAN),CRUEL-MEAN,CRUEL-COAT,CRUEL-SKY,BREAD-COAT,BREAD-SKY,CRUEL-MEAN,Level 2"
"Find the ANTONYMS: (DIFFERENT CARROT VILLAGE) | (COPPER SAME NURSE),CARROT-SAME,CARROT-NURSE,DIFFERENT-SAME,DIFFERENT-NURSE,VILLAGE-NURSE,DIFFERENT-SAME,Level 2"
"Find the ANTONYMS: (SILVER FAITH EGG) | (DOUBT CITY TOWN),FAITH-DOUBT,EGG-TOWN,FAITH-TOWN,FAITH-CITY,EGG-DOUBT,FAITH-DOUBT,Level 3"
"Find the SYNONYMS: (EVIDENT KNIFE FLOWER) | (BOWL MAP OBVIOUS),EVIDENT-BOWL,KNIFE-OBVIOUS,KNIFE-BOWL,KNIFE-MAP,EVIDENT-OBVIOUS,EVIDENT-OBVIOUS,Level 2"
"Find the SYNONYMS: (LINEN EMINENT STEEL) | (FAMOUS PRINCE YELLOW),STEEL-YELLOW,EMINENT-YELLOW,LINEN-YELLOW,STEEL-FAMOUS,EMINENT-FAMOUS,EMINENT-FAMOUS,Level 3"
"Find the ANTONYMS: (PENCIL PATH DANGER) | (SAFETY GUITAR TEACHER),PENCIL-TEACHER,DANGER-SAFETY,DANGER-TEACHER,PENCIL-SAFETY,PATH-GUITAR,DANGER-SAFETY,Level 1"
"Find the ANTONYMS: (GATE GRAVE SKIRT) | (GRASS FIRE GAY),GATE-FIRE,GATE-GRASS,GRAVE-GAY,SKIRT-FIRE,GATE-GAY,GRAVE-GAY,Level 2"
"Find the ANTONYMS: (APPEAR POT GRAPE) | (VANISH METAL LION),GRAPE-VANISH,POT-VANISH,APPEAR-METAL,APPEAR-VANISH,GRAPE-METAL,APPEAR-VANISH,Level 3"
"Find the ANTONYMS: (OFFICE COMPLIMENT LEMON) | (PANTS INSULT MOUTH),COMPLIMENT-MOUTH,OFFICE-MOUTH,OFFICE-PANTS,COMPLIMENT-INSULT,OFFICE-INSULT,COMPLIMENT-INSULT,Level 1"
"Find the ANTONYMS: (GATE KITE FLOURISH) | (SMOKE TRIANGLE WITHER),GATE-TRIANGLE,FLOURISH-SMOKE,KITE-SMOKE,FLOURISH-TRIANGLE,FLOURISH-WITHER,FLOURISH-WITHER,Level 2"
"Find the SYNONYMS: (CIRCLE COPPER BLUFF) | (DRESS HOAX FLOOR),CIRCLE-FLOOR,CIRCLE-HOAX,COPPER-FLOOR,COPPER-HOAX,BLUFF-HOAX,BLUFF-HOAX,Level 3"
"Find the ANTONYMS: (DISAPPEAR TOWEL MEAT) | (APPEAR BICYCLE TABLE),MEAT-TABLE,DISAPPEAR-BICYCLE,MEAT-BICYCLE,DISAPPEAR-TABLE,DISAPPEAR-APPEAR,DISAPPEAR-APPEAR,Level 1"
"Find the SYNONYMS: (DISGUISE LEATHER PRINCE) | (SMOKE PAPER CAMOUFLAGE),DISGUISE-CAMOUFLAGE,PRINCE-CAMOUFLAGE,PRINCE-SMOKE,LEATHER-SMOKE,PRINCE-PAPER,DISGUISE-CAMOUFLAGE,Level 2"
"Find the ANTONYMS: (FRAGILE STEEL FOG) | (FISH TOUGH POLICE),FOG-POLICE,STEEL-FISH,FOG-FISH,FRAGILE-TOUGH,STEEL-TOUGH,FRAGILE-TOUGH,Level 3"
"Find the SYNONYMS: (DIMINISH TOWN STORM) | (LAMP LESSEN SILVER),STORM-LESSEN,STORM-SILVER,DIMINISH-LESSEN,DIMINISH-LAMP,TOWN-LESSEN,DIMINISH-LESSEN,Level 3"
"Find the SYNONYMS: (SODA FORK ENDURE) | (BOTTLE SCHOOL LAST),ENDURE-BOTTLE,ENDURE-LAST,FORK-LAST,SODA-SCHOOL,ENDURE-SCHOOL,ENDURE-LAST,Level 2"
"Find the SYNONYMS: (RUG QUEEN EXPECT) | (SILVER SHOE ANTICIPATE),QUEEN-SHOE,EXPECT-ANTICIPATE,RUG-ANTICIPATE,RUG-SHOE,EXPECT-SHOE,EXPECT-ANTICIPATE,Level 3"
"Find the SYNONYMS: (WATCH FOG POT) | (GUITAR ARM MIST),WATCH-ARM,FOG-MIST,WATCH-GUITAR,FOG-ARM,POT-ARM,FOG-MIST,Level 2"
"Find the SYNONYMS: (FENCE BUTTER EMBARRASS) | (CANDY CITY HUMILIATE),EMBARRASS-HUMILIATE,BUTTER-CANDY,FENCE-CITY,EMBARRASS-CANDY,BUTTER-HUMILIATE,EMBARRASS-HUMILIATE,Level 2"
"Find the ANTONYMS: (TOMATO SKIN ENTIRE) | (TABLE PARTIAL PLANET),SKIN-TABLE,TOMATO-PLANET,TOMATO-PARTIAL,ENTIRE-TABLE,ENTIRE-PARTIAL,ENTIRE-PARTIAL,Level 3"
"Find the SYNONYMS: (SINGER PLANET ENOUGH) | (DRESS SUFFICIENT LION),ENOUGH-LION,PLANET-DRESS,PLANET-LION,ENOUGH-SUFFICIENT,PLANET-SUFFICIENT,ENOUGH-SUFFICIENT,Level 3"
"Find the ANTONYMS: (POLICE BALL EDGE) | (ATTIC CENTER TOWN),POLICE-ATTIC,POLICE-CENTER,EDGE-TOWN,EDGE-CENTER,POLICE-TOWN,EDGE-CENTER,Level 1"
"Find the SYNONYMS: (LAMP SCHOOL FILL) | (ARM LOAD FLAG),FILL-LOAD,SCHOOL-ARM,FILL-ARM,SCHOOL-FLAG,FILL-FLAG,FILL-LOAD,Level 3"
"Find the SYNONYMS: (DESTITUTE READER HEAD) | (TRIANGLE PANTS POOR),HEAD-TRIANGLE,DESTITUTE-POOR,HEAD-PANTS,READER-PANTS,READER-POOR,DESTITUTE-POOR,Level 3"
"Find the SYNONYMS: (BICYCLE WIND BARREN) | (LAMP DESOLATE SILK),WIND-DESOLATE,BICYCLE-DESOLATE,WIND-LAMP,BICYCLE-SILK,BARREN-DESOLATE,BARREN-DESOLATE,Level 2"
"Find the SYNONYMS: (BRICK GRASS CONFUSE) | (CANDY BOTTLE PUZZLE),CONFUSE-PUZZLE,BRICK-BOTTLE,BRICK-CANDY,GRASS-BOTTLE,BRICK-PUZZLE,CONFUSE-PUZZLE,Level 1"
"Find the ANTONYMS: (ZOO COMFORT HEAT) | (TREE DISCOMFORT SQUARE),ZOO-DISCOMFORT,HEAT-DISCOMFORT,COMFORT-SQUARE,COMFORT-DISCOMFORT,COMFORT-TREE,COMFORT-DISCOMFORT,Level 3"
"Find the SYNONYMS: (FISH ADD GARDEN) | (TOWEL SINGER INCREASE),FISH-TOWEL,ADD-INCREASE,ADD-SINGER,GARDEN-INCREASE,GARDEN-TOWEL,ADD-INCREASE,Level 3"
"Find the ANTONYMS: (CHAIR FORMER SPICE) | (COMB LATTER SILVER),SPICE-COMB,FORMER-LATTER,CHAIR-LATTER,SPICE-SILVER,SPICE-LATTER,FORMER-LATTER,Level 1"
"Find the SYNONYMS: (DEPART FRIDGE EGG) | (LEAVE VILLAGE QUEEN),FRIDGE-LEAVE,DEPART-LEAVE,EGG-QUEEN,EGG-VILLAGE,EGG-LEAVE,DEPART-LEAVE,Level 1"
"Find the SYNONYMS: (BLOOD DROWSY TIGER) | (SLEEPY JUICE OVEN),BLOOD-SLEEPY,BLOOD-JUICE,DROWSY-SLEEPY,DROWSY-JUICE,BLOOD-OVEN,DROWSY-SLEEPY,Level 1"
"Find the SYNONYMS: (FOG LEATHER FINISH) | (BLOOD STONE END),FOG-STONE,LEATHER-BLOOD,FINISH-END,FOG-BLOOD,FOG-END,FINISH-END,Level 3"
"Find the ANTONYMS: (CITY FATHER PURPLE) | (MOTHER BACK BELT),PURPLE-BELT,PURPLE-MOTHER,CITY-MOTHER,FATHER-MOTHER,FATHER-BACK,FATHER-MOTHER,Level 1"
"Find the ANTONYMS: (COOK FURIOUS CANDY) | (CALM FARM PLASTIC),COOK-FARM,FURIOUS-PLASTIC,COOK-CALM,FURIOUS-FARM,FURIOUS-CALM,FURIOUS-CALM,Level 2"
"Find the SYNONYMS: (HAND GARDEN EXACT) | (SEED PRECISE RING),HAND-PRECISE,EXACT-RING,EXACT-PRECISE,HAND-RING,HAND-SEED,EXACT-PRECISE,Level 1"
"Find the SYNONYMS: (HAND EXIST WATER) | (LIVE VIOLIN CLOUD),HAND-LIVE,EXIST-CLOUD,HAND-CLOUD,EXIST-LIVE,EXIST-VIOLIN,EXIST-LIVE,Level 2"
"Find the ANTONYMS: (FIERCE POOL DRESS) | (SUN MOON GENTLE),FIERCE-GENTLE,DRESS-SUN,FIERCE-MOON,FIERCE-SUN,POOL-MOON,FIERCE-GENTLE,Level 3"
"Find the ANTONYMS: (FOUL ASH FORK) | (RUG ROPE FAIR),ASH-ROPE,FORK-RUG,ASH-RUG,FORK-FAIR,FOUL-FAIR,FOUL-FAIR,Level 2"
"Find the SYNONYMS: (FATAL JUG TIGER) | (STORM GATE DEADLY),JUG-GATE,FATAL-STORM,FATAL-DEADLY,TIGER-DEADLY,TIGER-STORM,FATAL-DEADLY,Level 1"
"Find the ANTONYMS: (FISH DEFINITE ZOO) | (STONE ONION VAGUE),DEFINITE-ONION,DEFINITE-VAGUE,ZOO-ONION,ZOO-STONE,ZOO-VAGUE,DEFINITE-VAGUE,Level 2"
"Find the ANTONYMS: (HAND LIBRARY GREAT) | (CINEMA GRASS SMALL),HAND-CINEMA,LIBRARY-SMALL,HAND-SMALL,GREAT-SMALL,LIBRARY-GRASS,GREAT-SMALL,Level 2"
"Find the SYNONYMS: (FAMILIAR ARM EGG) | (PEPPER WOOD KNOWN),ARM-KNOWN,EGG-KNOWN,FAMILIAR-KNOWN,ARM-PEPPER,ARM-WOOD,FAMILIAR-KNOWN,Level 2"
"Find the SYNONYMS: (CLOCK FUR FABULOUS) | (AMAZING SALAD STONE),CLOCK-SALAD,FABULOUS-AMAZING,FABULOUS-STONE,FUR-SALAD,CLOCK-STONE,FABULOUS-AMAZING,Level 1"
"Find the SYNONYMS: (FORLORN HEAT DUST) | (COMB RICE SAD),FORLORN-COMB,DUST-SAD,FORLORN-SAD,FORLORN-RICE,DUST-RICE,FORLORN-SAD,Level 2"
"Find the SYNONYMS: (SALAD EARLY PLAYER) | (HAND BONE PREMATURE),EARLY-BONE,PLAYER-HAND,SALAD-BONE,SALAD-HAND,EARLY-PREMATURE,EARLY-PREMATURE,Level 2"
"Find the ANTONYMS: (SODA BRICK ACCIDENTAL) | (INTENTIONAL PORT GARDEN),SODA-PORT,ACCIDENTAL-INTENTIONAL,BRICK-GARDEN,BRICK-PORT,ACCIDENTAL-PORT,ACCIDENTAL-INTENTIONAL,Level 3"
"Find the ANTONYMS: (SALT BRANCH DRY) | (SWING WET FOOT),DRY-FOOT,DRY-WET,SALT-SWING,BRANCH-WET,DRY-SWING,DRY-WET,Level 1"
"Find the SYNONYMS: (NURSE ATROCIOUS ORANGE) | (CINEMA SILK DREADFUL),ATROCIOUS-CINEMA,ATROCIOUS-DREADFUL,ORANGE-DREADFUL,NURSE-DREADFUL,ORANGE-CINEMA,ATROCIOUS-DREADFUL,Level 1"
"Find the ANTONYMS: (TREE ROOF BEAUTIFUL) | (COAT DOLL UGLY),BEAUTIFUL-UGLY,ROOF-UGLY,ROOF-DOLL,BEAUTIFUL-COAT,TREE-COAT,BEAUTIFUL-UGLY,Level 2"
"Find the ANTONYMS: (GLASS ZOO EXTRAORDINARY) | (TRAY ORDINARY PATH),EXTRAORDINARY-PATH,GLASS-PATH,EXTRAORDINARY-ORDINARY,ZOO-TRAY,GLASS-ORDINARY,EXTRAORDINARY-ORDINARY,Level 3"
"Find the ANTONYMS: (ELATED JUICE LAMP) | (DEPRESSED QUEEN SKIRT),ELATED-SKIRT,ELATED-DEPRESSED,JUICE-SKIRT,ELATED-QUEEN,JUICE-DEPRESSED,ELATED-DEPRESSED,Level 1"
"Find the SYNONYMS: (FLOWER CITY COARSE) | (STREET ZOO ROUGH),COARSE-STREET,COARSE-ROUGH,FLOWER-STREET,COARSE-ZOO,CITY-ZOO,COARSE-ROUGH,Level 1"
"Find the SYNONYMS: (READER PATH ASSIST) | (SINK BRIDGE HELP),PATH-BRIDGE,READER-HELP,READER-BRIDGE,ASSIST-SINK,ASSIST-HELP,ASSIST-HELP,Level 1"
"Find the SYNONYMS: (GLASS ROCKET ATTACH) | (FASTEN ARM ICE),GLASS-ICE,ROCKET-ARM,ATTACH-FASTEN,ROCKET-ICE,GLASS-FASTEN,ATTACH-FASTEN,Level 2"
"Find the ANTONYMS: (FLOOR FREEZE WORLD) | (RAIN DRESS MELT),WORLD-DRESS,FREEZE-RAIN,FLOOR-DRESS,FREEZE-MELT,FLOOR-MELT,FREEZE-MELT,Level 3"
"Find the ANTONYMS: (GOLD FRIEND DRUM) | (ENEMY CLOCK HEAD),FRIEND-HEAD,DRUM-HEAD,GOLD-ENEMY,FRIEND-ENEMY,DRUM-ENEMY,FRIEND-ENEMY,Level 1"
"Find the SYNONYMS: (CLOCK ENLARGE GUARD) | (EXPAND GLOVE SCHOOL),CLOCK-EXPAND,ENLARGE-EXPAND,GUARD-SCHOOL,CLOCK-GLOVE,CLOCK-SCHOOL,ENLARGE-EXPAND,Level 1"
"Find the SYNONYMS: (FAVOR CANDY SAND) | (PREFER BOWL VIOLIN),CANDY-BOWL,CANDY-PREFER,FAVOR-PREFER,FAVOR-BOWL,FAVOR-VIOLIN,FAVOR-PREFER,Level 2"
"Find the ANTONYMS: (FROWN GOLD SOUP) | (SMILE GRASS GLASS),GOLD-SMILE,FROWN-SMILE,GOLD-GLASS,SOUP-GLASS,SOUP-SMILE,FROWN-SMILE,Level 2"
"Find the ANTONYMS: (SKY FRUITFUL FACTORY) | (BARREN BANANA FLAG),FRUITFUL-BARREN,SKY-BARREN,FACTORY-BARREN,SKY-BANANA,FRUITFUL-FLAG,FRUITFUL-BARREN,Level 3"
"Find the ANTONYMS: (EYE ANNOY MUG) | (SANDAL SOOTHE SKIN),MUG-SKIN,ANNOY-SOOTHE,EYE-SANDAL,EYE-SKIN,MUG-SANDAL,ANNOY-SOOTHE,Level 1"
"Find the SYNONYMS: (BELT RICE ESTEEM) | (SQUARE RESPECT ROPE),ESTEEM-RESPECT,BELT-RESPECT,BELT-SQUARE,RICE-SQUARE,ESTEEM-SQUARE,ESTEEM-RESPECT,Level 1"
"Find the SYNONYMS: (EFFORT ROAD OVEN) | (BACK RUG ATTEMPT),EFFORT-BACK,EFFORT-ATTEMPT,OVEN-ATTEMPT,ROAD-BACK,ROAD-RUG,EFFORT-ATTEMPT,Level 2"
"Find the SYNONYMS: (LEG FAKE SOFA) | (BANK PLASTIC FALSE),FAKE-FALSE,SOFA-PLASTIC,SOFA-BANK,LEG-BANK,LEG-FALSE,FAKE-FALSE,Level 1"
"Find the SYNONYMS: (CONSENT GRASS TIGER) | (CEMENT AGREE HAIR),CONSENT-AGREE,TIGER-AGREE,GRASS-CEMENT,CONSENT-HAIR,TIGER-CEMENT,CONSENT-AGREE,Level 2"
"Find the ANTONYMS: (BETTER QUEEN LINEN) | (FORK PEPPER WORSE),BETTER-WORSE,BETTER-PEPPER,LINEN-FORK,LINEN-PEPPER,QUEEN-PEPPER,BETTER-WORSE,Level 1"
"Find the ANTONYMS: (BEGIN GUITAR READER) | (MUG END LEAF),GUITAR-LEAF,GUITAR-MUG,BEGIN-LEAF,BEGIN-END,READER-LEAF,BEGIN-END,Level 1"
"Find the ANTONYMS: (EXCUSE TREE CELLAR) | (BLAME BANK WINDOW),CELLAR-BLAME,EXCUSE-BANK,CELLAR-BANK,EXCUSE-BLAME,TREE-BANK,EXCUSE-BLAME,Level 2"
"Find the SYNONYMS: (KING FIRE EMPTY) | (LIBRARY BACK VACANT),FIRE-VACANT,KING-BACK,FIRE-LIBRARY,EMPTY-VACANT,EMPTY-BACK,EMPTY-VACANT,Level 1"
"Find the SYNONYMS: (ELIMINATE WATCH POLICE) | (GATE REMOVE SOUP),ELIMINATE-REMOVE,WATCH-SOUP,POLICE-GATE,POLICE-REMOVE,POLICE-SOUP,ELIMINATE-REMOVE,Level 1"
"Find the ANTONYMS: (BRIEF GARAGE PANTS) | (READER GREEN LONG),PANTS-GREEN,BRIEF-LONG,GARAGE-GREEN,BRIEF-READER,BRIEF-GREEN,BRIEF-LONG,Level 2"
"Find the SYNONYMS: (PLATE COMPLEX BACK) | (SHIRT GLASS COMPLICATED),PLATE-SHIRT,BACK-COMPLICATED,BACK-GLASS,COMPLEX-SHIRT,COMPLEX-COMPLICATED,COMPLEX-COMPLICATED,Level 2"
"Find the ANTONYMS: (TIGER MARKET DETERMINED) | (IRRESOLUTE METAL COPPER),MARKET-METAL,DETERMINED-COPPER,TIGER-IRRESOLUTE,DETERMINED-IRRESOLUTE,MARKET-COPPER,DETERMINED-IRRESOLUTE,Level 2"
"Find the SYNONYMS: (TEACHER ORANGE CONTINUE) | (PERSIST PRINCE TOOTH),TEACHER-TOOTH,TEACHER-PERSIST,TEACHER-PRINCE,ORANGE-TOOTH,CONTINUE-PERSIST,CONTINUE-PERSIST,Level 1"
"Find the ANTONYMS: (ATTRACT GARAGE SMOKE) | (REPEL RUBBER SNOW),SMOKE-REPEL,GARAGE-SNOW,ATTRACT-RUBBER,GARAGE-REPEL,ATTRACT-REPEL,ATTRACT-REPEL,Level 2"
"Find the SYNONYMS: (EXERCISE ROOF KING) | (NOSE PRACTICE CLOCK),EXERCISE-PRACTICE,ROOF-CLOCK,KING-NOSE,EXERCISE-NOSE,ROOF-PRACTICE,EXERCISE-PRACTICE,Level 1"
"Find the SYNONYMS: (RAIN PIE EXPOSE) | (LAMP REVEAL PURPLE),EXPOSE-PURPLE,PIE-PURPLE,EXPOSE-LAMP,RAIN-LAMP,EXPOSE-REVEAL,EXPOSE-REVEAL,Level 1"
"Find the ANTONYMS: (EYE FALL HAND) | (PLAYER KING RISE),EYE-RISE,FALL-KING,HAND-PLAYER,EYE-PLAYER,FALL-RISE,FALL-RISE,Level 2"
"Find the SYNONYMS: (CLOUD FOLLOW FUR) | (CLOCK SUCCEED NAIL),FUR-SUCCEED,FOLLOW-SUCCEED,FOLLOW-NAIL,FUR-CLOCK,CLOUD-SUCCEED,FOLLOW-SUCCEED,Level 3"
"Find the ANTONYMS: (MONKEY TOY FLAT) | (BEACH BOWL HILLY),TOY-HILLY,FLAT-BOWL,MONKEY-HILLY,FLAT-HILLY,FLAT-BEACH,FLAT-HILLY,Level 3"
"Find the SYNONYMS: (RING HEAD AWKWARD) | (MOON CLUMSY SALAD),AWKWARD-CLUMSY,AWKWARD-MOON,HEAD-MOON,AWKWARD-SALAD,HEAD-CLUMSY,AWKWARD-CLUMSY,Level 2"
"Find the ANTONYMS: (GLOOMY JUG FARMER) | (TRUCK CHEERFUL SINGER),JUG-CHEERFUL,FARMER-TRUCK,FARMER-CHEERFUL,GLOOMY-TRUCK,GLOOMY-CHEERFUL,GLOOMY-CHEERFUL,Level 2"
"Find the SYNONYMS: (PASTA SUGAR EARN) | (STREET GAIN RIVER),SUGAR-RIVER,PASTA-STREET,SUGAR-GAIN,PASTA-GAIN,EARN-GAIN,EARN-GAIN,Level 1"
